,회사명,유동자산증가율,재고자산증가율,0,1,2,3
173,(주)경방,-2.11,-6.11,5.26,-2.11,-2.77,-6.11
174,(주)경방,6.78,40.0,0.11,6.78,8.61,40.0
175,(주)경방,-1.93,-13.34,-3.85,-1.93,-10.48,-13.34
176,(주)경방,-14.86,-30.32,-11.26,-14.86,-33.22,-30.32
177,(주)경방,33.75,87.31,23.35,33.75,58.28,87.31
178,(주)경방,119.42,-47.64,153.86,119.42,-60.76,-47.64
179,(주)경보제약,7.83,14.88,-53.03,-95.8,254.75,-64.51
180,(주)경보제약,-2.74,-3.94,-2.74,11111111.11,-3.94,11111111.11
181,(주)경보제약,8.23,0.83,8.23,11111111.11,0.83,11111111.11
182,(주)경보제약,16.54,11.53,16.54,11111111.11,11.53,11111111.11
183,(주)경보제약,-3.69,16.48,-3.69,11111111.11,16.48,11111111.11
184,(주)경인양행,-1.19,7.02,-20.24,1396.33,-17.48,758.51
185,(주)경인양행,-12.04,-26.24,-4.36,-12.04,-24.7,-26.24
186,(주)경인양행,20.27,28.87,30.0,20.27,56.71,28.87
187,(주)경인양행,-6.41,-1.02,-12.93,-6.41,-5.38,-1.02
188,(주)경인양행,7.33,6.41,5.55,7.33,8.76,6.41
189,(주)경인양행,8.35,4.11,11.66,8.35,5.94,4.11
190,(주)경인양행,0.93,-2.31,-1.03,0.93,-3.34,-2.31
191,(주)경인양행,21.55,27.55,32.07,21.55,34.67,27.55
192,(주)경인양행,7.27,14.03,4.51,7.27,17.28,14.03
193,(주)고려시멘트,-95.59,-92.13,-93.56,-95.59,-89.0,-92.13
194,(주)고려시멘트,1254789.63,1254789.63,11111111.11,11111111.11,11111111.11,11111111.11
195,(주)고려시멘트,1254789.63,1254789.63,11111111.11,11111111.11,11111111.11,11111111.11
196,(주)고려시멘트,1254789.63,1254789.63,11111111.11,11111111.11,11111111.11,11111111.11
197,(주)고려시멘트,29.61,27.42,29.61,11111111.11,27.42,11111111.11
198,(주)고려시멘트,-6.73,63.62,-6.73,11111111.11,63.62,11111111.11
199,(주)고영테크놀러지,24.16,55.18,32.13,469.74,87.29,28.38
200,(주)고영테크놀러지,22.99,24.53,23.11,22.99,16.63,24.53
201,(주)고영테크놀러지,21.88,17.62,23.45,21.88,17.97,17.62
202,(주)고영테크놀러지,14.49,-13.41,14.5,14.49,-25.4,-13.41
203,(주)고영테크놀러지,12.14,6.93,16.63,12.14,-6.52,6.93
204,(주)고영테크놀러지,27.13,1.13,24.89,27.13,0.93,1.13
205,(주)고영테크놀러지,4.17,13.99,2.14,4.17,1.26,13.99
206,(주)고영테크놀러지,41.03,40.8,45.36,41.03,52.84,40.8
207,(주)고영테크놀러지,-0.78,15.71,-1.06,-0.78,9.5,15.71
208,(주)골드앤에스,33.08,-6.66,-89.89,-89.6,-86.57,-92.11
209,(주)골드앤에스,13.56,-7.75,17.89,13.56,-7.75,-7.75
210,(주)골드앤에스,-40.76,18.51,-34.14,-40.76,18.51,18.51
211,(주)골드앤에스,-4.56,-6.15,-12.25,-4.56,-6.15,-6.15
212,(주)골드앤에스,1.94,-20.77,-4.18,1.94,-20.77,-20.77
213,(주)골드앤에스,-43.63,-15.93,-43.45,-43.63,-15.93,-15.93
214,(주)골드앤에스,25.06,-46.01,28.32,25.06,-46.01,-46.01
215,(주)골드앤에스,94.18,22.05,91.64,94.18,22.05,22.05
216,(주)골드앤에스,-81.41,-61.41,-81.41,-81.41,-61.41,-61.41
217,(주)골드퍼시픽,-12.71,62.34,286.32,184.16,712.67,2131.09
218,(주)골드퍼시픽,25.98,56.32,25.98,11111111.11,56.32,11111111.11
219,(주)골드퍼시픽,-16.13,-6.26,-16.13,11111111.11,-6.26,11111111.11
220,(주)골드퍼시픽,43.01,19.09,-1.25,43.01,-39.01,19.09
221,(주)골드퍼시픽,-40.13,-77.71,-9.24,-40.13,-52.79,-77.71
