,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결
200,(주)고영테크놀러지,98460,Dec-12,14836215,15221925,-10.52,-2.64
201,(주)고영테크놀러지,98460,Dec-13,14816762,13933294,-0.13,-8.47
202,(주)고영테크놀러지,98460,Dec-14,22775832,22111066,53.72,58.69
203,(주)고영테크놀러지,98460,Dec-15,23271756,23530903,2.18,6.42
204,(주)고영테크놀러지,98460,Dec-16,28063238,29723733,20.59,26.32
205,(주)고영테크놀러지,98460,Dec-17,28907302,26734105,3.01,-10.06
206,(주)고영테크놀러지,98460,Dec-18,42430216,42309672,46.78,58.26
207,(주)고영테크놀러지,98460,Dec-19,34702997,29559680,-18.21,-30.13
208,(주)골드앤에스,35290,Dec-11,1101095,1002287,-96.83,-96.61
209,(주)골드앤에스,35290,Dec-12,-6036290,-6467495,-648.21,-745.27
210,(주)골드앤에스,35290,Dec-13,-16378087,-16837473,11111111.11,11111111.11
211,(주)골드앤에스,35290,Dec-14,-8058617,-9319175,11111111.11,11111111.11
212,(주)골드앤에스,35290,Dec-15,-9396462,-9502547,11111111.11,11111111.11
213,(주)골드앤에스,35290,Dec-16,388207,390367,11111111.11,11111111.11
214,(주)골드앤에스,35290,Dec-17,-8062623,-7975875,-2176.89,-2143.17
215,(주)골드앤에스,35290,Dec-18,-4045846,-4380399,11111111.11,11111111.11
216,(주)골드앤에스,35290,Dec-19,-24883215,-24883278,11111111.11,11111111.11
217,(주)골드퍼시픽,38530,Dec-11,990336,11111111.11,11111111.11,11111111.11
218,(주)골드퍼시픽,38530,Dec-12,254546,11111111.11,-74.3,0
219,(주)골드퍼시픽,38530,Dec-13,-8455942,-9381353,-3421.97,-184.43
220,(주)골드퍼시픽,38530,Dec-14,-7306525,-7390326,11111111.11,11111111.11
221,(주)골드퍼시픽,38530,Dec-15,-12525668,-10215946,11111111.11,11111111.11
222,(주)골드퍼시픽,38530,Dec-16,-23433498,11111111.11,11111111.11,11111111.11
223,(주)골드퍼시픽,38530,Dec-17,-965087,11111111.11,11111111.11,0
224,(주)골드퍼시픽,38530,Dec-18,-4380343,-4471963,11111111.11,-140.25
225,(주)골드퍼시픽,38530,Dec-19,-31603970,11111111.11,11111111.11,11111111.11
226,(주)골프존,215000,Dec-15,33262807,36533155,11111111.11,228.8
227,(주)골프존,215000,Dec-16,35913366,36536248,7.97,0.01
228,(주)골프존,215000,Dec-17,75544308,79392004,110.35,117.3
229,(주)골프존,215000,Dec-18,21663391,20419449,-71.32,-74.28
230,(주)골프존,215000,Dec-19,19704546,16213888,-9.04,-20.6
231,(주)골프존뉴딘홀딩스,121440,Dec-11,47591974,46487063,141.53,186.71
232,(주)골프존뉴딘홀딩스,121440,Dec-12,72099265,73354594,51.49,57.8
233,(주)골프존뉴딘홀딩스,121440,Dec-13,4493226,2803470,-93.77,-96.18
234,(주)골프존뉴딘홀딩스,121440,Dec-14,63571492,79234486,1314.83,2726.3
235,(주)골프존뉴딘홀딩스,121440,Dec-15,890006593,871101274,1300.01,999.4
236,(주)골프존뉴딘홀딩스,121440,Dec-16,-20255655,2876449,-102.28,-99.67
237,(주)골프존뉴딘홀딩스,121440,Dec-17,-21778628,-21585123,11111111.11,-850.41
238,(주)골프존뉴딘홀딩스,121440,Dec-18,-7653686,-7527390,11111111.11,11111111.11
239,(주)골프존뉴딘홀딩스,121440,Dec-19,-30341791,-34848135,11111111.11,11111111.11
240,(주)광림,14200,Dec-11,2583332,11111111.11,11111111.11,11111111.11
241,(주)광림,14200,Dec-12,586385,11111111.11,-77.3,0
242,(주)광림,14200,Dec-13,1630750,11111111.11,178.1,0
243,(주)광림,14200,Dec-14,1137559,-237860,-30.24,-102.14
244,(주)광림,14200,Dec-15,9223597,11111111.11,710.82,11111111.11
245,(주)광림,14200,Dec-16,437352,-1896521,-95.26,-117.07
246,(주)광림,14200,Dec-17,86196134,-23602051,19608.64,11111111.11
247,(주)광림,14200,Dec-18,-58294056,-28445678,-167.63,11111111.11
248,(주)광림,14200,Dec-19,-68290742,-14006972,11111111.11,11111111.11
249,(주)광명전기,17040,Dec-11,-75153,-1825104,11111111.11,11111111.11
250,(주)광명전기,17040,Dec-12,-1564026,407617,11111111.11,11111111.11
251,(주)광명전기,17040,Dec-13,5301060,6473480,11111111.11,1488.13
252,(주)광명전기,17040,Dec-14,6978508,9107331,31.64,40.69
253,(주)광명전기,17040,Dec-15,3442541,8891002,-50.67,-2.38
254,(주)광명전기,17040,Dec-16,15612709,11593891,353.52,30.4
255,(주)광명전기,17040,Dec-17,-1349854,-2043260,-108.65,-117.62
256,(주)광명전기,17040,Dec-18,3182514,2718092,11111111.11,11111111.11
257,(주)광명전기,17040,Dec-19,6470387,7118200,103.31,161.88
258,(주)광무,29480,Dec-11,-51537196,-50127229,-896.51,-804.21
259,(주)광무,29480,Dec-12,-15113066,-10689029,11111111.11,11111111.11
260,(주)광무,29480,Dec-13,-33154332,-28721377,11111111.11,11111111.11
261,(주)광무,29480,Dec-14,-859721,11111111.11,11111111.11,11111111.11
262,(주)광무,29480,Dec-15,-2727754,11111111.11,11111111.11,0
263,(주)광무,29480,Dec-16,95615,11111111.11,11111111.11,0
264,(주)광무,29480,Dec-17,-3352682,11111111.11,-3606.44,0
265,(주)광무,29480,Dec-18,-4875184,-5120760,11111111.11,-146.09
266,(주)광무,29480,Dec-19,-6275093,-6421201,11111111.11,11111111.11
267,(주)광주신세계,37710,Dec-11,52281979,11111111.11,11111111.11,11111111.11
268,(주)광주신세계,37710,Dec-12,53769536,11111111.11,2.85,0
269,(주)광주신세계,37710,Dec-13,48569715,11111111.11,-9.67,0
270,(주)광주신세계,37710,Dec-14,42236355,11111111.11,-13.04,0
271,(주)광주신세계,37710,Dec-15,45901413,11111111.11,8.68,0
272,(주)광주신세계,37710,Dec-16,45554028,11111111.11,-0.76,0
273,(주)광주신세계,37710,Dec-17,47846191,11111111.11,5.03,0
274,(주)광주신세계,37710,Dec-18,45093180,11111111.11,-5.75,0
275,(주)광주신세계,37710,Dec-19,47668959,11111111.11,5.71,0
276,(주)구영테크,53270,Dec-11,985788,-647883,-97.93,-105.83
277,(주)구영테크,53270,Dec-12,1250176,1633009,26.82,11111111.11
278,(주)구영테크,53270,Dec-13,1137402,2179847,-9.02,33.49
279,(주)구영테크,53270,Dec-14,1326679,2236588,16.64,2.6
280,(주)구영테크,53270,Dec-15,3196300,4158785,140.92,85.94
281,(주)구영테크,53270,Dec-16,3920237,2542450,22.65,-38.87
282,(주)구영테크,53270,Dec-17,1239184,1357296,-68.39,-46.61
283,(주)구영테크,53270,Dec-18,3912117,5920905,215.7,336.23
284,(주)구영테크,53270,Dec-19,1558141,3387486,-60.17,-42.79
285,(주)국동,5320,Dec-11,-12930687,-7212195,-929.88,-312.91
286,(주)국동,5320,Dec-12,262553,5142066,11111111.11,11111111.11
287,(주)국동,5320,Dec-13,2373991,4009323,804.19,-22.03
288,(주)국동,5320,Dec-14,4692501,8898694,97.66,121.95
289,(주)국동,5320,Dec-15,5321778,5235608,13.41,-41.16
290,(주)국동,5320,Dec-16,4379974,6208749,-17.7,18.59
291,(주)국동,5320,Dec-17,-6593433,-8967738,-250.54,-244.44
292,(주)국동,5320,Dec-18,1351547,2111761,11111111.11,11111111.11
293,(주)국동,5320,Dec-19,-6989987,-4523376,-617.18,-314.2
294,(주)국보,1140,Dec-11,-176708,-37903,11111111.11,11111111.11
295,(주)국보,1140,Dec-12,-1916073,-874559,11111111.11,11111111.11
296,(주)국보,1140,Dec-13,-3766842,-3846673,11111111.11,11111111.11
297,(주)국보,1140,Dec-14,-6633427,-6999514,11111111.11,11111111.11
298,(주)국보,1140,Dec-15,-3679630,-4043773,11111111.11,11111111.11
299,(주)국보,1140,Dec-16,-5034348,-4187272,11111111.11,11111111.11
300,(주)국보,1140,Dec-17,-2761653,-2889794,11111111.11,11111111.11
301,(주)국보,1140,Dec-18,-4038217,-3999572,11111111.11,11111111.11
302,(주)국보,1140,Dec-19,-9851123,-6676274,11111111.11,11111111.11
303,(주)국보디자인,66620,Dec-11,6607794,6055732,11111111.11,11111111.11
304,(주)국보디자인,66620,Dec-12,8631842,8281324,30.63,36.75
305,(주)국보디자인,66620,Dec-13,9417821,10935895,9.11,32.05
306,(주)국보디자인,66620,Dec-14,7901285,10942079,-16.1,0.06
307,(주)국보디자인,66620,Dec-15,6947669,10768050,-12.07,-1.59
308,(주)국보디자인,66620,Dec-16,11905078,10738135,71.35,-0.28
309,(주)국보디자인,66620,Dec-17,14149734,13340935,18.85,24.24
310,(주)국보디자인,66620,Dec-18,14098992,13872876,-0.36,3.99
311,(주)국보디자인,66620,Dec-19,9509021,15942956,-32.56,14.92
312,(주)국순당,43650,Dec-11,5640710,5264054,-40.68,-66.98
313,(주)국순당,43650,Dec-12,5122888,6185532,-9.18,17.51
314,(주)국순당,43650,Dec-13,2346882,5742772,-54.19,-7.16
315,(주)국순당,43650,Dec-14,1997559,3463226,-14.88,-39.69
316,(주)국순당,43650,Dec-15,-4854598,-3529405,-343.03,-201.91
317,(주)국순당,43650,Dec-16,-2212642,-2760688,11111111.11,11111111.11
318,(주)국순당,43650,Dec-17,9847390,9687855,11111111.11,11111111.11
319,(주)국순당,43650,Dec-18,15171022,-2977369,54.06,-130.73
320,(주)국순당,43650,Dec-19,571892,-8269903,-96.23,11111111.11
321,(주)국영지앤엠,6050,Dec-11,-1752706,11111111.11,-406.47,11111111.11
322,(주)국영지앤엠,6050,Dec-12,4832440,11111111.11,11111111.11,0
323,(주)국영지앤엠,6050,Dec-13,953338,11111111.11,-80.27,0
324,(주)국영지앤엠,6050,Dec-14,395531,11111111.11,-58.51,0
325,(주)국영지앤엠,6050,Dec-15,-533927,11111111.11,-234.99,0
326,(주)국영지앤엠,6050,Dec-16,385503,11111111.11,11111111.11,0
327,(주)국영지앤엠,6050,Dec-17,1431624,11111111.11,271.37,0
328,(주)국영지앤엠,6050,Dec-18,-354808,11111111.11,-124.78,0
329,(주)국영지앤엠,6050,Dec-19,1089819,11111111.11,11111111.11,0
330,(주)국전약품,307750,Dec-18,11111111.11,11111111.11,919.54,0
331,(주)국전약품,307750,Dec-19,11111111.11,11111111.11,0,0
332,(주)그래디언트,35080,Dec-11,-4906079,-12292479,-144.15,-210.63
333,(주)그래디언트,35080,Dec-12,15794035,12756395,11111111.11,11111111.11
334,(주)그래디언트,35080,Dec-13,-9664900,23780984,-161.19,86.42
335,(주)그래디언트,35080,Dec-14,625806,31456346,11111111.11,32.28
336,(주)그래디언트,35080,Dec-15,13112622,42995247,1995.32,36.68
