,정상영업이익증가율,영업이익증가률개별,영업이익증가률연결
8802,0.0,11111111.11,0.0
8803,-81.33,-81.33,0.0
8804,435.49,435.49,0.0
8805,-259.32,11111111.11,-259.32
8806,-100.07,-97.0,-100.07
8807,2564.67,2564.67,11111111.11
8808,-102.33,-107.17,-102.33
8809,1254789.63,11111111.11,11111111.11
8810,1254789.63,11111111.11,11111111.11
8811,68.77,98.02,68.77
8812,-96.97,-87.39,-96.97
8813,-56.65,-18.06,-56.65
8814,-22688.32,11111111.11,-22688.32
8815,-32.36,-46.5,-32.36
8816,21.64,-10.98,21.64
8817,126.43,-0.62,126.43
8818,-40.28,43.11,-40.28
8819,47.03,3.45,47.03
8820,122.29,35.16,122.29
8821,28.06,15.57,28.06
8822,-16.34,15.74,-16.34
8823,-37.67,11111111.11,-37.67
8824,1254789.63,1254789.63,1254789.63
8825,-170.69,-94.67,-170.69
8826,-3969.78,-3969.78,11111111.11
8827,1254789.63,11111111.11,11111111.11
8828,1254789.63,1254789.63,0.0
8829,39.12,39.12,0.0
8830,34.89,3.03,34.89
8831,21.7,11.28,21.7
8832,3.6,11111111.11,3.6
8833,2.0,1254789.63,0.0
8834,1254789.63,11111111.11,11111111.11
8835,1254789.63,11111111.11,11111111.11
8836,1254789.63,11111111.11,11111111.11
8837,-34.94,-34.94,0.0
8838,335.14,335.14,0.0
8839,-71.71,-71.71,0.0
8840,-2387.94,-2387.94,0.0
8841,0.0,11111111.11,0.0
8842,1254789.63,11111111.11,11111111.11
8843,70.58,1254789.63,1254789.63
8844,2.54,-50.09,2.54
8845,-1.15,51.46,-1.15
8846,13.58,5.28,13.58
8847,-49.95,-37.77,-49.95
8848,-106.33,-95.71,-106.33
8849,1254789.63,11111111.11,11111111.11
8850,15.73,39.21,15.73
8851,20.22,18.02,20.22
8852,-11.59,-3.99,-11.59
8853,14.48,4.29,14.48
8854,12.45,13.96,12.45
8855,19.64,0.3,19.64
8856,-17.2,-21.25,-17.2
8857,57.58,42.03,57.58
8858,-34.5,11111111.11,-34.5
8859,-52.8,-60.59,-52.8
8860,-65.3,-65.66,-65.3
8861,300.47,322.57,300.47
8862,166.67,183.29,166.67
8863,17.97,22.84,17.97
8864,4.48,2.25,4.48
8865,16.86,11.25,16.86
8866,-2.29,-4.57,-2.29
8867,-50.38,11111111.11,-50.38
8868,-44.66,-37.13,-44.66
8869,-75.46,-68.73,-75.46
8870,-396.81,-287.19,-396.81
8871,1254789.63,11111111.11,11111111.11
8872,1254789.63,11111111.11,11111111.11
8873,211.7,303.45,211.7
8874,-47.98,-50.25,-47.98
8875,-34.32,-36.67,-34.32
8876,30.64,11111111.11,30.64
8877,0.95,-0.8,0.95
8878,2.13,5.43,2.13
8879,-14.44,-13.82,-14.44
8880,22.0,21.66,22.0
8881,-11.53,-12.77,-11.53
8882,13.2,9.53,13.2
8883,-0.34,-6.36,-0.34
8884,6.47,-0.87,6.47
8885,-15.22,11111111.11,-15.22
8886,14.77,18.63,14.77
8887,-5.3,4.15,-5.3
8888,-7.75,4.15,-7.75
8889,-7.52,-7.57,-7.52
8890,-0.23,-4.74,-0.23
8891,5.61,3.36,5.61
8892,2.74,0.55,2.74
8893,-9.4,0.87,-9.4
8894,-18.06,11111111.11,-18.06
8895,17.37,18.47,17.37
8896,21.62,29.74,21.62
8897,8.17,2.06,8.17
8898,1.75,-9.16,1.75
8899,-13.92,1.17,-13.92
8900,44.53,-16.84,44.53
8901,-5.28,30.65,-5.28
8902,-41.66,-45.51,-41.66
8903,-78.37,11111111.11,-78.37
8904,7.5,1254789.63,0.0
8905,4.09,4.09,0.0
8906,2.72,2.72,0.0
8907,-86.8,-57.4,-86.8
8908,616.86,153.1,616.86
8909,61.67,40.74,61.67
8910,34.37,11111111.11,34.37
8911,16.73,-2.67,16.73
8912,15.54,8.43,15.54
8913,-15.53,-32.71,-15.53
8914,2.94,27.79,2.94
8915,-20.12,-32.79,-20.12
8916,8.53,123.95,8.53
8917,0.03,263.53,0.03
8918,-5.11,-4.67,-5.11
8919,-12.7,11111111.11,-12.7
8920,15.42,15.06,15.42
8921,0.37,0.37,0.0
8922,-5.27,-5.27,0.0
8923,0.25,0.25,0.0
8924,-23.71,-23.71,0.0
8925,6.43,19.47,6.43
8926,12.62,13.35,12.62
8927,-10.38,-9.67,-10.38
8928,16.05,11111111.11,16.05
8929,-22.2,1254789.63,0.0
8930,2.23,2.23,0.0
8931,-63.96,-64.02,-63.96
8932,-279.86,-217.98,-279.86
8933,1254789.63,11111111.11,11111111.11
8934,-1607.83,-570.94,-1607.83
8935,1254789.63,11111111.11,11111111.11
8936,-1327.86,-1327.86,0.0
8937,0.0,11111111.11,0.0
8938,0.0,11111111.11,0.0
8939,114.12,114.12,0.0
8940,-29.26,21.84,-29.26
8941,-163.53,-85.21,-163.53
8942,-2332.34,-2332.34,11111111.11
8943,0.0,11111111.11,0.0
8944,1254789.63,11111111.11,11111111.11
8945,11.16,11.16,0.0
8946,5.97,-6.16,5.97
8947,-1.67,-11.08,-1.67
8948,-15.05,9.47,-15.05
8949,-76.84,-64.8,-76.84
8950,-634.59,-16.2,-634.59
8951,11.06,11.06,11111111.11
8952,84.67,84.67,11111111.11
8953,1254789.63,11111111.11,11111111.11
8954,-54.01,-52.93,-54.01
8955,-162.75,-149.88,-162.75
8956,1254789.63,11111111.11,11111111.11
8957,964.37,245.48,964.37
8958,-66.61,-53.73,-66.61
8959,100.46,11.74,100.46
8960,-51.44,-30.49,-51.44
8961,145.63,65.4,145.63
8962,91.29,11111111.11,91.29
8963,15.46,18.19,15.46
8964,32.55,34.59,32.55
8965,-33.03,-31.55,-33.03
8966,60.55,97.4,60.55
8967,-44.49,-23.54,-44.49
8968,2.35,-15.33,2.35
8969,-7.45,-12.06,-7.45
8970,186.11,104.04,186.11
8971,41.49,11111111.11,41.49
8972,-28.33,-36.67,-28.33
8973,-94.33,-119.22,-94.33
8974,1147.98,11111111.11,1147.98
8975,-218.93,-311.84,-218.93
8976,1254789.63,11111111.11,11111111.11
8977,-96.93,61.34,-96.93
8978,2213.69,57.24,2213.66
8979,-420.99,8.76,-420.99
8980,1254789.63,11111111.11,11111111.11
8981,137.62,27.43,137.62
8982,-105.88,-92.31,-105.88
8983,-1117.59,-1117.59,11111111.11
8984,1254789.63,11111111.11,11111111.11
8985,53.23,9.41,53.23
8986,124.09,122.8,124.09
8987,-122.55,-122.55,-122.55
8988,1254789.63,11111111.11,11111111.11
8989,1254789.63,11111111.11,11111111.11
8990,1254789.63,1254789.63,1254789.63
8991,33.56,21.7,33.56
8992,-31.16,-91.87,-31.16
