,회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원),0,1
157,(주)경동나비엔,9450,Dec-19,254559521,301042624,5.91,7.48
158,(주)경동도시가스,267290,Dec-17,292628586,294331882,14.95,-2.23
159,(주)경동도시가스,267290,Dec-18,318760537,320490074,8.93,8.89
160,(주)경동도시가스,267290,Dec-19,337701666,339612043,5.94,5.97
161,(주)경동인베스트,12320,Dec-11,412912132,407862543,22.27,20.1
162,(주)경동인베스트,12320,Dec-12,468921996,446509347,13.56,9.48
163,(주)경동인베스트,12320,Dec-13,516833582,498740561,10.22,11.7
164,(주)경동인베스트,12320,Dec-14,560802056,607451423,8.51,21.8
165,(주)경동인베스트,12320,Dec-15,548528455,576479441,-2.19,-5.1
166,(주)경동인베스트,12320,Dec-16,556247783,587924566,1.41,1.99
167,(주)경동인베스트,12320,Dec-17,309789000,400403090,-44.31,-31.9
168,(주)경동인베스트,12320,Dec-18,310422538,397867310,0.2,-0.63
169,(주)경동인베스트,12320,Dec-19,308309156,414533638,-0.68,4.19
170,(주)경방,50,Dec-11,676624221,629704391,119.46,51.91
171,(주)경방,50,Dec-12,669735441,620704205,-1.02,-1.43
172,(주)경방,50,Dec-13,685569176,636438555,2.36,2.53
173,(주)경방,50,Dec-14,651570419,647668814,-4.96,1.76
174,(주)경방,50,Dec-15,671770865,662952918,3.1,2.36
175,(주)경방,50,Dec-16,690245544,679843399,2.75,2.55
176,(주)경방,50,Dec-17,710964923,699134073,3,2.84
177,(주)경방,50,Dec-18,729185709,708769346,2.56,1.38
178,(주)경방,50,Dec-19,740731873,741553199,1.58,4.63
179,(주)경보제약,214390,Dec-15,122817151,11111111.11,-83.42,-98.5
180,(주)경보제약,214390,Dec-16,129402340,11111111.11,5.36,
181,(주)경보제약,214390,Dec-17,141509596,11111111.11,9.36,
182,(주)경보제약,214390,Dec-18,149012165,11111111.11,5.3,
183,(주)경보제약,214390,Dec-19,149163504,11111111.11,0.1,
184,(주)경인양행,12610,Dec-11,158882273,176292506,6.52,1486.63
185,(주)경인양행,12610,Dec-12,162112825,174988685,2.03,-0.74
186,(주)경인양행,12610,Dec-13,178074513,189744314,9.85,8.43
187,(주)경인양행,12610,Dec-14,186433506,198238667,4.69,4.48
188,(주)경인양행,12610,Dec-15,185903130,201125304,-0.28,1.46
189,(주)경인양행,12610,Dec-16,191021720,208293196,2.75,3.56
190,(주)경인양행,12610,Dec-17,190844102,210934933,-0.09,1.27
191,(주)경인양행,12610,Dec-18,198237400,223759383,3.87,6.08
192,(주)경인양행,12610,Dec-19,201086327,237433141,1.44,6.11
193,(주)고려시멘트,198440,Dec-14,11111111.11,11111111.11,-94.47,-95.32
194,(주)고려시멘트,198440,Dec-15,11111111.11,11111111.11,,
195,(주)고려시멘트,198440,Dec-16,11111111.11,11111111.11,,
196,(주)고려시멘트,198440,Dec-17,77394108,11111111.11,,
197,(주)고려시멘트,198440,Dec-18,86510962,11111111.11,11.78,
198,(주)고려시멘트,198440,Dec-19,88445378,11111111.11,2.24,
199,(주)고영테크놀러지,98460,Dec-11,70382391,69622726,-20.42,526.6
200,(주)고영테크놀러지,98460,Dec-12,84090906,83401095,19.48,19.79
201,(주)고영테크놀러지,98460,Dec-13,100051693,98319609,18.98,17.89
202,(주)고영테크놀러지,98460,Dec-14,118348519,115835240,18.29,17.81
203,(주)고영테크놀러지,98460,Dec-15,133570714,131475647,12.86,13.5
204,(주)고영테크놀러지,98460,Dec-16,157572806,157267580,17.97,19.62
205,(주)고영테크놀러지,98460,Dec-17,164836232,161317171,4.61,2.57
206,(주)고영테크놀러지,98460,Dec-18,229271175,225866639,39.09,40.01
207,(주)고영테크놀러지,98460,Dec-19,252020628,243668528,9.92,7.88
208,(주)골드앤에스,35290,Dec-11,22637807,22436829,-91.02,-90.79
209,(주)골드앤에스,35290,Dec-12,26252682,25517816,15.97,13.73
210,(주)골드앤에스,35290,Dec-13,9813149,13127353,-62.62,-48.56
211,(주)골드앤에스,35290,Dec-14,9084260,12082621,-7.43,-7.96
212,(주)골드앤에스,35290,Dec-15,14991660,15160254,65.03,25.47
213,(주)골드앤에스,35290,Dec-16,14102143,14268527,-5.93,-5.88
214,(주)골드앤에스,35290,Dec-17,13104737,13346076,-7.07,-6.46
215,(주)골드앤에스,35290,Dec-18,13867013,13779569,5.82,3.25
216,(주)골드앤에스,35290,Dec-19,-5001092,-5091573,-136.06,-136.95
217,(주)골드퍼시픽,38530,Dec-11,21829724,11111111.11,-536.5,-318.23
218,(주)골드퍼시픽,38530,Dec-12,22928402,11111111.11,5.03,
219,(주)골드퍼시픽,38530,Dec-13,17116411,16190999,-25.35,
220,(주)골드퍼시픽,38530,Dec-14,16902289,16567915,-1.25,2.33
221,(주)골드퍼시픽,38530,Dec-15,20115559,21193149,19.01,27.92
222,(주)골드퍼시픽,38530,Dec-16,1889641,11111111.11,-90.61,-47.57
223,(주)골드퍼시픽,38530,Dec-17,5364494,11111111.11,183.89,
224,(주)골드퍼시픽,38530,Dec-18,20086698,20086698,274.44,
225,(주)골드퍼시픽,38530,Dec-19,21069318,11111111.11,4.89,-44.68
226,(주)골프존,215000,Dec-15,105063093,108853909,398.65,879.69
227,(주)골프존,215000,Dec-16,115886579,120648626,10.3,10.84
228,(주)골프존,215000,Dec-17,181394935,189381881,56.53,56.97
229,(주)골프존,215000,Dec-18,197436844,194919561,8.84,2.92
230,(주)골프존,215000,Dec-19,205529589,200042879,4.1,2.63
231,(주)골프존뉴딘홀딩스,121440,Dec-11,348104397,348968757,69.37,74.45
232,(주)골프존뉴딘홀딩스,121440,Dec-12,410999847,411636973,18.07,17.96
233,(주)골프존뉴딘홀딩스,121440,Dec-13,427556455,424543917,4.03,3.14
234,(주)골프존뉴딘홀딩스,121440,Dec-14,473636026,486385956,10.78,14.57
235,(주)골프존뉴딘홀딩스,121440,Dec-15,551703320,551360423,16.48,13.36
236,(주)골프존뉴딘홀딩스,121440,Dec-16,506841447,528087416,-8.13,-4.22
237,(주)골프존뉴딘홀딩스,121440,Dec-17,480074461,500912642,-5.28,-5.15
238,(주)골프존뉴딘홀딩스,121440,Dec-18,484480922,485969871,0.92,-2.98
239,(주)골프존뉴딘홀딩스,121440,Dec-19,450069457,447197508,-7.1,-7.98
240,(주)광림,14200,Dec-11,56677106,11111111.11,-87.41,-97.52
241,(주)광림,14200,Dec-12,63502275,11111111.11,12.04,
242,(주)광림,14200,Dec-13,64796802,11111111.11,2.04,
243,(주)광림,14200,Dec-14,66259380,128970849,2.26,
244,(주)광림,14200,Dec-15,80899308,11111111.11,22.09,-91.38
245,(주)광림,14200,Dec-16,90221084,113505965,11.52,
246,(주)광림,14200,Dec-17,176556237,107690687,95.69,-5.12
247,(주)광림,14200,Dec-18,120931215,90075229,-31.51,-16.36
248,(주)광림,14200,Dec-19,60749234,90772137,-49.77,0.77
249,(주)광명전기,17040,Dec-11,56987613,62936103,-6.19,-30.67
250,(주)광명전기,17040,Dec-12,55136666,62992204,-3.25,0.09
251,(주)광명전기,17040,Dec-13,60793004,69847678,10.26,10.88
252,(주)광명전기,17040,Dec-14,67539909,78696030,11.1,12.67
253,(주)광명전기,17040,Dec-15,71275955,87829336,5.53,11.61
254,(주)광명전기,17040,Dec-16,86335358,98063360,21.13,11.65
255,(주)광명전기,17040,Dec-17,85430878,96648221,-1.05,-1.44
256,(주)광명전기,17040,Dec-18,87989865,98748349,3,2.17
257,(주)광명전기,17040,Dec-19,94186043,105398860,7.04,6.73
258,(주)광무,29480,Dec-11,49296267,37831616,-47.66,-64.11
259,(주)광무,29480,Dec-12,36518143,29507218,-25.92,-22
260,(주)광무,29480,Dec-13,11346800,8786699,-68.93,-70.22
261,(주)광무,29480,Dec-14,8505450,11111111.11,-25.04,26.45
262,(주)광무,29480,Dec-15,7744452,11111111.11,-8.95,
263,(주)광무,29480,Dec-16,8053231,11111111.11,3.99,
264,(주)광무,29480,Dec-17,13552175,11111111.11,68.28,
265,(주)광무,29480,Dec-18,9695091,10729216,-28.46,
266,(주)광무,29480,Dec-19,22202195,22844122,129,112.92
267,(주)광주신세계,37710,Dec-11,310214632,11111111.11,1297.23,-51.36
268,(주)광주신세계,37710,Dec-12,361615843,11111111.11,16.57,
269,(주)광주신세계,37710,Dec-13,408690826,11111111.11,13.02,
270,(주)광주신세계,37710,Dec-14,448624926,11111111.11,9.77,
271,(주)광주신세계,37710,Dec-15,491380796,11111111.11,9.53,
272,(주)광주신세계,37710,Dec-16,534290186,11111111.11,8.73,
273,(주)광주신세계,37710,Dec-17,579363832,11111111.11,8.44,
274,(주)광주신세계,37710,Dec-18,620656716,11111111.11,7.13,
275,(주)광주신세계,37710,Dec-19,661189861,11111111.11,6.53,
276,(주)구영테크,53270,Dec-11,27962532,36633264,-95.77,229.7
277,(주)구영테크,53270,Dec-12,29302171,36686891,4.79,0.15
278,(주)구영테크,53270,Dec-13,30762180,39023837,4.98,6.37
279,(주)구영테크,53270,Dec-14,42200180,52212920,37.18,33.8
280,(주)구영테크,53270,Dec-15,44066560,56401223,4.42,8.02
