회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원)
(주)SH에너지화학,2360,17-Dec,184672638,188114822,123261552,125312154,161711689,161824273,18561488,19985599,29569635,32135522,30956708,31096409,3546004,3857258,105717970,107693472,79139030,87597479,8386725,8284440,17543581,17618682
(주)SH에너지화학,2360,18-Dec,180753289,183598766,120895795,122434685,169058462,171330094,20857092,22253999,26954657,28065346,29913044,30043406,2834564,3142096,104065473,105390892,77591484,85758694,6653981,6658546,16830322,17043794
(주)SH에너지화학,2360,19-Dec,138161816,140852575,121126250,123415832,131861388,134184400,15888341,16753438,18332571,19343406,33126165,33194337,3208429,3694619,97386214,98999976,74793897,83558867,7038413,7524603,23740037,24415856
(주)SIMPAC,9160,11-Dec,213867522,215365697,296953131,310879328,169699426,170409718,26353233,26468261,61101857,61396431,62702218,72940322,43777751,43770923,155833324,168941269,151220422,152885455,116922857,116979241,141119807,141938059
(주)SIMPAC,9160,12-Dec,223854758,225353321,307366684,318665505,182101881,182861979,25281451,25350698,63906443,64410349,64182764,74000157,42769001,43038060,177830482,187860952,150643335,152757766,108043478,108358727,129536202,130804553
(주)SIMPAC,9160,13-Dec,204527751,205751154,349836891,361985890,163875499,164405183,25606746,25646140,70594150,70776019,64271295,73711642,44169184,44206409,197900866,208831047,106534703,108635043,133732141,133795401,151936024,153154843
(주)SIMPAC,9160,14-Dec,227491803,263152264,329325876,381939281,188349315,220084616,31897827,40715808,65389652,85807726,70604838,169381419,43939918,52562621,203904919,219125252,118044851,144850453,116089000,136708331,125420957,162814028
(주)SIMPAC,9160,15-Dec,213152303,269528038,369348917,422833445,171341851,221412942,48860928,56208760,63243462,92407160,75847152,180973199,55842308,67298437,220087525,232007841,138074968,174086524,142954454,169308019,149261391,190825603
(주)SIMPAC,9160,16-Dec,215839356,267074156,366245273,417865468,175971604,217713888,41542910,45959349,49480584,82187792,75130388,178694040,51209761,58871035,228959172,240416530,138253630,176778523,130874395,155344858,137286101,177448939
(주)SIMPAC,9160,17-Dec,203150228,230634812,343005145,381158251,168484356,193009825,34297232,39255148,69293781,92525495,70402759,172659787,37131836,43128793,223781988,240826100,124800057,150671614,114191470,130651105,119223157,140332152
(주)SIMPAC,9160,18-Dec,268863854,306150809,628334175,681750819,243575353,271995017,103871365,110042965,58586618,83584396,156312739,357331367,51177189,58971889,411119510,435032869,273219151,310736335,207957388,228518804,217214665,246717950
(주)SIMPAC,9160,19-Dec,391970769,430085162,608693104,679145850,357126998,385305111,69944925,88166502,47263174,70072876,153003014,263608239,40079750,51813505,419215968,441195485,224313300,289195402,178141755,219489571,189477136,237950364
(주)SNT에너지,100840,11-Dec,195318747,,276511841,,181219511,,15421719,,61985605,,122586108,,55872184,,160595865,,145463387,,96002453,,115915976,
(주)SNT에너지,100840,12-Dec,230707564,,292802033,,191839172,,17407006,,55907590,,122289502,,65718988,,183306309,,161463967,,88443397,,109495724,
(주)SNT에너지,100840,13-Dec,200750984,,311675279,,161808099,,17793150,,41261252,,120367341,,70867607,,198164671,,181309369,,91989174,,113510608,
(주)SNT에너지,100840,14-Dec,242746888,,304511816,,203611420,,17747389,,49187725,,120065551,,64307956,,207712504,,170494610,,76613085,,96799312,
(주)SNT에너지,100840,15-Dec,260094045,,316196096,,202305297,,10693980,,64863275,,118714558,,57773382,,231399939,,184059424,,64293369,,84796156,
(주)SNT에너지,100840,16-Dec,254089906,,348042346,,204980319,,6779276,,48869506,,118148046,,75601196,,229799567,,211766053,,102181702,,118242778,
(주)SNT에너지,100840,17-Dec,184091945,,300266693,,146050315,,2324389,,51310402,,116825424,,49075004,,233817326,,172919603,,49128545,,66449368,
