,회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),0,1,2,3
94,(주)TCC스틸,2710,Dec-15,22342500,19000000,22342500,19000000,350074629,495795871,24.12,24.12,-12.77,-4.47
95,(주)TCC스틸,2710,Dec-16,22342500,22342500,22342500,22342500,317235565,444453635,17.59,17.59,-9.38,-10.36
96,(주)TCC스틸,2710,Dec-17,22342500,22342500,22342500,22342500,333762378,391370092,0,0,5.21,-11.94
97,(주)TCC스틸,2710,Dec-18,22342500,22342500,22342500,22342500,351301866,413176279,0,0,5.26,5.57
98,(주)TCC스틸,2710,Dec-19,22342500,22342500,22342500,22342500,339334364,437173902,0,0,-3.41,5.81
99,(주)가비아,79940,Dec-11,6367842,6367842,6367842,6367842,33792831,52838864,-71.5,-71.5,-90.04,-87.91
100,(주)가비아,79940,Dec-12,6667842,6367842,6667842,6367842,38482449,69058144,4.71,4.71,13.88,30.7
101,(주)가비아,79940,Dec-13,6667842,6667842,6667842,6667842,40507693,70675565,4.71,4.71,5.26,2.34
102,(주)가비아,79940,Dec-14,6767842,6667842,6767842,6667842,43906243,80432047,1.5,1.5,8.39,13.8
103,(주)가비아,79940,Dec-15,6767842,6767842,6767842,6767842,48446932,91648622,1.5,1.5,10.34,13.95
104,(주)가비아,79940,Dec-16,6767842,6767842,6767842,6767842,49430564,102178978,0,0,2.03,11.49
105,(주)가비아,79940,Dec-17,6767842,6767842,6767842,6767842,52365659,116217941,0,0,5.94,13.74
106,(주)가비아,79940,Dec-18,6767842,6767842,6767842,6767842,55197652,128728438,0,0,5.41,10.76
107,(주)가비아,79940,Dec-19,6767842,6767842,6767842,6767842,58254105,148306878,0,0,5.54,15.21
108,(주)강스템바이오텍,217730,Dec-15,6908575,3650000,11111111.11,11111111.11,1484593,11111111.11,2.08,64.18,-97.45,-92.51
109,(주)강스템바이오텍,217730,Dec-16,7106825,6908575,11111111.11,11111111.11,842805,11111111.11,94.71,1254789.63,-43.23,
110,(주)강스템바이오텍,217730,Dec-17,8125856,7106825,8125856,7106825,5394323,9132939,17.62,1254789.63,540.04,
111,(주)강스템바이오텍,217730,Dec-18,10412469,8125856,10412469,8125856,1001039,9165454,46.51,46.51,-81.44,0.36
112,(주)강스템바이오텍,217730,Dec-19,12044686,10412469,12044686,10412469,282069,6004584,48.23,48.23,-71.82,-34.49
113,(주)강원랜드,35250,Dec-11,106970250,106970250,106970250,106970250,1263651213,1265686425,927.33,927.33,447893.65,20978.67
114,(주)강원랜드,35250,Dec-12,106970250,106970250,106970250,106970250,1292896121,1296191223,0,0,2.31,2.41
115,(주)강원랜드,35250,Dec-13,106970250,106970250,106970250,106970250,1356906162,1361286598,0,0,4.95,5.02
116,(주)강원랜드,35250,Dec-14,106970250,106970250,106970250,106970250,1492291312,1496541441,0,0,9.98,9.94
117,(주)강원랜드,35250,Dec-15,106970250,106970250,106970250,106970250,1630976696,1633716839,0,0,9.29,9.17
118,(주)강원랜드,35250,Dec-16,106970250,106970250,106970250,106970250,1694575212,1696532511,0,0,3.9,3.84
119,(주)강원랜드,35250,Dec-17,106970250,106970250,106970250,106970250,1602901764,1604470055,0,0,-5.41,-5.43
120,(주)강원랜드,35250,Dec-18,106970250,106970250,106970250,106970250,1436042435,1438059299,0,0,-10.41,-10.37
121,(주)강원랜드,35250,Dec-19,106970250,106970250,106970250,106970250,1517612252,1520080449,0,0,5.68,5.7
122,(주)강원에너지,114190,Nov-11,2650000,2650000,11111111.11,11111111.11,50222892,11111111.11,-97.52,-89.61,-96.69,-99.27
123,(주)강원에너지,114190,Dec-12,5300000,2650000,11111111.11,11111111.11,106471214,11111111.11,100,1254789.63,112,
124,(주)강원에너지,114190,Dec-13,6333413,5300000,11111111.11,11111111.11,50660659,11111111.11,139,1254789.63,-52.42,
125,(주)강원에너지,114190,Dec-14,7195481,6333413,11111111.11,11111111.11,51481321,11111111.11,35.76,1254789.63,1.62,
126,(주)강원에너지,114190,Dec-15,7626515,7195481,7626515,7195481,48852892,46188664,20.42,1254789.63,-5.11,
127,(주)강원에너지,114190,Dec-16,7626515,7626515,7626515,7626515,44448760,42287473,5.99,5.99,-9.02,-8.45
128,(주)강원에너지,114190,Dec-17,7626515,7626515,7626515,7626515,83113029,82034829,0,0,86.99,93.99
129,(주)강원에너지,114190,Dec-18,7683448,7626515,7683448,7626515,85905365,85905365,0.75,0.75,3.36,4.72
130,(주)강원에너지,114190,Dec-19,8721837,7683448,8721837,7683448,42549622,42549622,14.36,14.36,-50.47,-50.47
131,(주)갤럭시아에스엠,11420,Dec-11,9811212,9811212,9811212,9811212,31931418,47331427,27.69,27.69,-24.95,11.24
132,(주)갤럭시아에스엠,11420,Dec-12,9811212,9811212,9811212,9811212,37398255,55049732,0,0,17.12,16.31
133,(주)갤럭시아에스엠,11420,Dec-13,9811212,9811212,9811212,9811212,30903637,46437304,0,0,-17.37,-15.64
134,(주)갤럭시아에스엠,11420,Dec-14,9811212,9811212,9811212,9811212,33027933,43885894,0,0,6.87,-5.49
135,(주)갤럭시아에스엠,11420,Dec-15,13774822,9811212,13774822,9811212,53784932,62472754,40.4,40.4,62.85,42.35
136,(주)갤럭시아에스엠,11420,Dec-16,13774822,13774822,13774822,13774822,45665676,52626331,40.4,40.4,-15.1,-15.76
137,(주)갤럭시아에스엠,11420,Dec-17,13774822,13774822,13774822,13774822,36917656,37281280,0,0,-19.16,-29.16
138,(주)갤럭시아에스엠,11420,Dec-18,13774822,13774822,13774822,13774822,22030258,22060413,0,0,-40.33,-40.83
139,(주)갤럭시아에스엠,11420,Dec-19,13774822,13774822,13774822,13774822,28732679,28732679,0,0,30.42,30.25
140,(주)경농,2100,Dec-11,10845875,10845875,10845875,10845875,120728258,121253605,-21.26,-21.26,320.18,322.01
