회사명,거래소코드,회계년도,영업이익(개별),영업이익(연결)
(주)구영테크,53270,Dec-10,6941447,7839752
(주)구영테크,53270,Dec-11,5189843,5159049
(주)구영테크,53270,Dec-12,4839337,7488049
(주)구영테크,53270,Dec-13,4463036,7492265
(주)구영테크,53270,Dec-14,2782248,5438229
(주)구영테크,53270,Dec-15,3529661,6145428
(주)구영테크,53270,Dec-16,4114290,4337719
(주)구영테크,53270,Dec-17,3025353,5691336
(주)구영테크,53270,Dec-18,1638584,5378869
(주)구영테크,53270,Dec-19,2513646,5239175
(주)국동,5320,Dec-10,2928311,1842672
(주)국동,5320,Dec-11,-5805369,1137580
(주)국동,5320,Dec-12,1814279,6792925
(주)국동,5320,Dec-13,3421258,5522012
(주)국동,5320,Dec-14,5708079,10149086
(주)국동,5320,Dec-15,6875576,8655834
(주)국동,5320,Dec-16,7880757,10563534
(주)국동,5320,Dec-17,-2404926,-5856431
(주)국동,5320,Dec-18,1682592,5762204
(주)국동,5320,Dec-19,-9536815,-4249137
(주)국보,1140,Dec-10,2634133,2590773
(주)국보,1140,Dec-11,1856011,1737608
(주)국보,1140,Dec-12,1079411,1365801
(주)국보,1140,Dec-13,653033,731017
(주)국보,1140,Dec-14,-1997880,-2409123
(주)국보,1140,Dec-15,-2191281,-2462368
(주)국보,1140,Dec-16,-507392,204105
(주)국보,1140,Dec-17,-3408921,-3934058
(주)국보,1140,Dec-18,-4639062,-5293766
(주)국보,1140,Dec-19,-1521920,-968491
(주)국보디자인,66620,Dec-10,4251760,7073689
(주)국보디자인,66620,Dec-11,8488849,8573205
(주)국보디자인,66620,Dec-12,10775504,10501259
(주)국보디자인,66620,Dec-13,10440161,11767773
(주)국보디자인,66620,Dec-14,9850658,13346471
(주)국보디자인,66620,Dec-15,6839950,12789434
(주)국보디자인,66620,Dec-16,13350340,10516457
(주)국보디자인,66620,Dec-17,23990594,23215726
(주)국보디자인,66620,Dec-18,16747380,16463397
(주)국보디자인,66620,Dec-19,10506065,11557298
(주)국순당,43650,Dec-10,15496377,14517859
(주)국순당,43650,Dec-11,5668811,5344491
(주)국순당,43650,Dec-12,6794416,5650757
(주)국순당,43650,Dec-13,1187809,1441447
(주)국순당,43650,Dec-14,881757,1082245
(주)국순당,43650,Dec-15,-8305751,-8197632
(주)국순당,43650,Dec-16,-5456865,-6487771
(주)국순당,43650,Dec-17,-3584872,-4263332
(주)국순당,43650,Dec-18,-2751939,-2994444
(주)국순당,43650,Dec-19,-5440912,-5966921
(주)국영지앤엠,6050,Dec-10,9811529,0
(주)국영지앤엠,6050,Dec-11,-2947683,0
(주)국영지앤엠,6050,Dec-12,-1490604,0
(주)국영지앤엠,6050,Dec-13,1332568,0
(주)국영지앤엠,6050,Dec-14,1587301,0
(주)국영지앤엠,6050,Dec-15,-1039281,0
(주)국영지앤엠,6050,Dec-16,248835,0
(주)국영지앤엠,6050,Dec-17,1410362,0
(주)국영지앤엠,6050,Dec-18,-920018,0
(주)국영지앤엠,6050,Dec-19,991045,0
(주)국전약품,307750,Dec-18,0,0
(주)국전약품,307750,Dec-19,0,0
(주)그래디언트,35080,Dec-10,-3295421,-15191497
(주)그래디언트,35080,Dec-11,-7828136,-17906695
(주)그래디언트,35080,Dec-12,-707626,14020875
(주)그래디언트,35080,Dec-13,309117,47742963
(주)그래디언트,35080,Dec-14,161037,51009616
(주)그래디언트,35080,Dec-15,5841995,65149099
(주)그래디언트,35080,Dec-16,10733857,49505493
(주)그래디언트,35080,Dec-17,6033340,29816492
(주)그래디언트,35080,Dec-18,5963182,19963614
(주)그래디언트,35080,Dec-19,3788374,45164129
(주)그리티,204020,Dec-18,9289657,8045203
(주)그리티,204020,Dec-19,4418702,2913982
(주)그린플러스,186230,Dec-19,3430717,5077237
(주)글로벌스탠다드테크놀로지,83450,Dec-10,6941576,8092918
(주)글로벌스탠다드테크놀로지,83450,Dec-11,2897104,4242806
(주)글로벌스탠다드테크놀로지,83450,Dec-12,6164717,8120683
(주)글로벌스탠다드테크놀로지,83450,Dec-13,6148795,7530078
(주)글로벌스탠다드테크놀로지,83450,Dec-14,6371366,8599178
(주)글로벌스탠다드테크놀로지,83450,Dec-15,3684905,6011587
(주)글로벌스탠다드테크놀로지,83450,Dec-16,2388293,4877910
(주)글로벌스탠다드테크놀로지,83450,Dec-17,19126708,22260787
(주)글로벌스탠다드테크놀로지,83450,Dec-18,7914173,10405764
(주)글로벌스탠다드테크놀로지,83450,Dec-19,22053993,21908352
(주)금비,8870,Sep-10,1132056,0
(주)금비,8870,Sep-11,2521986,8132782
(주)금비,8870,Sep-12,579562,6098145
(주)금비,8870,Sep-13,654358,6079123
(주)금비,8870,Sep-14,-1616408,5532591
(주)금비,8870,Sep-15,7842089,15280448
(주)금비,8870,Sep-16,7204631,19991978
(주)금비,8870,Sep-17,903947,11676424
(주)금비,8870,Sep-18,2911534,12705520
(주)금비,8870,Sep-19,1416311,12430194
(주)금양,1570,Dec-10,3967653,3026842
