회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원)
(주)강원랜드,035250,2018/12,4229630541,4231241354,1299058388,1314038393,1749493012,1759033105,3586452533,3586777089
(주)강원랜드,035250,2019/12,4436461953,4438119306,1353732478,1370568026,1868365557,1878191161,3718433001,3717759076
(주)강원에너지,114190,2011/11,53719067,,3912294,,47950975,,24502434,
(주)강원에너지,114190,2012/12,89258208,,4416402,,80491240,,36107930,
(주)강원에너지,114190,2013/12,72441333,,4787448,,61556228,,45877155,
(주)강원에너지,114190,2014/12,67037639,,10004091,,48800730,,50445491,
(주)강원에너지,114190,2015/12,80939019,85457457,9712091,12847843,58744703,62927388,54880924,56583901
(주)강원에너지,114190,2016/12,70850137,77186606,9490734,14792058,49882033,53716336,53746356,55088690
(주)강원에너지,114190,2017/12,87781416,93179394,9242859,15392067,66557788,68068421,47117020,48303010
(주)강원에너지,114190,2018/12,89619750,93845576,8853092,14771745,70097814,70556730,49286354,50203707
(주)강원에너지,114190,2019/12,55106032,56602063,9089689,10387938,30346449,30544232,22904034,21124556
(주)갤럭시아에스엠,011420,2011/12,40711969,45110356,263856,746008,17322791,24658098,24539613,25274017
(주)갤럭시아에스엠,011420,2012/12,40169876,43979072,244196,3386965,21665386,24752609,25153401,25907252
(주)갤럭시아에스엠,011420,2013/12,34158874,37636664,258052,3092608,15680160,19899780,22472626,21493102
(주)갤럭시아에스엠,011420,2014/12,40528250,45274078,170073,3055021,21910144,26742964,23402468,23205508
(주)갤럭시아에스엠,011420,2015/12,67196553,68686992,428742,2905233,40480215,44426010,50665218,49739042
(주)갤럭시아에스엠,011420,2016/12,55825556,58444606,468225,2588337,33508731,37929417,44846832,44846832
(주)갤럭시아에스엠,011420,2017/12,48958128,49831109,348574,364072,25522603,28750883,40494336,40494336
(주)갤럭시아에스엠,011420,2018/12,33337692,33253331,251603,251603,14317048,14251248,26797332,26472162
(주)갤럭시아에스엠,011420,2019/12,28241598,28241598,511985,511985,13644588,13644588,21798750,21798750
(주)경농,002100,2011/12,176741869,173774102,47135730,49541176,85897543,94363834,146016982,142986220
(주)경농,002100,2012/12,203467698,269412832,51459712,93105654,88973571,142516976,151500247,151738994
(주)경농,002100,2013/12,214988593,255984725,55088070,101211463,90491612,129526582,162696463,163157512
(주)경농,002100,2014/12,230870852,284623063,60743502,118629306,92163573,139646908,168998955,168915900
(주)경농,002100,2015/12,265109291,316341853,60862714,122071383,110823037,161184139,173056378,174667648
(주)경농,002100,2016/12,266622289,320915151,60986166,133213483,113338004,156061222,176722752,183969132
(주)경농,002100,2017/12,268967010,335873898,61075339,140283689,114661596,163437464,182959158,192152986
(주)경농,002100,2018/12,285031873,357260541,67819776,142669413,124295854,169982099,187066687,201453891
(주)경농,002100,2019/12,297197088,370874091,64128521,139475078,138697201,185020093,190892614,201885272
(주)경동나비엔,009450,2011/12,224373470,263211016,71463183,103309756,109967953,129512842,143268094,168114574
(주)경동나비엔,009450,2012/12,254627468,299729837,86003940,120050563,123218302,145371681,152201349,175875394
(주)경동나비엔,009450,2013/12,301475800,354779867,148703601,184422743,104914630,134043087,161494784,187280988
(주)경동나비엔,009450,2014/12,331089242,401658957,133081097,190970831,134136648,159947056,167984480,190021880
(주)경동나비엔,009450,2015/12,324848990,402084368,134166342,195089500,129837058,158254944,185208256,206076609
(주)경동나비엔,009450,2016/12,347643876,429754702,138398427,203718091,145915928,175420277,210193123,238762190
(주)경동나비엔,009450,2017/12,391400492,503697210,143721378,221945791,175839342,230894567,222028494,256506497
(주)경동나비엔,009450,2018/12,440513661,583595818,157575992,248979361,209454208,287001959,240355951,280103616
(주)경동나비엔,009450,2019/12,461607017,609808343,165763623,278770581,214093729,274279157,254559521,301042624
(주)경동도시가스,267290,2017/12,707917077,710280194,316263778,316816604,374489353,376858740,292628586,294331882
(주)경동도시가스,267290,2018/12,775880913,778269612,320275132,320713747,441723742,444232799,318760537,320490074
(주)경동도시가스,267290,2019/12,747453908,749999474,325567581,325975219,392458231,395154174,337701666,339612043
(주)경동인베스트,012320,2011/12,941176098,1001490869,265516704,302120078,563584969,610411619,412912132,407862543
(주)경동인베스트,012320,2012/12,1168400020,1209924561,279769365,302039515,753036515,814034002,468921996,446509347
(주)경동인베스트,012320,2013/12,1161427092,1205008353,293643578,322577481,724069045,778164231,516833582,498740561
(주)경동인베스트,012320,2014/12,1101071366,1320789066,299563689,436240540,631297926,766552554,560802056,607451423
(주)경동인베스트,012320,2015/12,926392697,1167819522,317414775,478535233,459634757,571798491,548528455,576479441
(주)경동인베스트,012320,2016/12,903818865,1126122628,320740081,490371394,394847821,508994824,556247783,587924566
(주)경동인베스트,012320,2017/12,318031347,599276331,9664453,177264156,110951332,238339688,309789000,400403090
(주)경동인베스트,012320,2018/12,318776653,592002536,12131746,176391871,44742051,188460289,310422538,397867310
(주)경동인베스트,012320,2019/12,316572482,605467383,2798610,170491064,44653640,236475693,308309156,414533638
(주)경방,000050,2011/12,1331930968,1352324332,307701501,308454057,123787600,138673371,676624221,629704391
(주)경방,000050,2012/12,1301719900,1335039930,301773723,324064120,101710997,123685731,669735441,620704205
(주)경방,000050,2013/12,1261257414,1296989142,280675994,306515477,79482802,103410904,685569176,636438555
(주)경방,000050,2014/12,1275008413,1301841379,269480797,307855729,83665762,101229398,651570419,647668814
(주)경방,000050,2015/12,1259512344,1318643312,258275719,325770660,83760073,108093423,671770865,662952918
(주)경방,000050,2016/12,1237024388,1301910960,248710695,315500908,80538917,106002223,690245544,679843399
(주)경방,000050,2017/12,1199063663,1274042237,229435458,310601150,71472590,90254697,710964923,699134073
(주)경방,000050,2018/12,1226545382,1301792841,214332809,285829683,88159568,120711492,729185709,708769347
(주)경방,000050,2019/12,1296265431,1370742491,64860661,145683128,223798878,264861016,740731873,741553199
(주)경보제약,214390,2015/12,195488457,,74892236,,105108130,,122817151,
(주)경보제약,214390,2016/12,203735980,,83949070,,102226920,,129402340,
(주)경보제약,214390,2017/12,204869399,,78497115,,110638039,,141509596,
(주)경보제약,214390,2018/12,221622993,,76497132,,128936315,,149012165,
(주)경보제약,214390,2019/12,237816742,,88116421,,124176490,,149163504,
