,회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),0,1,2,3
158,(주)경동도시가스,267290,Dec-17,374489353,376858740,1111165,1111165,74.92,37.4,-98.32,-99.2
159,(주)경동도시가스,267290,Dec-18,441723742,444232799,1299646,1299646,17.95,17.88,16.96,16.96
160,(주)경동도시가스,267290,Dec-19,392458231,395154174,1333402,1333402,-11.15,-11.05,2.6,2.6
161,(주)경동인베스트,12320,Dec-11,563584969,610411619,837931,6238419,43.6,54.47,-37.16,367.86
162,(주)경동인베스트,12320,Dec-12,753036515,814034002,1073025,20579836,33.62,33.36,28.06,229.89
163,(주)경동인베스트,12320,Dec-13,724069045,778164231,759346,13656418,-3.85,-4.41,-29.23,-33.64
164,(주)경동인베스트,12320,Dec-14,631297926,766552554,1014437,18386682,-12.81,-1.49,33.59,34.64
165,(주)경동인베스트,12320,Dec-15,459634757,571798491,958537,8347076,-27.19,-25.41,-5.51,-54.6
166,(주)경동인베스트,12320,Dec-16,394847821,508994824,1016660,10949433,-14.1,-10.98,6.06,31.18
167,(주)경동인베스트,12320,Dec-17,110951332,238339688,0,14232992,-71.9,-53.17,-100,29.99
168,(주)경동인베스트,12320,Dec-18,44742051,188460289,87903,30703229,-59.67,-20.93,inf,115.72
169,(주)경동인베스트,12320,Dec-19,44653640,236475693,176596,30814751,-0.2,25.48,100.9,0.36
170,(주)경방,50,Dec-11,123787600,138673371,71422892,72996830,177.22,-41.36,40344.23,136.89
171,(주)경방,50,Dec-12,101710997,123685731,50300747,52907652,-17.83,-10.81,-29.57,-27.52
172,(주)경방,50,Dec-13,79482802,103410904,35601409,40216862,-21.85,-16.39,-29.22,-23.99
173,(주)경방,50,Dec-14,83665762,101229398,34615710,37758471,5.26,-2.11,-2.77,-6.11
174,(주)경방,50,Dec-15,83760073,108093423,37595998,52862910,0.11,6.78,8.61,40
175,(주)경방,50,Dec-16,80538917,106002223,33656952,45810493,-3.85,-1.93,-10.48,-13.34
176,(주)경방,50,Dec-17,71472590,90254697,22476156,31921285,-11.26,-14.86,-33.22,-30.32
177,(주)경방,50,Dec-18,88159568,120711492,35574579,59792825,23.35,33.75,58.28,87.31
178,(주)경방,50,Dec-19,223798878,264861016,13959690,31308041,153.86,119.42,-60.76,-47.64
179,(주)경보제약,214390,Dec-15,105108130,11111111.11,49522277,11111111.11,-53.03,-95.8,254.75,-64.51
180,(주)경보제약,214390,Dec-16,102226920,11111111.11,47568951,11111111.11,-2.74,,-3.94,
181,(주)경보제약,214390,Dec-17,110638039,11111111.11,47964422,11111111.11,8.23,,0.83,
182,(주)경보제약,214390,Dec-18,128936315,11111111.11,53494316,11111111.11,16.54,,11.53,
183,(주)경보제약,214390,Dec-19,124176490,11111111.11,62312499,11111111.11,-3.69,,16.48,
184,(주)경인양행,12610,Dec-11,99039937,166259207,51423188,95390048,-20.24,1396.33,-17.48,758.51
185,(주)경인양행,12610,Dec-12,94723927,146242797,38724208,70357744,-4.36,-12.04,-24.7,-26.24
186,(주)경인양행,12610,Dec-13,123143650,175887375,60685132,90667397,30,20.27,56.71,28.87
187,(주)경인양행,12610,Dec-14,107227115,164606526,57418066,89741323,-12.93,-6.41,-5.38,-1.02
188,(주)경인양행,12610,Dec-15,113173448,176664098,62450588,95494779,5.55,7.33,8.76,6.41
189,(주)경인양행,12610,Dec-16,126364739,191409058,66161603,99419770,11.66,8.35,5.94,4.11
190,(주)경인양행,12610,Dec-17,125062666,193184742,63955013,97118533,-1.03,0.93,-3.34,-2.31
191,(주)경인양행,12610,Dec-18,165167110,234817064,86129207,123873222,32.07,21.55,34.67,27.55
192,(주)경인양행,12610,Dec-19,172620331,251884675,101010142,141253404,4.51,7.27,17.28,14.03
193,(주)고려시멘트,198440,Dec-14,11111111.11,11111111.11,11111111.11,11111111.11,-93.56,-95.59,-89,-92.13
194,(주)고려시멘트,198440,Dec-15,11111111.11,11111111.11,11111111.11,11111111.11,,,,
195,(주)고려시멘트,198440,Dec-16,11111111.11,11111111.11,11111111.11,11111111.11,,,,
196,(주)고려시멘트,198440,Dec-17,38542950,11111111.11,3329941,11111111.11,,,,
197,(주)고려시멘트,198440,Dec-18,49955334,11111111.11,4242987,11111111.11,29.61,,27.42,
198,(주)고려시멘트,198440,Dec-19,46591282,11111111.11,6942200,11111111.11,-6.73,,63.62,
199,(주)고영테크놀러지,98460,Dec-11,61560094,63304178,13001882,14264259,32.13,469.74,87.29,28.38
200,(주)고영테크놀러지,98460,Dec-12,75787332,77857574,15164342,17763177,23.11,22.99,16.63,24.53
201,(주)고영테크놀러지,98460,Dec-13,93556579,94895999,17888953,20893135,23.45,21.88,17.97,17.62
202,(주)고영테크놀러지,98460,Dec-14,107119140,108649874,13344937,18090390,14.5,14.49,-25.4,-13.41
203,(주)고영테크놀러지,98460,Dec-15,124933566,121834639,12475503,19344915,16.63,12.14,-6.52,6.93
204,(주)고영테크놀러지,98460,Dec-16,156029191,154891864,12591503,19563475,24.89,27.13,0.93,1.13
205,(주)고영테크놀러지,98460,Dec-17,159374622,161356541,12749777,22300525,2.14,4.17,1.26,13.99
206,(주)고영테크놀러지,98460,Dec-18,231667150,227563739,19487304,31398344,45.36,41.03,52.84,40.8
207,(주)고영테크놀러지,98460,Dec-19,229213476,225797248,21338197,36331529,-1.06,-0.78,9.5,15.71
208,(주)골드앤에스,35290,Dec-11,23165184,23477041,2865869,2865869,-89.89,-89.6,-86.57,-92.11
209,(주)골드앤에스,35290,Dec-12,27310447,26661256,2643834,2643834,17.89,13.56,-7.75,-7.75
210,(주)골드앤에스,35290,Dec-13,17985887,15792977,3133301,3133301,-34.14,-40.76,18.51,18.51
211,(주)골드앤에스,35290,Dec-14,15782408,15072221,2940734,2940734,-12.25,-4.56,-6.15,-6.15
212,(주)골드앤에스,35290,Dec-15,15122533,15364121,2329866,2329866,-4.18,1.94,-20.77,-20.77
213,(주)골드앤에스,35290,Dec-16,8552277,8660668,1958738,1958738,-43.45,-43.63,-15.93,-15.93
214,(주)골드앤에스,35290,Dec-17,10974294,10831000,1057469,1057469,28.32,25.06,-46.01,-46.01
215,(주)골드앤에스,35290,Dec-18,21031370,21031370,1290682,1290682,91.64,94.18,22.05,22.05
216,(주)골드앤에스,35290,Dec-19,3910189,3910189,498013,498013,-81.41,-81.41,-61.41,-61.41
217,(주)골드퍼시픽,38530,Dec-11,15105931,11111111.11,4047225,11111111.11,286.32,184.16,712.67,2131.09
218,(주)골드퍼시픽,38530,Dec-12,19029706,11111111.11,6326625,11111111.11,25.98,,56.32,
219,(주)골드퍼시픽,38530,Dec-13,15961156,16708814,5930685,6434511,-16.13,,-6.26,
220,(주)골드퍼시픽,38530,Dec-14,15761409,23894969,3617004,7662615,-1.25,43.01,-39.01,19.09
221,(주)골드퍼시픽,38530,Dec-15,14304863,14304863,1707754,1707754,-9.24,-40.13,-52.79,-77.71
222,(주)골드퍼시픽,38530,Dec-16,5438550,11111111.11,55567,11111111.11,-61.98,-22.33,-96.75,550.63
223,(주)골드퍼시픽,38530,Dec-17,17215160,11111111.11,545070,11111111.11,216.54,,880.92,
224,(주)골드퍼시픽,38530,Dec-18,22006122,23990386,807960,1607114,27.83,,48.23,
225,(주)골드퍼시픽,38530,Dec-19,28455147,11111111.11,3548341,11111111.11,29.31,-53.69,339.17,591.37
226,(주)골프존,215000,Dec-15,71290784,81295773,1816661,3108991,150.54,631.66,-48.8,-72.02
227,(주)골프존,215000,Dec-16,75788492,89781733,11069054,12659642,6.31,10.44,509.31,307.19
228,(주)골프존,215000,Dec-17,142686039,160591890,10223995,13130013,88.27,78.87,-7.63,3.72
229,(주)골프존,215000,Dec-18,134088763,145265354,7999910,10498417,-6.03,-9.54,-21.75,-20.04
230,(주)골프존,215000,Dec-19,70491340,81730468,7433871,10880176,-47.43,-43.74,-7.08,3.64
231,(주)골프존뉴딘홀딩스,121440,Dec-11,249046740,276277197,5109784,5934952,253.3,238.03,-31.26,-45.45
232,(주)골프존뉴딘홀딩스,121440,Dec-12,267719852,267312187,16416317,17945664,7.5,-3.24,221.27,202.37
233,(주)골프존뉴딘홀딩스,121440,Dec-13,315880696,280228001,31018699,32288277,17.99,4.83,88.95,79.92
234,(주)골프존뉴딘홀딩스,121440,Dec-14,174950116,176744598,29629196,30575929,-44.62,-36.93,-4.48,-5.3
