회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),기타(영업)수익(*)(IFRS),기타(영업)수익(*)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)
(주)고영테크놀러지,098460,2015/12,138554625,145904431,56961633,56896177,0,0,55420485,65558661
(주)고영테크놀러지,098460,2016/12,153254768,171793841,61186100,63856136,0,0,61028848,74753217
(주)고영테크놀러지,098460,2017/12,188934907,203368626,73639302,71899522,0,0,69782520,87720199
(주)고영테크놀러지,098460,2018/12,219818022,238208865,88093203,89336707,0,0,85527985,102888841
(주)고영테크놀러지,098460,2019/12,209480760,222057035,81602341,80865005,0,0,87820454,107860718
(주)고영테크놀러지,098460,2020/12,157077647,179545134,63321096,66422475,0,0,80183561,97279756
(주)골드앤에스,035290,2010/12,50487261,50487261,36340786,35851526,188777,196102,14493588,15004917
(주)골드앤에스,035290,2011/12,47522791,47522791,33020367,32544786,138634,170783,12842845,13406161
(주)골드앤에스,035290,2012/12,43889087,43889087,31475407,31012456,0,0,14776821,15207506
(주)골드앤에스,035290,2013/12,36607591,39548810,26382626,28127986,0,0,15207067,17913933
(주)골드앤에스,035290,2014/12,29428881,31287203,21706823,23453716,0,0,10040836,10913085
(주)골드앤에스,035290,2015/12,22197935,22197935,15542053,15199451,0,0,5593861,5854717
(주)골드앤에스,035290,2016/12,15893494,15893494,9636887,9347753,0,0,5866965,6143671
(주)골드앤에스,035290,2017/12,12802035,12802035,8220762,8002687,0,0,8271390,8493390
(주)골드앤에스,035290,2018/12,8680452,8680452,4348267,4405757,0,0,8891313,8941725
(주)골드앤에스,035290,2019/12,7642733,7642733,6293120,6293120,0,0,8491730,8491730
(주)골드앤에스,035290,2020/12,4138760,4138760,1042913,1042913,0,0,5438959,5438959
(주)골드퍼시픽,038530,2010/12,10718074,,7711690,,59828,,2313513,
(주)골드퍼시픽,038530,2011/12,11236925,,6637040,,50354,,2281112,
(주)골드퍼시픽,038530,2012/12,10491048,,7335464,,0,,2428682,
(주)골드퍼시픽,038530,2013/12,6488691,7167832,7623009,8242393,0,0,4450221,5063021
(주)골드퍼시픽,038530,2014/12,4855121,16486257,8095405,17957521,0,0,2735104,4348050
(주)골드퍼시픽,038530,2015/12,6121489,18635305,8377506,19680341,0,0,5941733,7198088
(주)골드퍼시픽,038530,2016/12,9588100,,8116354,,0,,9996865,
(주)골드퍼시픽,038530,2017/12,5031439,,1988881,,0,,2104961,
(주)골드퍼시픽,038530,2018/12,5580994,5708281,1408824,1408824,0,0,4678410,5203460
(주)골드퍼시픽,038530,2019/12,11323125,,8029376,,0,,6714790,
(주)골드퍼시픽,038530,2020/12,14335385,,8875068,,0,,4775350,
(주)골프존,215000,2015/12,184085342,201560389,60628407,80622893,0,0,75828799,71355052
(주)골프존,215000,2016/12,196864993,216964342,75591746,87427908,0,0,77311791,84093965
(주)골프존,215000,2017/12,171859065,200105321,61708564,69036405,0,0,76621692,93611339
(주)골프존,215000,2018/12,191571105,198705194,77184826,77580938,0,0,85300585,92963990
(주)골프존,215000,2019/12,239051647,247018099,96463711,93859565,0,0,106388878,120861039
(주)골프존,215000,2020/12,281031445,298524085,114262020,111875928,0,0,115186448,135075243
(주)골프존뉴딘홀딩스,121440,2011/12,209788389,215793737,101810790,100364106,5060009,3149792,55068379,61499627
(주)골프존뉴딘홀딩스,121440,2012/12,276341690,289629366,119729808,131624220,0,0,82729840,89002498
(주)골프존뉴딘홀딩스,121440,2013/12,340005073,365126358,153062630,186981066,0,0,102494761,97656135
(주)골프존뉴딘홀딩스,121440,2014/12,387066126,429589619,171180827,219364035,0,0,114518182,107831868
(주)골프존뉴딘홀딩스,121440,2015/12,29389093,164536448,7714195,109081059,0,0,35478722,64804972
(주)골프존뉴딘홀딩스,121440,2016/12,27652102,243275475,512580,126201483,0,0,32702609,80068007
(주)골프존뉴딘홀딩스,121440,2017/12,23499543,213756902,681186,112978779,0,0,29642657,82355498
(주)골프존뉴딘홀딩스,121440,2018/12,16100354,223036801,630040,129202466,0,0,26475864,92720103
(주)골프존뉴딘홀딩스,121440,2019/12,26897482,228935651,25361094,140609926,0,0,19492596,91951161
(주)골프존뉴딘홀딩스,121440,2020/12,57481004,292025578,4108743,175867742,0,0,17255850,86157842
(주)광림,014200,2010/12,93434519,,77705430,,1156080,,12926508,
