회사명,거래소코드,회계년도,매출총이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)경인양행,012610,2014/12,36749016,190395047,48989735,277181095
(주)경인양행,012610,2015/12,26621097,175006703,43040653,263163677
(주)경인양행,012610,2016/12,28491125,179267850,46831689,274873817
(주)경인양행,012610,2017/12,29129964,193975818,47146026,299987729
(주)경인양행,012610,2018/12,52853900,222659442,75736437,331102011
(주)경인양행,012610,2019/12,56979274,245244968,84748032,358802386
(주)고려시멘트,198440,2014/12,,,,
(주)고려시멘트,198440,2015/12,,,,
(주)고려시멘트,198440,2016/12,,,,
(주)고려시멘트,198440,2017/12,11685674,87660276,,
(주)고려시멘트,198440,2018/12,12667611,85775723,,
(주)고려시멘트,198440,2019/12,5322291,70921781,,
(주)고영테크놀러지,098460,2010/12,41563513,71207683,42854648,72956931
(주)고영테크놀러지,098460,2011/12,45861064,80200892,49159908,86130810
(주)고영테크놀러지,098460,2012/12,54540808,100791139,61491816,107841666
(주)고영테크놀러지,098460,2013/12,55187015,103933681,61925234,111902729
(주)고영테크놀러지,098460,2014/12,74149292,135531589,82577725,142840131
(주)고영테크놀러지,098460,2015/12,81592992,138554625,89008254,145904431
(주)고영테크놀러지,098460,2016/12,92068668,153254768,107937705,171793841
(주)고영테크놀러지,098460,2017/12,115295604,188934907,131469104,203368626
(주)고영테크놀러지,098460,2018/12,131724819,219818022,148872158,238208865
(주)고영테크놀러지,098460,2019/12,127878419,209480760,141192030,222057035
(주)골드앤에스,035290,2010/12,14146475,50487261,14635735,50487261
(주)골드앤에스,035290,2011/12,14502424,47522791,14978005,47522791
(주)골드앤에스,035290,2012/12,12413679,43889087,12876630,43889087
(주)골드앤에스,035290,2013/12,10224965,36607591,11420824,39548810
(주)골드앤에스,035290,2014/12,7722058,29428881,7833487,31287203
(주)골드앤에스,035290,2015/12,6655883,22197935,6998484,22197935
(주)골드앤에스,035290,2016/12,6256607,15893494,6545741,15893494
(주)골드앤에스,035290,2017/12,4581274,12802035,4799349,12802035
(주)골드앤에스,035290,2018/12,4332185,8680452,4274694,8680452
(주)골드앤에스,035290,2019/12,1349614,7642733,1349614,7642733
(주)골드퍼시픽,038530,2010/12,3006384,10718074,,
(주)골드퍼시픽,038530,2011/12,4599886,11236925,,
(주)골드퍼시픽,038530,2012/12,3155584,10491048,,
(주)골드퍼시픽,038530,2013/12,-1134319,6488691,-1074561,7167832
(주)골드퍼시픽,038530,2014/12,-3240284,4855121,-1471265,16486257
(주)골드퍼시픽,038530,2015/12,-2256017,6121489,-1045036,18635305
(주)골드퍼시픽,038530,2016/12,1471746,9588100,,
(주)골드퍼시픽,038530,2017/12,3042558,5031439,,
(주)골드퍼시픽,038530,2018/12,4172170,5580994,4299457,5708281
(주)골드퍼시픽,038530,2019/12,3293749,11323125,,
(주)골프존,215000,2015/12,123456935,184085342,120937496,201560389
(주)골프존,215000,2016/12,121273247,196864993,129536433,216964342
(주)골프존,215000,2017/12,110150500,171859065,131068915,200105321
(주)골프존,215000,2018/12,114386279,191571105,121124256,198705194
(주)골프존,215000,2019/12,142587936,239051647,153158534,247018099
(주)골프존뉴딘홀딩스,121440,2011/12,107977599,209788389,115429631,215793737
(주)골프존뉴딘홀딩스,121440,2012/12,156611881,276341690,158005146,289629366
(주)골프존뉴딘홀딩스,121440,2013/12,186942444,340005073,178145292,365126358
(주)골프존뉴딘홀딩스,121440,2014/12,215885299,387066126,210225585,429589619
(주)골프존뉴딘홀딩스,121440,2015/12,21674898,29389093,55455390,164536448
(주)골프존뉴딘홀딩스,121440,2016/12,27139522,27652102,117073992,243275475
(주)골프존뉴딘홀딩스,121440,2017/12,22818357,23499543,100778123,213756902
(주)골프존뉴딘홀딩스,121440,2018/12,15470314,16100354,93834334,223036801
(주)골프존뉴딘홀딩스,121440,2019/12,1536388,26897482,88325725,228935651
(주)광림,014200,2010/12,15729089,93434519,,
(주)광림,014200,2011/12,17218321,106495363,,
(주)광림,014200,2012/12,10808243,85322569,,
(주)광림,014200,2013/12,13992010,103442134,,
(주)광림,014200,2014/12,13472247,92553612,55995427,231446314
(주)광림,014200,2015/12,58983797,237222890,,
(주)광림,014200,2016/12,12300668,87302967,12300668,87302967
(주)광림,014200,2017/12,15291059,99421336,4031184,135191558
(주)광림,014200,2018/12,12987146,75493055,14059037,136595300
(주)광림,014200,2019/12,14625935,93241157,10899581,145864184
(주)광명전기,017040,2010/12,6741621,68250250,13610054,103512739
(주)광명전기,017040,2011/12,5973579,57967857,11280623,92382628
(주)광명전기,017040,2012/12,8795358,79318302,14625287,117216514
(주)광명전기,017040,2013/12,14225599,90344376,19124582,117852824
(주)광명전기,017040,2014/12,15782386,115801471,19998187,134778387
(주)광명전기,017040,2015/12,9474372,93000177,17657253,116316957
(주)광명전기,017040,2016/12,9371309,96931493,9210533,96942911
(주)광명전기,017040,2017/12,9660564,105083042,9106720,101561159
(주)광명전기,017040,2018/12,9631030,96949804,10806650,114110654
(주)광명전기,017040,2019/12,13443756,125009206,14825593,131864294
(주)광무,029480,2010/12,18311952,80284671,18766999,81747132
(주)광무,029480,2011/12,9939570,50359203,9504041,51755052
(주)광무,029480,2012/12,7186760,40406860,7421181,41178683
(주)광무,029480,2013/12,-116400,10105219,-2087463,20534276
(주)광무,029480,2014/12,6876929,38409667,,
(주)광무,029480,2015/12,3995529,17648493,,
(주)광무,029480,2016/12,4677726,26429957,,
(주)광무,029480,2017/12,4037770,21540953,,
(주)광무,029480,2018/12,3589280,20707286,5305107,23074941
(주)광무,029480,2019/12,4370450,25244176,14613203,36483979
(주)광주신세계,037710,2010/12,129912346,207799414,,
(주)광주신세계,037710,2011/12,138915454,219613514,,
(주)광주신세계,037710,2012/12,136807016,213803173,,
(주)광주신세계,037710,2013/12,133590157,206606675,,
(주)광주신세계,037710,2014/12,133359832,204820461,,
(주)광주신세계,037710,2015/12,137379070,205331892,,
(주)광주신세계,037710,2016/12,141409310,210423594,,
(주)광주신세계,037710,2017/12,141028019,209647360,,
(주)광주신세계,037710,2018/12,117480208,135213362,,
(주)광주신세계,037710,2019/12,136309785,154879496,,
(주)구영테크,053270,2010/12,13243465,60777103,20892612,150546089
(주)구영테크,053270,2011/12,11622943,62527619,18102095,147832315
(주)구영테크,053270,2012/12,11996602,65451015,21522799,155788988
(주)구영테크,053270,2013/12,13168453,76282590,22262280,172747316
(주)구영테크,053270,2014/12,13317221,77799749,22470895,170528694
(주)구영테크,053270,2015/12,14340746,87109177,25444014,172083049
(주)구영테크,053270,2016/12,13927044,75320433,22520492,148301597
(주)구영테크,053270,2017/12,12562417,74298129,22734244,149833357
(주)구영테크,053270,2018/12,12255373,81928926,22259525,195238339
(주)구영테크,053270,2019/12,13358720,93132845,22186170,230853336
(주)국동,005320,2010/12,17606703,110608935,21252480,152156795
(주)국동,005320,2011/12,13700544,100097439,20114025,154293577
