,회사명,총자본증가율,0,1
429,(주)나노엔텍,0.82,4.22,0.82
430,(주)나노엔텍,-3.44,-0.29,-3.44
431,(주)나노엔텍,21.79,26.77,21.79
432,(주)나노엔텍,-13.25,-18.37,-13.25
433,(주)나노엔텍,-7.3,-5.01,-7.3
434,(주)나노엔텍,-0.49,0.56,-0.49
435,(주)나노엔텍,10.62,10.73,10.62
436,(주)나무가,50.39,192.02,337.09
437,(주)나무가,-3.9,-22.24,-3.9
438,(주)나무가,-27.31,-35.67,-27.31
439,(주)나무가,-16.6,5.63,-16.6
440,(주)나무가,63.78,101.43,63.78
441,(주)나스미디어,7.13,-38.17,-94.29
442,(주)나스미디어,0.37,0.37,11111111.11
443,(주)나스미디어,45.36,45.36,11111111.11
444,(주)나스미디어,35.66,35.66,11111111.11
445,(주)나스미디어,19.72,24.58,19.72
446,(주)나스미디어,-4.07,-4.32,-4.07
447,(주)나스미디어,17.53,21.99,17.53
448,(주)나이벡,34.78,-93.78,-96.88
449,(주)나이벡,-5.41,-5.41,11111111.11
450,(주)나이벡,3.61,3.61,11111111.11
451,(주)나이벡,-17.04,-17.04,11111111.11
452,(주)나이벡,37.32,37.32,11111111.11
453,(주)나이벡,18.22,18.22,11111111.11
454,(주)나이벡,12.11,12.11,11111111.11
455,(주)나이벡,-13.33,-13.33,11111111.11
456,(주)나이벡,60.12,60.12,11111111.11
457,(주)나이스디앤비,59.78,-36.64,0.0
458,(주)나이스디앤비,9.49,9.49,11111111.11
459,(주)나이스디앤비,9.44,9.44,11111111.11
460,(주)나이스디앤비,14.51,14.51,11111111.11
461,(주)나이스디앤비,12.03,12.03,11111111.11
462,(주)나이스디앤비,8.87,7.29,8.87
463,(주)나이스디앤비,15.97,15.17,15.97
464,(주)나이스디앤비,20.74,18.82,20.74
465,(주)나이스디앤비,38.85,18.44,38.85
466,(주)나이스홀딩스,2.73,444.73,443.46
467,(주)나이스홀딩스,16.02,-0.94,16.02
468,(주)나이스홀딩스,74.47,4.24,74.47
469,(주)나이스홀딩스,37.62,10.0,37.62
470,(주)나이스홀딩스,4.32,1.46,4.32
471,(주)나이스홀딩스,13.34,2.27,13.34
472,(주)나이스홀딩스,23.73,-0.96,23.73
473,(주)나이스홀딩스,24.71,10.02,24.71
474,(주)나이스홀딩스,18.03,3.49,18.03
475,(주)나인테크,-99.57,-97.46,-99.57
476,(주)나인테크,1254789.63,11111111.11,11111111.11
477,(주)나인테크,1254789.63,11111111.11,11111111.11
478,(주)남선알미늄,23.23,1918.63,2236.17
479,(주)남선알미늄,5.54,5.54,-95.72
480,(주)남선알미늄,0.36,0.36,11111111.11
481,(주)남선알미늄,1.16,1.16,11111111.11
482,(주)남선알미늄,19.05,19.05,11111111.11
483,(주)남선알미늄,-0.94,-0.94,11111111.11
484,(주)남선알미늄,0.44,0.44,11111111.11
485,(주)남선알미늄,3.62,3.62,11111111.11
486,(주)남선알미늄,-2.47,-0.81,-2.47
