회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원)
(주)강원랜드,035250,2013/12,398563590,388041305,272921,272921,0,0
(주)강원랜드,035250,2014/12,526317689,513172053,247465,247465,0,0
(주)강원랜드,035250,2015/12,603884505,595400402,226922,226922,0,0
(주)강원랜드,035250,2016/12,624885355,618616288,227810,237164,0,-9354
(주)강원랜드,035250,2017/12,535824585,530897334,197207,236815,0,-54542
(주)강원랜드,035250,2018/12,434851737,430699991,216518,234758,0,-47087
(주)강원랜드,035250,2019/12,502725264,501153152,1819209,1961001,-274874,-278026
(주)강원랜드,035250,2020/12,-430879909,-431583874,1789046,1875678,-1512257,-1598889
(주)강원에너지,114190,2010/11,1779388,,0,,0,
(주)강원에너지,114190,2011/11,6590008,,16730,,-16730,
(주)강원에너지,114190,2012/12,11611165,,0,,0,
(주)강원에너지,114190,2013/12,3234230,,0,,0,
(주)강원에너지,114190,2014/12,1626297,,0,,0,
(주)강원에너지,114190,2015/12,878120,447206,0,0,0,0
(주)강원에너지,114190,2016/12,-901973,-1311190,0,0,0,0
(주)강원에너지,114190,2017/12,-5421114,-5588512,0,0,0,0
(주)강원에너지,114190,2018/12,532248,341329,0,0,0,0
(주)강원에너지,114190,2019/12,-17150531,-17175963,0,0,0,0
(주)강원에너지,114190,2020/12,-8978062,-9226308,0,0,0,0
(주)갤럭시아에스엠,011420,2010/12,2164601,612927,846122,866008,-11367,-31253
(주)갤럭시아에스엠,011420,2011/12,5151679,5164839,839633,839702,-78618,-78618
(주)갤럭시아에스엠,011420,2012/12,1598883,2074371,507321,658637,-81100,-149617
(주)갤럭시아에스엠,011420,2013/12,652285,747160,288921,393067,-67168,-168704
(주)갤럭시아에스엠,011420,2014/12,-512149,-423280,362166,518288,-61702,-130886
(주)갤럭시아에스엠,011420,2015/12,2581511,2101041,227939,227939,-28526,-92434
(주)갤럭시아에스엠,011420,2016/12,-3225040,-3713866,173792,173792,0,-21018
(주)갤럭시아에스엠,011420,2017/12,-3330404,-3545768,99817,99817,0,0
(주)갤럭시아에스엠,011420,2018/12,-6687587,-10337846,65489,65489,0,0
(주)갤럭시아에스엠,011420,2019/12,-776659,-456437,51020,51020,0,0
(주)갤럭시아에스엠,011420,2020/12,1375120,,73942,,0,
(주)경농,002100,2010/12,14340339,13761999,2008597,2008597,-2009072,-2009072
(주)경농,002100,2011/12,8213288,7676752,1697607,1697607,-1708147,-1708147
(주)경농,002100,2012/12,13993847,12731056,1573789,2272647,-1549592,-2278810
(주)경농,002100,2013/12,16404459,18783505,1731407,3907921,-1743511,-3880559
(주)경농,002100,2014/12,14039409,14653846,1504659,3236805,-1490713,-3324184
(주)경농,002100,2015/12,9122621,12111543,1468711,3055839,-1467184,-2681513
(주)경농,002100,2016/12,7226128,9168484,1340636,2619123,-1343048,-2206736
(주)경농,002100,2017/12,9079453,8447803,1638358,3017295,-1685575,-2474017
(주)경농,002100,2018/12,15180272,14769793,0,0,-1560908,-2732924
(주)경농,002100,2019/12,11750268,8690743,0,0,-2206469,-3816185
(주)경농,002100,2020/12,11856809,14281977,0,0,-1441532,-2818100
(주)경동나비엔,009450,2010/12,8170507,11122338,75357,510816,-41443,-476901
(주)경동나비엔,009450,2011/12,12583280,12421333,391915,1034780,-392188,-1035054
(주)경동나비엔,009450,2012/12,11593426,13925116,413298,1190005,-357461,-1136346
(주)경동나비엔,009450,2013/12,14798703,19784395,452527,1373840,-972095,-1896321
(주)경동나비엔,009450,2014/12,16079662,13464776,1735376,2733427,-2386568,-3444228
(주)경동나비엔,009450,2015/12,20800513,24222981,2105752,3468233,-2058306,-3463900
(주)경동나비엔,009450,2016/12,36574176,45831937,674318,1829460,-680007,-2100889
(주)경동나비엔,009450,2017/12,32019764,47757034,586932,1574837,-583737,-1563499
(주)경동나비엔,009450,2018/12,29337538,40802217,1621661,3604816,-1583674,-3421192
(주)경동나비엔,009450,2019/12,39202886,44824995,1846977,4054605,-1875462,-4086165
(주)경동나비엔,009450,2020/12,45462923,67099323,1616635,3954098,-1220783,-3589140
(주)경동도시가스,267290,2017/12,21529500,21664503,324032,324033,-312558,-312559
(주)경동도시가스,267290,2018/12,43022492,42657143,431646,431646,-371658,-371658
(주)경동도시가스,267290,2019/12,27681162,28055130,958080,958080,-903191,-903191
(주)경동도시가스,267290,2020/12,17853641,18135395,987964,988044,-802099,-802179
(주)경동인베스트,012320,2010/12,47145359,45265164,1093109,3355792,-660009,-3018346
(주)경동인베스트,012320,2011/12,55958306,35856991,972325,3453989,-595333,-3139259
(주)경동인베스트,012320,2012/12,51501974,49896945,980748,2817669,-552962,-2560203
(주)경동인베스트,012320,2013/12,46688406,50540286,703801,1811081,-465890,-1584773
(주)경동인베스트,012320,2014/12,37837347,47933045,700185,2366553,-423675,-2079413
(주)경동인베스트,012320,2015/12,18397933,-13298185,618021,4593993,-362060,-4447579
(주)경동인베스트,012320,2016/12,23543293,28667528,838066,4942703,-254960,-4519949
(주)경동인베스트,012320,2017/12,-2256859,36380462,111579,4133240,-87347,-4168295
(주)경동인베스트,012320,2018/12,-161816,39212613,143,3675055,0,-4018065
(주)경동인베스트,012320,2019/12,-95605,21959506,20591,4153280,-20591,-3730176
(주)경동인베스트,012320,2020/12,467407,19465612,19201,3030153,-19201,-2493655
(주)경방,000050,2010/12,49768260,48084804,21603064,22689948,-21533907,-22623945
(주)경방,000050,2011/12,21404671,22188217,18256363,19264853,-18291104,-19313332
(주)경방,000050,2012/12,8240616,7253943,18973265,20032835,-18759616,-19823357
(주)경방,000050,2013/12,35902115,36031739,12391753,13944625,-12499069,-14223487
(주)경방,000050,2014/12,32095524,30618157,10956098,12414802,-10977077,-12544787
(주)경방,000050,2015/12,38629926,38961511,8815740,9977348,-8695668,-10503110
(주)경방,000050,2016/12,42576774,43436569,6009560,7844318,-6248793,-8083552
(주)경방,000050,2017/12,39411167,42309232,5049544,6658090,-4932745,-6800994
(주)경방,000050,2018/12,38971836,40979751,4891307,7986856,-4865256,-8052809
(주)경방,000050,2019/12,38966424,32020530,5573255,8924092,-6301340,-10684854
(주)경방,000050,2020/12,25369343,21853997,5301545,6744121,-5690654,-7510565
(주)경보제약,214390,2015/12,25632335,,877670,,-862847,
(주)경보제약,214390,2016/12,15594227,,960099,,-962132,
(주)경보제약,214390,2017/12,24586649,,1004770,,-977179,
(주)경보제약,214390,2018/12,17266575,,888660,,-894722,
(주)경보제약,214390,2019/12,6194073,,1298135,,-1120690,
(주)경보제약,214390,2020/12,8661432,,1307300,,-1311957,
(주)경인양행,012610,2010/12,700784,10380520,1521138,2622153,-1810850,-3017104
(주)경인양행,012610,2011/12,1876257,6353143,1889257,3594486,-2415197,-4319483
(주)경인양행,012610,2012/12,3006834,3641265,1951761,2895310,-2116706,-3244805
(주)경인양행,012610,2013/12,12078064,11145943,1313167,1944811,-1354325,-2202267
(주)경인양행,012610,2014/12,10970585,14093166,1365662,1968457,-1449844,-2304996
(주)경인양행,012610,2015/12,74687,6718134,1042725,1604240,-1043683,-1858780
(주)경인양행,012610,2016/12,2198152,10577181,893790,1641252,-908072,-1883108
(주)경인양행,012610,2017/12,159204,7364797,1491758,2362792,-1444893,-2365312
(주)경인양행,012610,2018/12,11975046,19691167,2526100,3469155,-2535971,-3882799
(주)경인양행,012610,2019/12,14176378,23555055,3393775,5051779,-3185496,-4948889
