,순이익증가율,순이익증가률개별,순이익증가률연결
2302,-49.52,-49.52,0.0
2303,254.51,254.51,0.0
2304,18.9,87.88,18.9
2305,-7.87,-3.88,-7.87
2306,101.16,94.77,101.16
2307,-80.39,-80.76,-80.39
2308,226.82,42.08,79.73
2309,62.98,90.29,62.98
2310,57.31,115.85,57.31
2311,-42.5,-45.47,-42.5
2312,-31.65,-49.06,-31.65
2313,-381.83,-314.24,-381.83
2314,1254789.63,11111111.11,11111111.11
2315,76.01,113.7,76.01
2316,-30.67,-50.85,-30.67
2317,-101.95,-98.04,-101.95
2318,-2205.26,-2205.26,11111111.11
2319,1254789.63,11111111.11,11111111.11
2320,1254789.63,11111111.11,11111111.11
2321,1254789.63,11111111.11,11111111.11
2322,1254789.63,11111111.11,11111111.11
2323,1254789.63,11111111.11,11111111.11
2324,1254789.63,11111111.11,11111111.11
2325,1254789.63,11111111.11,11111111.11
2326,1254789.63,11111111.11,11111111.11
2327,-159.82,11111111.11,-159.82
2328,1254789.63,11111111.11,11111111.11
2329,1254789.63,11111111.11,11111111.11
2330,1254789.63,11111111.11,11111111.11
2331,-507.8,-1061.4,-507.8
2332,1254789.63,11111111.11,11111111.11
2333,1254789.63,11111111.11,11111111.11
2334,1254789.63,11111111.11,11111111.11
2335,1254789.63,11111111.11,11111111.11
2336,1254789.63,11111111.11,11111111.11
2337,1254789.63,11111111.11,11111111.11
2338,-1007.99,-865.8,-1559.17
2339,-11.34,11111111.11,11111111.11
2340,-54.15,-32.01,-63.09
2341,130.7,38.09,177.09
2342,18.27,-58.85,26.07
2343,-41.44,55.02,-42.5
2344,-140.3,-136.93,-150.3
2345,1254789.63,11111111.11,11111111.11
2346,122.56,130.42,126.44
2347,-22.84,-23.73,-22.31
2348,106.32,111.94,106.32
2349,24.93,147.07,143.06
2350,-8.71,-5.55,-8.72
2351,-36.75,-18.32,-37.06
2352,22.19,-7.91,22.79
2353,-30.82,-25.72,-30.93
2354,33.0,-48.23,33.33
2355,-64.65,5.59,-64.71
2356,46.81,-8.56,46.88
2357,205.21,193.69,205.63
2358,-60.02,-75.09,-60.02
2359,-0.07,-0.07,0.0
2360,-16.66,-16.66,0.0
2361,813.21,2111.87,813.21
2362,49.22,54.89,50.63
2363,20.98,10.76,20.79
2364,1806.04,1995.7,1794.64
2365,-98.62,-98.11,-98.65
2366,-44.33,-96.54,-62.9
2367,59.77,980.4,59.77
2368,450.98,522.66,450.98
2369,-1.82,-2.84,-1.82
2370,1.87,-95.45,-92.66
2371,7.03,7.03,0.0
2372,-35.51,-3.77,-35.51
