,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),0,1
159,(주)경동도시가스,267290,Dec-18,775880913,778269612,9.6,9.57
160,(주)경동도시가스,267290,Dec-19,747453908,749999474,-3.66,-3.63
161,(주)경동인베스트,12320,Dec-11,941176098,1001490869,25.92,33.53
162,(주)경동인베스트,12320,Dec-12,1168400020,1209924561,24.14,20.81
163,(주)경동인베스트,12320,Dec-13,1161427092,1205008353,-0.6,-0.41
164,(주)경동인베스트,12320,Dec-14,1101071366,1320789066,-5.2,9.61
165,(주)경동인베스트,12320,Dec-15,926392697,1167819522,-15.86,-11.58
166,(주)경동인베스트,12320,Dec-16,903818865,1126122628,-2.44,-3.57
167,(주)경동인베스트,12320,Dec-17,318031347,599276331,-64.81,-46.78
168,(주)경동인베스트,12320,Dec-18,318776653,592002536,0.23,-1.21
169,(주)경동인베스트,12320,Dec-19,316572482,605467383,-0.69,2.27
170,(주)경방,50,Dec-11,1331930968,1352324332,320.73,123.35
171,(주)경방,50,Dec-12,1301719900,1335039930,-2.27,-1.28
172,(주)경방,50,Dec-13,1261257414,1296989142,-3.11,-2.85
173,(주)경방,50,Dec-14,1275008413,1301841379,1.09,0.37
174,(주)경방,50,Dec-15,1259512344,1318643312,-1.22,1.29
175,(주)경방,50,Dec-16,1237024388,1301910960,-1.79,-1.27
176,(주)경방,50,Dec-17,1199063663,1274042237,-3.07,-2.14
177,(주)경방,50,Dec-18,1226545382,1301792841,2.29,2.18
178,(주)경방,50,Dec-19,1296265431,1370742491,5.68,5.3
179,(주)경보제약,214390,Dec-15,195488457,11111111.11,-84.92,-99.19
180,(주)경보제약,214390,Dec-16,203735980,11111111.11,4.22,
181,(주)경보제약,214390,Dec-17,204869399,11111111.11,0.56,
182,(주)경보제약,214390,Dec-18,221622993,11111111.11,8.18,
183,(주)경보제약,214390,Dec-19,237816742,11111111.11,7.31,
184,(주)경인양행,12610,Dec-11,245825940,319596954,3.37,2776.37
185,(주)경인양행,12610,Dec-12,241045608,287452678,-1.94,-10.06
186,(주)경인양행,12610,Dec-13,274570963,316944796,13.91,10.26
187,(주)경인양행,12610,Dec-14,267331084,313039125,-2.64,-1.23
188,(주)경인양행,12610,Dec-15,273778266,326687437,2.41,4.36
189,(주)경인양행,12610,Dec-16,290035389,344298515,5.94,5.39
190,(주)경인양행,12610,Dec-17,296909084,357951470,2.37,3.97
191,(주)경인양행,12610,Dec-18,344908257,412996589,16.17,15.38
192,(주)경인양행,12610,Dec-19,381063538,472081003,10.48,14.31
193,(주)고려시멘트,198440,Dec-14,11111111.11,11111111.11,-97.08,-97.65
194,(주)고려시멘트,198440,Dec-15,11111111.11,11111111.11,,
195,(주)고려시멘트,198440,Dec-16,11111111.11,11111111.11,,
