총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결),총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
21.94,24.45,13.71,11.48,9.04,8.34,34.52,17.88,17.26,16.44,21.94,24.45,3.11,2.96,1254789.63,3.64,24.45,11.48,8.34,17.88,16.44,24.45,2.96,3.64
2.24,2.28,6.04,6.39,7.15,6.82,6.18,6.24,14.79,14.18,2.24,2.28,2.5,2.46,1254789.63,2.88,2.28,6.39,6.82,6.24,14.18,2.28,2.46,2.88
2.12,2.22,5.24,5.08,6.64,6.61,6.0,4.39,14.17,12.94,2.12,2.22,2.04,1.82,1254789.63,2.49,2.22,5.08,6.61,4.39,12.94,2.22,1.82,2.49
2.0,2.32,5.56,4.35,6.89,7.18,5.87,3.33,14.54,12.53,2.0,2.32,1.81,1.52,1254789.63,2.28,2.32,4.35,7.18,3.33,12.53,2.32,1.52,2.28
1.91,2.63,5.99,4.0,6.84,6.68,5.73,3.37,15.41,13.53,1.91,2.63,1.65,1.48,1254789.63,2.29,2.63,4.0,6.68,3.37,13.53,2.63,1.48,2.29
2.44,3.61,5.95,5.22,6.77,6.41,5.86,4.44,15.44,13.02,2.44,3.61,1.39,1.52,1254789.63,2.09,3.61,5.22,6.41,4.44,13.02,3.61,1.52,2.09
3.75,4.69,6.22,7.99,6.97,7.09,6.72,6.51,15.03,13.93,3.75,4.69,1.54,1.89,1254789.63,2.46,4.69,7.99,7.09,6.51,13.93,4.69,1.89,2.46
3.66,3.83,6.55,6.82,7.31,7.38,7.48,6.33,15.94,17.12,3.66,3.83,2.1,2.19,1254789.63,3.25,3.83,6.82,7.38,6.33,17.12,3.83,2.19,3.25
3.74,3.88,5.81,6.2,8.33,9.12,7.92,7.2,14.82,15.53,3.74,3.88,2.14,2.23,1254789.63,3.03,3.88,6.2,9.12,7.2,15.53,3.88,2.23,3.03
3.47,3.82,4.82,5.72,9.12,9.99,7.51,7.59,13.69,13.95,3.47,3.82,1.98,2.24,1254789.63,2.9,3.82,5.72,9.99,7.59,13.95,3.82,2.24,2.9
1.47,1.23,2873.61,1273.22,16.13,12.21,5.36,2.51,76.27,111.27,1.47,1.23,2.62,3.3,1254789.63,2.03,1.23,1273.22,12.21,2.51,111.27,1.23,3.3,2.03
1.39,1.28,439.51,306.59,19.22,12.12,2.49,2.3,25.97,46.71,1.39,1.28,2.29,3.24,1254789.63,2.27,1.28,306.59,12.12,2.3,46.71,1.28,3.24,2.27
1.23,1.11,283.1,227.34,20.11,10.9,1.74,1.89,21.11,32.25,1.23,1.11,2.13,2.89,1254789.63,2.04,1.11,227.34,10.9,1.89,32.25,1.11,2.89,2.04
1.2,1.12,663.26,967.31,18.95,24.95,1.95,2.17,24.14,34.03,1.2,1.12,2.5,3.52,1254789.63,2.03,1.12,967.31,24.95,2.17,34.03,1.12,3.52,2.03
1.2,1.15,1254789.63,1254789.63,19.47,22.57,2.18,2.48,25.05,37.46,1.2,1.15,2.93,4.16,1254789.63,1.95,1.15,,22.57,2.48,37.46,1.15,4.16,1.95
1.12,1.14,1254789.63,80.66,20.66,9.2,2.21,2.55,32.18,28.87,1.12,1.14,3.2,4.02,1254789.63,1.82,1.14,80.66,9.2,2.55,28.87,1.14,4.02,1.82
1.13,1.19,1254789.63,39.69,19.55,6.99,2.34,2.62,26.25,18.74,1.13,1.19,3.17,3.67,1254789.63,1.84,1.19,39.69,6.99,2.62,18.74,1.19,3.67,1.84
1.13,1.2,1254789.63,35.95,19.13,6.52,2.36,2.72,26.38,22.82,1.13,1.2,3.0,3.64,1254789.63,1.79,1.2,35.95,6.52,2.72,22.82,1.2,3.64,1.79
1.12,1.19,1254789.63,32.71,19.1,6.52,1.82,2.21,30.42,35.27,1.12,1.19,2.41,2.9,1254789.63,1.8,1.19,32.71,6.52,2.21,35.27,1.19,2.9,1.8
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
0.04,1254789.63,0.13,1254789.63,3.59,1254789.63,0.24,1254789.63,4.2,1254789.63,0.04,1254789.63,0.06,1254789.63,1254789.63,1254789.63,0.04,0.13,3.59,0.24,4.2,0.04,0.06,
0.23,1254789.63,2.08,1254789.63,31.39,1254789.63,0.65,1254789.63,7.12,1254789.63,0.23,1254789.63,0.24,1254789.63,1254789.63,1254789.63,0.23,2.08,31.39,0.65,7.12,0.23,0.24,
0.03,0.25,0.25,4.38,1.67,7.39,0.07,0.65,1.36,6.06,0.03,0.25,0.05,0.38,1254789.63,0.25,0.25,4.38,7.39,0.65,6.06,0.25,0.38,0.25
0.0,0.1,0.53,5.88,0.28,3.7,0.02,0.26,1.13,5.0,0.0,0.1,0.01,0.17,1254789.63,0.12,0.1,5.88,3.7,0.26,5.0,0.1,0.17,0.12
0.58,0.58,251.29,255.26,240.29,237.31,1.0,0.99,692.01,693.12,0.58,0.58,2.63,2.63,1254789.63,1.13,0.58,255.26,237.31,0.99,693.12,0.58,2.63,1.13
0.55,0.56,370.86,375.93,198.54,187.83,0.98,0.97,627.98,629.58,0.55,0.56,2.63,2.62,1254789.63,1.11,0.56,375.93,187.83,0.97,629.58,0.56,2.62,1.11
0.55,0.56,533.27,539.06,191.2,180.75,1.02,0.99,609.68,611.65,0.55,0.56,2.44,2.43,1254789.63,1.21,0.56,539.06,180.75,0.99,611.65,0.56,2.43,1.21
0.57,0.57,528.74,535.39,218.54,214.13,1.14,1.08,544.44,545.99,0.57,0.57,2.4,2.39,1254789.63,1.22,0.57,535.39,214.13,1.08,545.99,0.57,2.39,1.22
