회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),(대손충당금)(IFRS)(천원),(대손충당금)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS)(천원),회사채(IFRS연결)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)SIMPAC,9160,12-Dec,150643335,152757766,108043478,108358727,25281451,25350698,22482530,23996902,129536202,130804553,177830482,187860952,307366684,318665505,63906443,64410349,397226,397226,42769001,43038060,10000000,10000000,30338486,30338486,0,0,12986618,13157000,223854758,225353321
(주)SIMPAC,9160,13-Dec,106534703,108635043,133732141,133795401,25606746,25646140,8440790,9579706,151936024,153154843,197900866,208831047,349836891,361985890,70594150,70776019,386142,386142,44169184,44206409,6666640,6666640,57162310,57162310,0,0,11709355,12060558,204527751,205751154
(주)SIMPAC,9160,14-Dec,118044851,144850453,116089000,136708331,31897827,40715808,18149680,26579526,125420957,162814028,203904919,219125252,329325876,381939281,65389652,85807726,367120,12660719,43939918,52562621,2499990,2499990,25004397,35004397,0,0,29061253,34443800,227491803,263152264
(주)SIMPAC,9160,15-Dec,138074968,174086524,142954454,169308019,48860928,56208760,13257512,24992942,149261391,190825603,220087525,232007841,369348917,422833445,63243462,92407160,426186,14189296,55842308,67298437,0,220000,40000000,50481896,0,0,10489830,10256628,213152303,269528038
(주)SIMPAC,9160,16-Dec,138253630,176778523,130874395,155344858,41542910,45959349,37552158,51893169,137286101,177448939,228959172,240416530,366245273,417865468,49480584,82187792,736636,14994060,51209761,58871035,0,220000,10000000,24590628,0,0,30470575,35245662,215839356,267074156
(주)SIMPAC,9160,17-Dec,124800057,150671614,114191470,130651105,34297232,39255148,21377049,30772455,119223157,140332152,223781988,240826100,343005145,381158251,69293781,92525495,2267674,15835356,37131836,43128793,0,178750,15000000,20000000,0,0,-13628628,-9543549,203150228,230634812
(주)SIMPAC,9160,18-Dec,273219151,310736335,207957388,228518804,103871365,110042965,96706341,112467533,217214665,246717950,411119510,435032869,628334175,681750819,58586618,83584396,1983969,15641867,51177189,58971889,0,123750,95000000,105000000,0,0,36290248,37360242,268863854,306150809
(주)SIMPAC,9160,19-Dec,224313300,289195402,178141755,219489571,69944925,88166502,102478339,127867537,189477136,237950364,419215968,441195485,608693104,679145850,47263174,70072876,2646971,16552263,40079750,51813505,0,68750,102000000,126700000,0,0,45146571,37470315,391970769,430085162
(주)SNT에너지,100840,11-Dec,145463387,,96002453,,15421719,,20431413,,115915976,,160595865,,276511841,,61985605,,641042,,55872184,,0,,20000000,,0,,-17274075,,195318747,
(주)SNT에너지,100840,12-Dec,161463967,,88443397,,17407006,,45359641,,109495724,,183306309,,292802033,,55907590,,323918,,65718988,,0,,0,,0,,26635237,,230707564,
