회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),재고자산(*)(IFRS),재고자산(*)(IFRS연결)
(주)강스템바이오텍,217730,Dec-19,98625925,113643697,22738650,31219524,50136013,55408095,70845209,68719236,34319,266393
(주)강스템바이오텍,217730,Dec-20,68097299,82505287,22550495,31882092,39796797,44750599,51430858,48638871,27745,354859
(주)강원랜드,35250,Dec-10,2615956414,2609098339,1232921723,1237326458,1015628491,1071382307,2107623213,2099210537,1972456,1972456
(주)강원랜드,35250,Dec-11,2730283806,2711401782,1302068954,1312308962,1116717650,1163791156,2278202202,2257362696,2245975,2245975
(주)강원랜드,35250,Dec-12,2915385756,2906655321,1334113267,1357670542,1117338850,1165450728,2383160603,2372026990,1200611,1200611
(주)강원랜드,35250,Dec-13,3105430200,3102036846,1327018456,1385719165,1032979185,1080401909,2523962938,2517696496,1493306,1493306
(주)강원랜드,35250,Dec-14,3380461682,3375127289,1284798892,1387584592,1349601870,1371825587,2716175018,2705357485,1204918,1204918
(주)강원랜드,35250,Dec-15,3688060027,3690791830,1253601276,1353560925,1736167993,1750420316,2997442337,2997755205,1621646,1621646
(주)강원랜드,35250,Dec-16,3975979890,3978987574,1254129261,1315715882,1799026863,1809513458,3252738063,3252727459,1309513,1309513
(주)강원랜드,35250,Dec-17,4182527382,4185657487,1253403658,1297980610,2155754572,2164296051,3500789656,3501235933,1299617,1299617
(주)강원랜드,35250,Dec-18,4229630541,4231241354,1299058388,1314038393,1749493012,1759033105,3586452533,3586777089,1143581,1148805
(주)강원랜드,35250,Dec-19,4436461953,4438119306,1353732478,1370568026,1868365557,1878191161,3718433001,3717759076,3631307,3636529
(주)강원랜드,35250,Dec-20,3635973900,3641632201,1338245520,1349374167,1486092360,1498178291,3244743975,3247028580,2156382,2159928
(주)강원에너지,114190,Nov-10,28677832,,3166574,,23635050,,19268894,,739028,
(주)강원에너지,114190,Nov-11,53719067,,3912294,,47950975,,24502434,,3989692,
(주)강원에너지,114190,Dec-12,89258208,,4416402,,80491240,,36107930,,3808870,
(주)강원에너지,114190,Dec-13,72441333,,4787448,,61556228,,45877155,,2086978,
(주)강원에너지,114190,Dec-14,67037639,,10004091,,48800730,,50445491,,1736909,
(주)강원에너지,114190,Dec-15,80939019,85457457,9712091,12847843,58744703,62927388,54880924,56583901,1233999,1233999
(주)강원에너지,114190,Dec-16,70850137,77186606,9490734,14792058,49882033,53716336,53746356,55088690,335220,335220
(주)강원에너지,114190,Dec-17,87781416,93179394,9242859,15392067,66557788,68068421,47117020,48303010,361382,361382
(주)강원에너지,114190,Dec-18,89619750,93845576,8853092,14771745,70097814,70556730,49286354,50203707,543737,543737
(주)강원에너지,114190,Dec-19,55106032,56602063,9089689,10387938,30346449,30544232,22904034,21124556,118784,118784
(주)강원에너지,114190,Dec-20,32998279,32968636,6334471,6699242,21886931,21492517,17211371,17096338,219776,219776
(주)갤럭시아에스엠,11420,Dec-10,35800250,38135510,419644,798105,12829287,16138615,22598240,23314808,0,45748
(주)갤럭시아에스엠,11420,Dec-11,40711969,45110356,263856,746008,17322791,24658098,24539613,25274017,0,20209
(주)갤럭시아에스엠,11420,Dec-12,40169876,43979072,244196,3386965,21665386,24752609,25153401,25907252,0,37487
(주)갤럭시아에스엠,11420,Dec-13,34158874,37636664,258052,3092608,15680160,19899780,22472626,21493102,0,126351
(주)갤럭시아에스엠,11420,Dec-14,40528250,45274078,170073,3055021,21910144,26742964,23402468,23205508,404356,508736
(주)갤럭시아에스엠,11420,Dec-15,67196553,68686992,428742,2905233,40480215,44426010,50665218,49739042,0,11280
(주)갤럭시아에스엠,11420,Dec-16,55825556,58444606,468225,2588337,33508731,37929417,44846832,44846832,0,0
(주)갤럭시아에스엠,11420,Dec-17,48958128,49831109,348574,364072,25522603,28750883,40494336,40494336,0,0
(주)갤럭시아에스엠,11420,Dec-18,33337692,33253331,251603,251603,14317048,14251248,26797332,26472162,0,0
(주)갤럭시아에스엠,11420,Dec-19,28241598,28241598,511985,511985,13644588,13644588,21798750,21798750,0,0
(주)갤럭시아에스엠,11420,Dec-20,28554685,,2775830,,14289660,,20719428,,0,
(주)경농,2100,Dec-10,198795934,198435169,48557170,51001511,112549061,119585755,148352110,147965840,71348650,71415343
(주)경농,2100,Dec-11,176741869,173774102,47135730,49541176,85897543,94363834,146016982,142986220,70007203,70194121
(주)경농,2100,Dec-12,203467698,269412832,51459712,93105654,88973571,142516976,151500247,151738994,69708618,102583675
(주)경농,2100,Dec-13,214988593,255984725,55088070,101211463,90491612,129526582,162696463,163157512,70268926,98860077
(주)경농,2100,Dec-14,230870852,284623063,60743502,118629306,92163573,139646908,168998955,168915900,69968941,98308244
(주)경농,2100,Dec-15,265109291,316341853,60862714,122071383,110823037,161184139,173056378,174667648,84302523,115444315
(주)경농,2100,Dec-16,266622289,320915151,60986166,133213483,113338004,156061222,176722752,183969132,89356248,115876266
(주)경농,2100,Dec-17,268967010,335873898,61075339,140283689,114661596,163437464,182959158,192152986,91796107,119704437
(주)경농,2100,Dec-18,285031873,357260541,67819776,142669413,124295854,169982099,187066687,201453891,91526504,120967753
(주)경농,2100,Dec-19,297197088,370874091,64128521,139475078,138697201,185020093,190892614,201885272,101542875,133714688
(주)경농,2100,Dec-20,299102193,371525656,63305883,136536154,148340478,192497278,197265917,211372233,106713758,137861427
(주)경동나비엔,9450,Dec-10,201855827,238612022,65607490,94963710,98271196,118542502,136756722,160449250,33386076,46470783
(주)경동나비엔,9450,Dec-11,224373470,263211016,71463183,103309756,109967953,129512842,143268094,168114574,41637076,60788326
(주)경동나비엔,9450,Dec-12,254627468,299729837,86003940,120050563,123218302,145371681,152201349,175875394,33893618,59527947
(주)경동나비엔,9450,Dec-13,301475800,354779867,148703601,184422743,104914630,134043087,161494784,187280988,37417214,71724409
(주)경동나비엔,9450,Dec-14,331089242,401658957,133081097,190970831,134136648,159947056,167984480,190021880,40963230,83525372
(주)경동나비엔,9450,Dec-15,324848990,402084368,134166342,195089500,129837058,158254944,185208256,206076609,39239496,87185691
(주)경동나비엔,9450,Dec-16,347643876,429754702,138398427,203718091,145915928,175420277,210193123,238762190,41128987,89997026
(주)경동나비엔,9450,Dec-17,391400492,503697210,143721378,221945791,175839342,230894567,222028494,256506497,57016736,110374505
(주)경동나비엔,9450,Dec-18,440513661,583595818,157575992,248979361,209454208,287001959,240355951,280103616,74930222,150049770
(주)경동나비엔,9450,Dec-19,461607017,609808343,165763623,278770581,214093729,274279157,254559521,301042624,66299991,138114361
(주)경동나비엔,9450,Dec-20,535511600,734688738,190091241,303896227,269865079,360418517,281450512,348163846,96228467,177987455
(주)경동도시가스,267290,Dec-17,707917077,710280194,316263778,316816604,374489353,376858740,292628586,294331882,1111165,1111165
(주)경동도시가스,267290,Dec-18,775880913,778269612,320275132,320713747,441723742,444232799,318760537,320490074,1299646,1299646
(주)경동도시가스,267290,Dec-19,747453908,749999474,325567581,325975219,392458231,395154174,337701666,339612043,1333402,1333402
(주)경동도시가스,267290,Dec-20,697182108,699658165,321726123,322122498,325890280,328492279,354868269,356677691,1242787,1242787
(주)경동인베스트,12320,Dec-10,756282260,819480663,249828685,277970054,412481039,445846545,365245365,376913014,909059,9648111
(주)경동인베스트,12320,Dec-11,941176098,1001490869,265516704,302120078,563584969,610411619,412912132,407862543,837931,6238419
(주)경동인베스트,12320,Dec-12,1168400020,1209924561,279769365,302039515,753036515,814034002,468921996,446509347,1073025,20579836
(주)경동인베스트,12320,Dec-13,1161427092,1205008353,293643578,322577481,724069045,778164231,516833582,498740561,759346,13656418
(주)경동인베스트,12320,Dec-14,1101071366,1320789066,299563689,436240540,631297926,766552554,560802056,607451423,1014437,18386682
(주)경동인베스트,12320,Dec-15,926392697,1167819522,317414775,478535233,459634757,571798491,548528455,576479441,958537,8347076
(주)경동인베스트,12320,Dec-16,903818865,1126122628,320740081,490371394,394847821,508994824,556247783,587924566,1016660,10949433
(주)경동인베스트,12320,Dec-17,318031347,599276331,9664453,177264156,110951332,238339688,309789000,400403090,0,14232992
(주)경동인베스트,12320,Dec-18,318776653,592002536,12131746,176391871,44742051,188460289,310422538,397867310,87903,30703229
(주)경동인베스트,12320,Dec-19,316572482,605467383,2798610,170491064,44653640,236475693,308309156,414533638,176596,30814751
(주)경동인베스트,12320,Dec-20,306973265,589277835,2731884,144337840,35139342,237079426,305525940,430745334,161300,32025575
(주)경방,50,Dec-10,1308628573,1328917440,298730389,299311662,99553615,113238016,680065508,632800486,39669781,40901893
(주)경방,50,Dec-11,1331930968,1352324332,307701501,308454057,123787600,138673371,676624221,629704391,71422892,72996830
(주)경방,50,Dec-12,1301719900,1335039930,301773723,324064120,101710997,123685731,669735441,620704205,50300747,52907652
(주)경방,50,Dec-13,1261257414,1296989142,280675994,306515477,79482802,103410904,685569176,636438555,35601409,40216862
(주)경방,50,Dec-14,1275008413,1301841379,269480797,307855729,83665762,101229398,651570419,647668814,34615710,37758471
(주)경방,50,Dec-15,1259512344,1318643312,258275719,325770660,83760073,108093423,671770865,662952918,37595998,52862910
(주)경방,50,Dec-16,1237024388,1301910960,248710695,315500908,80538917,106002223,690245544,679843399,33656952,45810493
(주)경방,50,Dec-17,1199063663,1274042237,229435458,310601150,71472590,90254697,710964923,699134073,22476156,31921285
(주)경방,50,Dec-18,1226545382,1301792841,214332809,285829683,88159568,120711492,729185709,708769347,35574579,59792825
(주)경방,50,Dec-19,1296265431,1370742491,64860661,145683128,223798878,264861016,740731873,741553199,13959690,31308041
(주)경방,50,Dec-20,1212393834,1264902051,41240134,133534163,67253983,117330818,759469891,741929808,4592891,26578558
(주)경보제약,214390,Dec-15,195488457,,74892236,,105108130,,122817151,,49522277,
(주)경보제약,214390,Dec-16,203735980,,83949070,,102226920,,129402340,,47568951,
(주)경보제약,214390,Dec-17,204869399,,78497115,,110638039,,141509596,,47964422,
(주)경보제약,214390,Dec-18,221622993,,76497132,,128936315,,149012165,,53494316,
(주)경보제약,214390,Dec-19,237816742,,88116421,,124176490,,149163504,,62312499,
(주)경보제약,214390,Dec-20,253239177,,88535188,,138192492,,156056794,,62173361,
(주)경인양행,12610,Dec-10,250809034,321754900,68435611,134619969,104532345,168261862,157685148,176138097,51843017,89132530
(주)경인양행,12610,Dec-11,245825940,319596954,69431560,136165573,99039937,166259207,158882273,176292506,51423188,95390048
(주)경인양행,12610,Dec-12,241045608,287452678,67259638,124092900,94723927,146242797,162112825,174988685,38724208,70357744
(주)경인양행,12610,Dec-13,274570963,316944796,72282759,127667556,123143650,175887375,178074513,189744314,60685132,90667397
(주)경인양행,12610,Dec-14,267331084,313039125,77811393,135555605,107227115,164606526,186433506,198238667,57418066,89741323
(주)경인양행,12610,Dec-15,273778266,326687437,76154669,136115404,113173448,176664098,185903130,201125304,62450588,95494779
(주)경인양행,12610,Dec-16,290035389,344298515,77953872,137784128,126364739,191409058,191021720,208293196,66161603,99419770
