회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),당기순이익(손실)(IFRS),당기순이익(손실)(IFRS연결),자본(*)(IFRS),자본(*)(IFRS연결),자산(*)(IFRS),자산(*)(IFRS연결),영업이익개별,영업이익연결
(주)SH에너지화학,2360,Dec-13,229783541,231912218,213397080,213952261,4841817,4606872,69781889,69599141,109984767,110488951,7203174,6424227
(주)SH에너지화학,2360,Dec-14,226971465,230912587,196829927,197661842,15569914,16733050,83404299,84237197,109098264,110741407,20274503,21271908
(주)SH에너지화학,2360,Dec-15,213882181,216441364,179081363,179135051,12639344,12590617,90740136,91646221,114048206,115520726,22899622,22950176
(주)SH에너지화학,2360,Dec-16,214380015,218397677,179726464,179759098,17574101,18028878,103083032,104088887,122956894,124488724,23600206,24101160
(주)SH에너지화학,2360,Dec-17,184672638,188114822,161711689,161824273,8905104,9879057,105717970,107693472,123261552,125312154,13189274,14181936
(주)SH에너지화학,2360,Dec-18,180753289,183598766,169058462,171330094,2766802,2033570,104065473,105390892,120895795,122434685,2811557,2100670
(주)SH에너지화학,2360,Dec-19,138161816,140852575,131861388,134184400,-3151629,-3090151,97386214,98999976,121126250,123415832,-2363194,-3131128
(주)SH에너지화학,2360,Dec-20,91354318,93584262,90391446,92496181,-7218778,-6945600,89816934,90008391,116570206,117356594,-7104115,-7851790
(주)SIMPAC,9160,Dec-10,180593108,181795010,143181567,143921095,14884986,20514721,136119246,145325032,260176045,269452191,21914500,21538800
(주)SIMPAC,9160,Dec-11,213867522,215365697,169699426,170409718,21196377,24976613,155833324,168941269,296953131,310879328,27382839,27346333
(주)SIMPAC,9160,Dec-12,223854758,225353321,182101881,182861979,22517068,19285856,177830482,187860952,307366684,318665505,25309896,25191277
(주)SIMPAC,9160,Dec-13,204527751,205751154,163875499,164405183,19196136,20043596,197900866,208831047,349836891,361985890,23741361,23599349
(주)SIMPAC,9160,Dec-14,227491803,263152264,188349315,220084616,10218575,14312319,203904919,219125252,329325876,381939281,18736806,17341900
(주)SIMPAC,9160,Dec-15,213152303,269528038,171341851,221412942,19448583,16449973,220087525,232007841,369348917,422833445,23630500,21241031
(주)SIMPAC,9160,Dec-16,215839356,267074156,175971604,217713888,16444650,16183843,228959172,240416530,366245273,417865468,21406076,23566192
(주)SIMPAC,9160,Dec-17,203150228,230634812,168484356,193009825,7133940,12895699,223781988,240826100,343005145,381158251,13971088,11697915
(주)SIMPAC,9160,Dec-18,268863854,306150809,243575353,271995017,62381304,69198558,411119510,435032869,628334175,681750819,7215889,10190572
(주)SIMPAC,9160,Dec-19,391970769,430085162,357126998,385305111,11507259,9487516,419215968,441195485,608693104,679145850,8438305,11141319
(주)SIMPAC,9160,Dec-20,272087150,365863303,244369272,328185407,26301694,34139484,434212716,463986165,656622388,737277692,6895813,7787378
(주)SNT에너지,100840,Dec-10,213919312,,188599110,,3200978,,167390792,,253914889,,4121694,0
(주)SNT에너지,100840,Dec-11,195318747,,181219511,,-4155767,,160595865,,276511841,,-6597215,0
(주)SNT에너지,100840,Dec-12,230707564,,191839172,,9087721,,183306309,,292802033,,15132784,0
(주)SNT에너지,100840,Dec-13,200750984,,161808099,,16189688,,198164671,,311675279,,16804411,0
(주)SNT에너지,100840,Dec-14,242746888,,203611420,,11264253,,207712504,,304511816,,13777651,0
(주)SNT에너지,100840,Dec-15,260094045,,202305297,,27029932,,231399939,,316196096,,33918034,0
(주)SNT에너지,100840,Dec-16,254089906,,204980319,,1659742,,229799567,,348042346,,1195144,0
(주)SNT에너지,100840,Dec-17,184091945,,146050315,,4581777,,233817326,,300266693,,19201911,0
(주)SNT에너지,100840,Dec-18,139516396,,118750224,,1825479,,231276490,,280991534,,-1892191,0
(주)SNT에너지,100840,Dec-19,202822913,213326726,170291934,177635077,14578960,15452273,245545053,244954910,331391237,333897235,14679703,17473547
(주)SNT에너지,100840,Dec-20,229991237,237399736,190965139,197311149,9407217,9787541,236558985,235772710,332066179,335351657,22712569,23125971
(주)SNT홀딩스,36530,Dec-10,2068556,1500160508,0,1254983399,4776920,85735593,396588552,1277919679,397213393,2038921397,183979,120834524
(주)SNT홀딩스,36530,Dec-11,2257851,1663846065,0,1449348821,5766277,87196578,387839074,1311007481,388123974,2124828265,-4240084,120504644
(주)SNT홀딩스,36530,Dec-12,8718270,1668749904,0,1465168699,9011145,63253909,388611726,1318022867,388964716,2074903906,6695560,85693573
(주)SNT홀딩스,36530,Dec-13,8826810,1576368464,0,1379201925,8018313,53763061,396851717,1374365240,397336142,2149176237,6923357,84798090
(주)SNT홀딩스,36530,Dec-14,7701882,1552374806,0,1380123821,6891599,66985248,398863036,1356040938,399244416,2039388864,5966121,65504976
(주)SNT홀딩스,36530,Dec-15,8475099,1612746929,0,1331347191,27765789,116419931,421925486,1529249091,430584006,2169311305,6719534,161533663
(주)SNT홀딩스,36530,Dec-16,9818190,1537700275,0,1336617769,6923176,10146568,426682947,1530892611,427001710,2210178425,7999927,72283066
(주)SNT홀딩스,36530,Dec-17,7417869,1508152132,0,1303372403,4172419,25863066,425136143,1519293154,425435423,2146174938,5401909,60637140
(주)SNT홀딩스,36530,Dec-18,7292112,1401307482,0,1221120349,6218079,73732317,422573122,1503275496,422804813,2113834573,5392032,72650118
(주)SNT홀딩스,36530,Dec-19,11015928,1512114565,0,1284171398,9244252,124509305,416939604,1625933047,417172874,2236679025,8991504,126277062
(주)SNT홀딩스,36530,Dec-20,25309708,1435754699,0,1227111970,22951239,77889420,423684010,1617529065,423961201,2270485740,22973049,127086172
