회사명,거래소코드,회계년도,당좌자산회전률(IFRS),당좌자산회전률(IFRS연결),순운전자본회전률(IFRS),순운전자본회전률(IFRS연결),당좌자산회전률,순운전자본회전률
(주)골드앤에스,35290,2012/12,1.95,1.97,0.96,0.95,1.97,0.95
(주)골드앤에스,35290,2013/12,1.85,2.16,0.84,0.85,2.16,0.85
(주)골드앤에스,35290,2014/12,2.13,2.52,0.84,0.73,2.52,0.73
(주)골드앤에스,35290,2015/12,1.73,1.76,0.84,0.7,1.76,0.7
(주)골드앤에스,35290,2016/12,1.64,1.61,0.91,0.89,1.61,0.89
(주)골드앤에스,35290,2017/12,1.55,1.55,0.98,0.97,1.55,0.97
(주)골드앤에스,35290,2018/12,0.59,0.59,0.27,0.28,0.59,0.28
(주)골드앤에스,35290,2019/12,0.66,0.66,0.21,0.21,0.66,0.21
(주)골드퍼시픽,38530,2011/12,0.87,,0.61,,0.87,0.61
(주)골드퍼시픽,38530,2012/12,0.88,,0.52,,0.88,0.52
(주)골드퍼시픽,38530,2013/12,0.57,0.7,0.27,0.26,0.7,0.26
(주)골드퍼시픽,38530,2014/12,0.44,1.02,0.2,0.39,1.02,0.39
(주)골드퍼시픽,38530,2015/12,0.49,1.29,0.29,0.62,1.29,0.62
(주)골드퍼시픽,38530,2016/12,1.07,,0.63,,1.07,0.63
(주)골드퍼시픽,38530,2017/12,0.46,,0.2,,0.46,0.2
(주)골드퍼시픽,38530,2018/12,0.29,0.26,0.16,0.16,0.26,0.16
(주)골드퍼시픽,38530,2019/12,0.49,,0.2,,0.49,0.2
(주)골프존,215000,2015/12,,,,,,
(주)골프존,215000,2016/12,3.04,2.81,1.54,1.48,2.81,1.48
(주)골프존,215000,2017/12,1.74,1.78,1.09,1.12,1.78,1.12
(주)골프존,215000,2018/12,1.48,1.41,1.02,0.96,1.41,0.96
(주)골프존,215000,2019/12,2.53,2.4,1.53,1.44,2.4,1.44
(주)골프존뉴딘홀딩스,121440,2011/12,1.11,1.06,0.98,0.93,1.06,0.93
(주)골프존뉴딘홀딩스,121440,2012/12,1.12,1.11,0.86,0.83,1.11,0.83
(주)골프존뉴딘홀딩스,121440,2013/12,1.27,1.47,0.81,0.82,1.47,0.82
