회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)국순당,43650,Dec-14,89173752,91863604
(주)국순당,43650,Dec-15,74955341,77443124
(주)국순당,43650,Dec-16,68425801,69701266
(주)국순당,43650,Dec-17,60087461,62761236
(주)국순당,43650,Dec-18,52679104,61496072
(주)국순당,43650,Dec-19,48045002,102095769
(주)국영지앤엠,6050,Dec-11,42569848,
(주)국영지앤엠,6050,Dec-12,43781593,
(주)국영지앤엠,6050,Dec-13,55789778,
(주)국영지앤엠,6050,Dec-14,51491847,
(주)국영지앤엠,6050,Dec-15,40107647,
(주)국영지앤엠,6050,Dec-16,51456556,
(주)국영지앤엠,6050,Dec-17,62861661,
(주)국영지앤엠,6050,Dec-18,56301480,
(주)국영지앤엠,6050,Dec-19,73013468,
(주)국전약품,307750,Dec-18,,
(주)국전약품,307750,Dec-19,,
(주)그래디언트,35080,Dec-11,9501248,428571939
(주)그래디언트,35080,Dec-12,11150621,454225001
(주)그래디언트,35080,Dec-13,7939840,2930521926
(주)그래디언트,35080,Dec-14,7753595,3135027346
(주)그래디언트,35080,Dec-15,12870821,3536848758
(주)그래디언트,35080,Dec-16,16516754,3845761388
(주)그래디언트,35080,Dec-17,12485184,3541486629
(주)그래디언트,35080,Dec-18,12237889,3440906300
(주)그래디언트,35080,Dec-19,8719700,3412333826
(주)그리티,204020,Dec-18,117056356,119259702
(주)그리티,204020,Dec-19,120984485,123079831
(주)그린플러스,186230,Dec-19,39502728,48831866
(주)글로벌스탠다드테크놀로지,83450,Dec-11,40662578,41504144
(주)글로벌스탠다드테크놀로지,83450,Dec-12,62774905,64812103
(주)글로벌스탠다드테크놀로지,83450,Dec-13,78917554,80982977
(주)글로벌스탠다드테크놀로지,83450,Dec-14,85992839,89122994
(주)글로벌스탠다드테크놀로지,83450,Dec-15,80102292,84422579
(주)글로벌스탠다드테크놀로지,83450,Dec-16,81859588,90819412
(주)글로벌스탠다드테크놀로지,83450,Dec-17,154761834,162835484
(주)글로벌스탠다드테크놀로지,83450,Dec-18,115619452,129850197
(주)글로벌스탠다드테크놀로지,83450,Dec-19,150777009,168231754
(주)금비,8870,Sep-11,90614774,182184368
(주)금비,8870,Sep-12,83296660,176226095
(주)금비,8870,Sep-13,82028937,175061513
(주)금비,8870,Sep-14,80715556,177506459
(주)금비,8870,Sep-15,93629076,189495056
(주)금비,8870,Sep-16,100327539,200543667
(주)금비,8870,Sep-17,80379261,185531452
(주)금비,8870,Sep-18,90793198,196995589
(주)금비,8870,Sep-19,91480486,201404468
(주)금양,1570,Dec-11,100918699,109810009
(주)금양,1570,Dec-12,108275608,122905331
(주)금양,1570,Dec-13,132045280,156304448
(주)금양,1570,Dec-14,137946044,158550531
(주)금양,1570,Dec-15,152450369,158999533
(주)금양,1570,Dec-16,161001876,168681746
(주)금양,1570,Dec-17,150809075,180373683
(주)금양,1570,Dec-18,151676398,205441375
(주)금양,1570,Dec-19,135915020,172723864
(주)금호에이치티,214330,Dec-15,181779820,203071984
(주)금호에이치티,214330,Dec-16,189733826,208574892
(주)금호에이치티,214330,Dec-17,165485490,179707629
(주)금호에이치티,214330,Dec-18,189250383,209260006
(주)금호에이치티,214330,Dec-19,221734443,251095062
(주)금화피에스시,36190,Dec-11,82738193,
(주)금화피에스시,36190,Dec-12,108224285,
(주)금화피에스시,36190,Dec-13,156630832,166122419
(주)금화피에스시,36190,Dec-14,166948026,189631759
(주)금화피에스시,36190,Dec-15,196919865,235969690
(주)금화피에스시,36190,Dec-16,201547339,235018376
(주)금화피에스시,36190,Dec-17,174993150,205781841
(주)금화피에스시,36190,Dec-18,202098199,233326733
(주)금화피에스시,36190,Dec-19,179177462,209435314
