,자기자본증가율,0,1
488,-7.29,1.11,-7.51
489,-2.1,0.21,-2.19
490,-7.03,-1.63,-7.09
491,-2.06,2.52,-2.27
492,3.41,-9.92,3.37
493,18.28,18.28,19.09
494,-5.12,-5.12,-5.29
495,3.69,3.69,3.81
496,-87.07,-41.07,-87.07
497,41.1,41.1,11111111.11
498,-31.5,-31.5,11111111.11
499,-6.27,-5.85,-6.27
500,0.68,-0.97,15.69
501,-30.44,-25.13,-33.32
502,-36.99,-44.72,-43.86
503,9.06,24.02,48.61
504,13.51,13.51,-63.5
505,-15.88,-15.88,11111111.11
506,-46.53,-46.53,11111111.11
507,-8.53,-8.53,11111111.11
508,7.65,7.65,11111111.11
509,23.64,23.64,11111111.11
510,-19.26,-19.26,-23.61
511,-8.24,-8.24,11111111.11
512,0.0,2.71,0.0
513,1254789.63,11111111.11,11111111.11
514,45.48,65.72,-70.37
515,12.55,12.55,11111111.11
516,5.01,5.01,11111111.11
517,6.94,6.94,11111111.11
518,2.35,2.35,11111111.11
519,5.29,238.35,2356.4
520,5.33,13.82,5.7
521,12.72,17.81,2.54
522,-3.89,0.6,-3.71
523,-6.61,-0.81,-7.21
524,2.5,-1.02,2.56
525,-2.16,-7.17,-2.33
526,12.28,-1.29,12.88
527,8.24,-0.33,10.05
528,-21.91,-25.27,14.02
529,3.62,9.51,2.71
530,13.53,-1.3,8.07
531,28.86,3.71,12.31
532,26.99,27.81,5.43
533,-6.27,-6.47,-2.81
534,0.67,-4.2,-0.55
535,6.07,-2.53,8.37
536,4.87,0.26,6.39
537,-93.11,-87.54,-93.11
538,8.24,11111111.11,11111111.11
539,1.86,1.86,11111111.11
540,0.6,0.6,11111111.11
541,5.46,4.65,5.46
542,-6.45,-7.41,-6.37
543,-5.56,-4.25,-5.94
544,-18.55,-17.89,-18.22
545,-3.46,-1.53,-3.31
546,-2.23,-2.37,-1.95
547,1.42,-32.6,-74.56
548,0.17,0.17,11111111.11
549,1.38,1.38,11111111.11
550,2.67,2.67,11111111.11
551,4.75,4.75,11111111.11
552,19.75,19.75,11111111.11
553,23.36,24.62,23.36
554,24.6,24.95,24.6
555,78.27,74.48,78.27
556,-73.27,-67.67,-73.27
557,-56.07,-50.07,-55.56
558,-11.5,-35.15,-11.5
559,1254789.63,11111111.11,11111111.11
560,93.07,111.75,0.0
561,6.02,6.02,11111111.11
562,-0.94,-0.94,11111111.11
563,2.99,2.99,-55.04
564,29.84,29.84,11111111.11
565,-19.18,-19.18,11111111.11
566,-8.77,-8.77,11111111.11
567,-1.53,-1.53,11111111.11
568,1996.96,-66.65,0.0
569,7.8,7.8,11111111.11
570,24.89,24.89,11111111.11
571,27.64,27.64,11111111.11
572,130.48,130.48,11111111.11
573,7.36,7.36,11111111.11
574,16.06,16.06,11111111.11
575,9.24,9.24,11111111.11
576,89.87,89.87,11111111.11
577,-2.68,92.65,1190.66
578,8.83,11.01,9.36
579,-15.23,-12.0,-25.66
580,-5.22,-23.12,28.17
581,-7.48,7.15,-7.59
582,17.28,3.86,-16.13
583,0.3,5.56,4.36
584,23.23,19.17,16.82
585,30.18,21.26,35.01
586,14.03,28.36,67.59
587,63.09,57.47,64.76
588,12.62,3.63,12.72
589,12.05,4.97,10.82
590,10.24,4.05,10.24
591,13.23,4.84,13.23
592,11.73,11.44,11.73
593,4.6,3.89,105.3
594,7.4,2.37,7.1
595,8.11,-95.84,-99.45
596,1.74,1.74,11111111.11
597,9.41,9.41,11111111.11
598,9.92,9.92,11111111.11
599,3.32,3.32,11111111.11
600,199.23,199.23,11111111.11
601,2.08,2.08,11111111.11
602,4.08,4.08,11111111.11
603,4.86,4.86,11111111.11
604,66.06,-75.97,0.0
605,19.83,19.83,11111111.11
606,15.03,14.64,14.53
607,9.62,9.68,8.89
608,4.67,3.49,5.52
609,59.52,56.1,69.07
610,11.31,11.28,15.06
611,22.99,-6.68,57.76
612,-4.31,-15.64,-5.83
613,15.5,143.2,15.5
