회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)골드앤에스,35290,14-Dec,-1.41,1.99,1.0,0.0,0.0
(주)골드앤에스,35290,15-Dec,1.99,2.42,0.0,0.0,0.0
(주)골드앤에스,35290,16-Dec,2.42,-26.15,0.0,0.0,0.0
(주)골드앤에스,35290,17-Dec,-26.15,-4.56,1.0,0.0,0.0
(주)골드앤에스,35290,18-Dec,-4.56,-1.46,1.0,0.0,0.0
(주)골드앤에스,35290,19-Dec,-1.46,,1.0,0.0,0.0
(주)골드퍼시픽,38530,11-Dec,14.16,2.66,0.0,0.0,0.0
(주)골드퍼시픽,38530,12-Dec,2.66,-11.34,0.0,0.0,0.0
(주)골드퍼시픽,38530,13-Dec,-11.34,-4.33,1.0,0.0,0.0
(주)골드퍼시픽,38530,14-Dec,-4.33,-9.59,1.0,0.0,0.0
(주)골드퍼시픽,38530,15-Dec,-9.59,-17.43,1.0,0.0,0.0
(주)골드퍼시픽,38530,16-Dec,-17.43,0.62,1.0,0.0,0.0
(주)골드퍼시픽,38530,17-Dec,0.62,-0.68,1.0,0.0,0.0
(주)골드퍼시픽,38530,18-Dec,-0.68,-0.89,1.0,0.0,0.0
(주)골드퍼시픽,38530,19-Dec,-0.89,,1.0,0.0,0.0
(주)골프존뉴딘홀딩스,121440,11-Dec,1101.46,31.08,0.0,0.0,0.0
(주)골프존뉴딘홀딩스,121440,12-Dec,31.08,25.98,0.0,0.0,0.0
(주)골프존뉴딘홀딩스,121440,13-Dec,25.98,22.05,0.0,0.0,0.0
(주)골프존뉴딘홀딩스,121440,14-Dec,22.05,-1.54,0.0,0.0,0.0
(주)골프존뉴딘홀딩스,121440,15-Dec,-1.54,5.22,1.0,0.0,0.0
(주)골프존뉴딘홀딩스,121440,16-Dec,5.22,2.81,0.0,1.0,0.0
(주)골프존뉴딘홀딩스,121440,17-Dec,2.81,0.15,0.0,0.0,1.0
(주)골프존뉴딘홀딩스,121440,18-Dec,0.15,-0.36,1.0,0.0,0.0
