,회사명,거래소코드,회계년도,경상개발비율
410,(주)나노신소재,121600,12-Dec,0
411,(주)나노신소재,121600,13-Dec,0
412,(주)나노신소재,121600,14-Dec,0
413,(주)나노신소재,121600,15-Dec,0
414,(주)나노신소재,121600,16-Dec,0
415,(주)나노신소재,121600,17-Dec,0
416,(주)나노신소재,121600,18-Dec,0
417,(주)나노신소재,121600,19-Dec,0
418,(주)나노엔텍,39860,11-Dec,0
419,(주)나노엔텍,39860,12-Dec,0
420,(주)나노엔텍,39860,13-Dec,0
421,(주)나노엔텍,39860,14-Dec,0
422,(주)나노엔텍,39860,15-Dec,0
423,(주)나노엔텍,39860,16-Dec,0
424,(주)나노엔텍,39860,17-Dec,0
425,(주)나노엔텍,39860,18-Dec,0
426,(주)나노엔텍,39860,19-Dec,0
427,(주)나무가,190510,15-Dec,0
428,(주)나무가,190510,16-Dec,0.032678725
429,(주)나무가,190510,17-Dec,0.037172039
430,(주)나무가,190510,18-Dec,0.023748099
431,(주)나무가,190510,19-Dec,0
432,(주)나스미디어,89600,13-Dec,0
433,(주)나스미디어,89600,14-Dec,0
434,(주)나스미디어,89600,15-Dec,0
435,(주)나스미디어,89600,16-Dec,0
436,(주)나스미디어,89600,17-Dec,0
437,(주)나스미디어,89600,18-Dec,0
438,(주)나스미디어,89600,19-Dec,0
439,(주)나이벡,138610,11-Dec,0.05392508
440,(주)나이벡,138610,12-Dec,0.067551749
441,(주)나이벡,138610,13-Dec,0.066434651
442,(주)나이벡,138610,14-Dec,0.087066178
443,(주)나이벡,138610,15-Dec,0.037988484
444,(주)나이벡,138610,16-Dec,0.077035206
445,(주)나이벡,138610,17-Dec,0.137765437
446,(주)나이벡,138610,18-Dec,0.274203097
447,(주)나이벡,138610,19-Dec,0.226663119
448,(주)나이스디앤비,130580,11-Dec,0
449,(주)나이스디앤비,130580,12-Dec,0
450,(주)나이스디앤비,130580,13-Dec,0
451,(주)나이스디앤비,130580,14-Dec,0
452,(주)나이스디앤비,130580,15-Dec,0
453,(주)나이스디앤비,130580,16-Dec,0
454,(주)나이스디앤비,130580,17-Dec,0
455,(주)나이스디앤비,130580,18-Dec,0
456,(주)나이스디앤비,130580,19-Dec,0
457,(주)나이스홀딩스,34310,11-Dec,0
458,(주)나이스홀딩스,34310,12-Dec,0
459,(주)나이스홀딩스,34310,13-Dec,0
460,(주)나이스홀딩스,34310,14-Dec,0
461,(주)나이스홀딩스,34310,15-Dec,0
462,(주)나이스홀딩스,34310,16-Dec,0
463,(주)나이스홀딩스,34310,17-Dec,0
464,(주)나이스홀딩스,34310,18-Dec,0
465,(주)나이스홀딩스,34310,19-Dec,0
466,(주)나인테크,267320,17-Dec,
467,(주)나인테크,267320,18-Dec,
468,(주)나인테크,267320,19-Dec,
469,(주)남선알미늄,8350,11-Dec,0
470,(주)남선알미늄,8350,12-Dec,0
471,(주)남선알미늄,8350,13-Dec,0
472,(주)남선알미늄,8350,14-Dec,0
473,(주)남선알미늄,8350,15-Dec,0.005380992
474,(주)남선알미늄,8350,16-Dec,0.004458031
475,(주)남선알미늄,8350,17-Dec,0.004323693
476,(주)남선알미늄,8350,18-Dec,0.004900675
477,(주)남선알미늄,8350,19-Dec,0.005877589
478,(주)남성,4270,11-Dec,0.008291268
479,(주)남성,4270,12-Dec,0.000697814
480,(주)남성,4270,13-Dec,0.000653174
481,(주)남성,4270,14-Dec,0.006991218
482,(주)남성,4270,15-Dec,0.00692765
483,(주)남성,4270,16-Dec,0.007622501
484,(주)남성,4270,17-Dec,0.007571525
485,(주)남성,4270,18-Dec,0.011069255
486,(주)남성,4270,19-Dec,0.012141756
487,(주)내츄럴엔도텍,168330,13-Dec,0.011745857
488,(주)내츄럴엔도텍,168330,14-Dec,0.01637543
489,(주)내츄럴엔도텍,168330,15-Dec,0.048527042
490,(주)내츄럴엔도텍,168330,16-Dec,0.218801041
491,(주)내츄럴엔도텍,168330,17-Dec,0.17450617
492,(주)내츄럴엔도텍,168330,18-Dec,0.183708139
493,(주)내츄럴엔도텍,168330,19-Dec,0.232106285
494,(주)네오리진,94860,11-Dec,0
495,(주)네오리진,94860,12-Dec,0
496,(주)네오리진,94860,13-Dec,0
497,(주)네오리진,94860,14-Dec,0.051817769
498,(주)네오리진,94860,15-Dec,0
499,(주)네오리진,94860,16-Dec,0
500,(주)네오리진,94860,17-Dec,0
501,(주)네오리진,94860,18-Dec,0
502,(주)네오리진,94860,19-Dec,0
503,(주)네오셈,253590,18-Dec,
504,(주)네오셈,253590,19-Dec,0.248150466
505,(주)네오오토,212560,15-Dec,0
506,(주)네오오토,212560,16-Dec,0
507,(주)네오오토,212560,17-Dec,0
508,(주)네오오토,212560,18-Dec,0
509,(주)네오오토,212560,19-Dec,0
510,(주)네오위즈,95660,11-Dec,0.030625411
511,(주)네오위즈,95660,12-Dec,0.024338742
512,(주)네오위즈,95660,13-Dec,0.036422233
513,(주)네오위즈,95660,14-Dec,0.069187509
514,(주)네오위즈,95660,15-Dec,0.039713438
515,(주)네오위즈,95660,16-Dec,0.039751902
516,(주)네오위즈,95660,17-Dec,0.039179047
517,(주)네오위즈,95660,18-Dec,0.036592417
518,(주)네오위즈,95660,19-Dec,0.027592704
519,(주)네오위즈홀딩스,42420,11-Dec,0
520,(주)네오위즈홀딩스,42420,12-Dec,0
521,(주)네오위즈홀딩스,42420,13-Dec,0
522,(주)네오위즈홀딩스,42420,14-Dec,0
523,(주)네오위즈홀딩스,42420,15-Dec,0
524,(주)네오위즈홀딩스,42420,16-Dec,0
525,(주)네오위즈홀딩스,42420,17-Dec,0
526,(주)네오위즈홀딩스,42420,18-Dec,0
527,(주)네오위즈홀딩스,42420,19-Dec,0
528,(주)네오크레마,311390,19-Dec,0
529,(주)네오티스,85910,11-Dec,0.025474064
530,(주)네오티스,85910,12-Dec,0.02701464
531,(주)네오티스,85910,13-Dec,0.03071168
532,(주)네오티스,85910,14-Dec,0.030525827
533,(주)네오티스,85910,15-Dec,0.034886938
534,(주)네오티스,85910,16-Dec,0.029580221
535,(주)네오티스,85910,17-Dec,0.030386392
536,(주)네오티스,85910,18-Dec,0.028271942
537,(주)네오티스,85910,19-Dec,0.031452094
538,(주)네오팜,92730,11-Dec,0
539,(주)네오팜,92730,12-Dec,0
540,(주)네오팜,92730,13-Dec,0
541,(주)네오팜,92730,14-Dec,0
542,(주)네오팜,92730,15-Dec,0
543,(주)네오팜,92730,16-Dec,0
544,(주)네오팜,92730,17-Dec,0
