총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결)
0.846946668,0.905960631,3.525770085,3.643649763,4.20492673,3.476815609,2.371817157,1.155305354,8.670730784,8.43576559,0.846946668,0.905960631,1.598297435,1.581969918,inf,1.327028759
0.94412627,0.981673693,4.109246584,3.887857798,7.406169849,5.597979925,2.534437805,1.385272119,12.57118464,11.34477574,0.94412627,0.981673693,1.927605956,1.774760799,inf,1.43378033
1.19101642,,17.37352817,,4.48612726,,1.593289911,,4.55481413,,1.19101642,,1.929645096,,inf,
1.341704598,,11.68727521,,3.913840218,,1.884283731,,5.485417666,,1.341704598,,2.046988368,,inf,
1.052509861,,9.193601244,,4.13200322,,1.654608059,,5.180696692,,1.052509861,,1.800406134,,inf,
1.196159345,,11.45798155,,5.367598309,,2.019248581,,7.046596072,,1.196159345,,2.308468264,,inf,
1.184635276,,14.22612934,,4.561012968,,2.178523547,,8.566171385,,1.184635276,,2.864543349,,inf,
1.101865473,,23.46217774,,4.468191207,,2.145462405,,9.479850283,,1.101865473,,2.502868795,,inf,
0.794155467,,32.08604776,,3.675226873,,1.566916852,,9.021063046,,0.794155467,,1.993500525,,inf,
0.599949478,,29.6258121,,3.461702304,,1.199863307,,9.299928406,,0.599949478,,2.402050569,,inf,
0.850728814,,21.53253052,,3.175268707,,1.748443619,,11.80378935,,0.850728814,,2.992343991,,inf,
0.005756684,1.285355641,,5.608959789,3.558963608,4.412830474,13.29825574,1.695675594,inf,4.955314534,0.005756684,1.285355641,4.963728098,2.113058536,inf,1.667645615
0.022456722,1.269479377,,5.276323708,13.03351789,4.123152712,69.50317689,1.691398696,inf,4.833034726,0.022456722,1.269479377,27.33471288,2.124846205,inf,1.63546896
0.022475419,1.170981598,,4.66170852,13.74345568,4.098854566,113.9936073,1.600040091,inf,4.956447371,0.022475419,1.170981598,21.08106365,2.058336047,inf,1.523304029
0.019358399,1.137101739,,4.63808268,12.49243865,4.545064771,118.4713546,1.617412867,inf,5.400757894,0.019358399,1.137101739,17.79124192,2.12922581,inf,1.502935193
