,회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),0,1
170,(주)경방,50,Dec-11,307701501,308454057,80.92,
171,(주)경방,50,Dec-12,301773723,324064120,-1.93,5.06
172,(주)경방,50,Dec-13,280675994,306515477,-6.99,-5.42
173,(주)경방,50,Dec-14,269480797,307855729,-3.99,0.44
174,(주)경방,50,Dec-15,258275719,325770660,-4.16,5.82
175,(주)경방,50,Dec-16,248710695,315500908,-3.7,-3.15
176,(주)경방,50,Dec-17,229435458,310601150,-7.75,-1.55
177,(주)경방,50,Dec-18,214332809,285829683,-6.58,-7.98
178,(주)경방,50,Dec-19,64860661,145683128,-69.74,-49.03
179,(주)경보제약,214390,Dec-15,74892236,15975328.46,-89.03,
180,(주)경보제약,214390,Dec-16,83949070,15975328.46,12.09,
181,(주)경보제약,214390,Dec-17,78497115,15975328.46,-6.49,
182,(주)경보제약,214390,Dec-18,76497132,15975328.46,-2.55,
183,(주)경보제약,214390,Dec-19,88116421,15975328.46,15.19,
184,(주)경인양행,12610,Dec-11,69431560,136165573,752.35,
185,(주)경인양행,12610,Dec-12,67259638,124092900,-3.13,-8.87
186,(주)경인양행,12610,Dec-13,72282759,127667556,7.47,2.88
187,(주)경인양행,12610,Dec-14,77811393,135555605,7.65,6.18
188,(주)경인양행,12610,Dec-15,76154669,136115404,-2.13,0.41
189,(주)경인양행,12610,Dec-16,77953872,137784128,2.36,1.23
190,(주)경인양행,12610,Dec-17,86525558,149692038,11,8.64
191,(주)경인양행,12610,Dec-18,90678289,155376235,4.8,3.8
192,(주)경인양행,12610,Dec-19,119519529,194110502,31.81,24.93
193,(주)고려시멘트,198440,Dec-14,15975328.46,15975328.46,-91.77,
194,(주)고려시멘트,198440,Dec-15,15975328.46,15975328.46,,
195,(주)고려시멘트,198440,Dec-16,15975328.46,15975328.46,,
196,(주)고려시멘트,198440,Dec-17,47901220,15975328.46,,
197,(주)고려시멘트,198440,Dec-18,48776544,15975328.46,1.83,
198,(주)고려시멘트,198440,Dec-19,51139394,15975328.46,4.84,
199,(주)고영테크놀러지,98460,Dec-11,14869610,15041656,-5.84,
200,(주)고영테크놀러지,98460,Dec-12,15336664,15547786,3.14,3.36
201,(주)고영테크놀러지,98460,Dec-13,14690294,14825443,-4.21,-4.65
202,(주)고영테크놀러지,98460,Dec-14,19812580,19958721,34.87,34.62
203,(주)고영테크놀러지,98460,Dec-15,19340953,19713468,-2.38,-1.23
204,(주)고영테크놀러지,98460,Dec-16,23462507,23842197,21.31,20.94
205,(주)고영테크놀러지,98460,Dec-17,24158929,25337806,2.97,6.27
206,(주)고영테크놀러지,98460,Dec-18,32377941,33117594,34.02,30.7
207,(주)고영테크놀러지,98460,Dec-19,35418136,37283940,9.39,12.58
208,(주)골드앤에스,35290,Dec-11,995140,1027834,-97.24,
209,(주)골드앤에스,35290,Dec-12,851327,988045,-14.45,-3.87
210,(주)골드앤에스,35290,Dec-13,810357,23605894,-4.81,2289.15
211,(주)골드앤에스,35290,Dec-14,502559,22767398,-37.98,-3.55
212,(주)골드앤에스,35290,Dec-15,299779,330937,-40.35,-98.55
213,(주)골드앤에스,35290,Dec-16,193816,204183,-35.35,-38.3
214,(주)골드앤에스,35290,Dec-17,336869,338535,73.81,65.8
215,(주)골드앤에스,35290,Dec-18,11191043,11191043,3222.08,3205.73
216,(주)골드앤에스,35290,Dec-19,3722968,3722968,-66.73,-66.73
217,(주)골드퍼시픽,38530,Dec-11,10069863,15975328.46,329.1,
218,(주)골드퍼시픽,38530,Dec-12,8743387,15975328.46,-13.17,
219,(주)골드퍼시픽,38530,Dec-13,7249195,9882790,-17.09,
220,(주)골드퍼시픽,38530,Dec-14,5643164,9909463,-22.15,0.27
221,(주)골드퍼시픽,38530,Dec-15,2580222,2580222,-54.28,-73.96
222,(주)골드퍼시픽,38530,Dec-16,1333057,15975328.46,-48.34,519.15
223,(주)골드퍼시픽,38530,Dec-17,1297094,15975328.46,-2.7,
224,(주)골드퍼시픽,38530,Dec-18,83408,94653,-93.57,
