,순이익증가율,순이익증가률개별,순이익증가률연결,순이익증가율1
4372,-5.42,3.75,-5.42,-5.42
4373,38.82,-57.53,38.82,38.82
4374,-88.36,-31.15,-88.36,-88.36
4375,187.55,57.95,187.55,187.55
4376,198.7,-34.27,198.7,198.7
4377,0.0,-6.62,0.0,0.0
4378,-435.03,-1221.91,-435.03,-435.03
4379,1254789.63,11111111.11,11111111.11,1254789.63
4380,1254789.63,11111111.11,11111111.11,1254789.63
4381,1254789.63,11111111.11,11111111.11,1254789.63
4382,3584.55,21980.52,3584.55,3584.55
4383,48.51,39.34,48.51,48.51
4384,-70.01,-83.31,-70.01,-70.01
4385,-79.61,-78.58,-79.61,-79.61
4386,504.78,837.56,504.78,504.78
4387,16.02,29.77,16.02,16.02
4388,-52.6,-75.65,-52.6,-52.6
4389,-236.96,-354.04,-236.96,-236.96
4390,1254789.63,11111111.11,11111111.11,1254789.63
4391,1254789.63,11111111.11,11111111.11,1254789.63
4392,-101.14,-83.81,-101.14,-101.14
4393,-653.64,-653.64,11111111.11,-653.64
4394,1254789.63,11111111.11,11111111.11,1254789.63
4395,1254789.63,11111111.11,11111111.11,1254789.63
4396,1254789.63,11111111.11,11111111.11,1254789.63
4397,-13.42,-9.49,-13.42,-13.42
4398,-12.18,-14.05,-12.18,-12.18
4399,-17.87,-18.17,-17.87,-17.87
4400,28.12,28.24,28.12,28.12
4401,-0.59,-0.43,-0.59,-0.59
4402,-12.7,-11.26,-12.7,-12.7
4403,-57.96,10.75,-57.96,-57.96
4404,0.0,45.88,0.0,0.0
4405,102.88,-42.67,102.88,102.88
4406,-195.02,-109.42,-195.02,-195.02
4407,1254789.63,11111111.11,11111111.11,1254789.63
4408,16.97,-3.53,16.97,16.97
4409,-11.53,-36.34,-11.53,-11.53
4410,-398.97,-393.98,-398.97,-398.97
4411,1254789.63,11111111.11,11111111.11,1254789.63
4412,1254789.63,11111111.11,11111111.11,1254789.63
4413,-884.9,-310.92,-884.9,-884.9
4414,1254789.63,11111111.11,11111111.11,1254789.63
4415,-134.05,11111111.11,-134.05,-134.05
4416,1254789.63,11111111.11,11111111.11,1254789.63
4417,-173.71,-60.89,-173.71,-173.71
4418,86.98,86.98,11111111.11,86.98
4419,-279.55,-183.6,-279.55,-279.55
4420,1254789.63,11111111.11,11111111.11,1254789.63
4421,-336.63,-315.58,-336.63,-336.63
4422,1254789.63,11111111.11,11111111.11,1254789.63
4423,1254789.63,11111111.11,11111111.11,1254789.63
4424,1254789.63,11111111.11,11111111.11,1254789.63
4425,0.0,11111111.11,0.0,0.0
4426,0.0,11111111.11,0.0,0.0
4427,0.0,-93.76,0.0,0.0
4428,0.0,412.56,0.0,0.0
4429,0.0,329.57,0.0,0.0
4430,0.0,28.57,0.0,0.0
4431,-26.97,-83.89,-26.97,-26.97
4432,-29.07,-70.16,-29.07,-29.07
4433,-27.28,130.32,-27.28,-27.28
4434,-97.89,-92.39,-97.89,-97.89
4435,4015.25,1347.89,4015.25,4015.25
4436,67.72,57.72,67.72,67.72
4437,-13.22,-22.76,-13.22,-13.22
4438,-32.95,-36.34,-32.95,-32.95
4439,-33.46,-5.37,-33.46,-33.46
4440,100.57,29.19,100.57,100.57
4441,-11.68,-6.13,-11.68,-11.68
4442,-4.86,-12.49,-4.86,-4.86
4443,58.39,56.55,58.39,58.39
4444,-218.99,-233.86,-218.99,-218.99
4445,1254789.63,11111111.11,11111111.11,1254789.63
4446,-61.76,-58.74,-61.76,-61.76
4447,-993.23,-1050.64,-993.23,-993.23
4448,1254789.63,11111111.11,11111111.11,1254789.63
4449,0.0,-18.65,0.0,0.0
4450,0.0,119.93,0.0,0.0
4451,0.0,81.71,0.0,0.0
4452,-58.65,-76.41,-58.65,-58.65
4453,44.33,41.44,44.33,44.33
4454,-36.52,-44.02,-36.52,-36.52
4455,-31.65,-18.95,-31.65,-31.65
4456,-95.8,-75.47,-95.8,-95.8
4457,1184.02,59.91,1184.02,1184.02
4458,-78.54,-14.25,-78.54,-78.54
4459,328.66,67.68,328.66,328.66
4460,-41.91,-55.17,-41.91,-41.91
4461,574.18,757.62,574.18,574.18
4462,99.01,15.62,99.01,99.01
4463,0.0,-8.71,0.0,0.0
4464,0.0,1.85,0.0,0.0
4465,0.0,20.68,0.0,0.0
4466,0.0,-12.25,0.0,0.0
4467,0.0,75.01,0.0,0.0
4468,0.0,-52.71,0.0,0.0
4469,0.0,5.19,0.0,0.0
4470,0.0,-86.12,0.0,0.0
4471,0.0,-17.47,0.0,0.0
4472,3.62,55.72,3.62,3.62
4473,-49.35,-16.71,-49.35,-49.35
4474,-13.64,-48.14,-13.64,-13.64
4475,120.62,-536.75,120.62,120.62
4476,-100.7,11111111.11,-100.7,-100.7
4477,1254789.63,11111111.11,11111111.11,1254789.63
4478,1254789.63,11111111.11,11111111.11,1254789.63
4479,1254789.63,11111111.11,11111111.11,1254789.63
4480,0.0,-95.43,0.0,0.0
4481,-220.53,-3215.19,-220.53,-220.53
4482,1254789.63,11111111.11,11111111.11,1254789.63
4483,0.0,11111111.11,0.0,0.0
4484,0.0,11111111.11,0.0,0.0
4485,0.0,11111111.11,0.0,0.0
4486,-66.53,-34.48,-66.53,-66.53
4487,-355.14,-343.57,-355.14,-355.14
4488,1254789.63,11111111.11,11111111.11,1254789.63
4489,0.0,-171.89,0.0,0.0
4490,0.0,11111111.11,0.0,0.0
4491,0.0,11111111.11,0.0,0.0
4492,0.0,1617.31,0.0,0.0
4493,0.0,-71.73,0.0,0.0
4494,-801.46,-2150.39,-801.46,-801.46
4495,1254789.63,11111111.11,11111111.11,1254789.63
4496,1254789.63,11111111.11,11111111.11,1254789.63
4497,0.0,11111111.11,0.0,0.0
4498,0.0,-72.75,0.0,0.0
4499,0.0,-29.01,0.0,0.0
4500,-78.93,-2.77,-78.93,-78.93
4501,-1471.69,-1224.62,-1471.69,-1471.69
4502,1254789.63,11111111.11,11111111.11,1254789.63
4503,-39.37,11111111.11,-39.37,-39.37
4504,0.0,11111111.11,0.0,0.0
4505,-133.01,11111111.11,-133.01,-133.01
4506,1254789.63,11111111.11,11111111.11,1254789.63
4507,0.0,11111111.11,0.0,0.0
4508,-305.55,11111111.11,-305.55,-305.55
4509,1254789.63,11111111.11,11111111.11,1254789.63
4510,1254789.63,11111111.11,11111111.11,1254789.63
4511,-179.59,-167.88,-179.59,-179.59
4512,1254789.63,11111111.11,11111111.11,1254789.63
4513,0.0,0.0,0.0,0.0
4514,0.0,0.0,0.0,0.0
4515,-107.11,-107.16,-107.11,-107.11
4516,1254789.63,11111111.11,11111111.11,1254789.63
4517,1499.19,54.18,1499.19,1499.19
4518,12.98,15.52,12.98,12.98
4519,110.15,84.03,110.15,110.15
4520,108.33,51.07,108.33,108.33
4521,-66.69,-96.37,-66.69,-66.69
4522,0.0,-18.52,0.0,0.0
4523,0.0,-1349.62,0.0,0.0
4524,0.0,11111111.11,0.0,0.0
4525,0.0,-87.33,0.0,0.0
4526,-165.13,4690.72,-165.13,-165.13
4527,-45.38,-45.38,11111111.11,-45.38
4528,1143.48,1143.48,11111111.11,1143.48
4529,-19.14,41.82,-19.14,-19.14
4530,-70.26,-87.29,-70.26,-70.26
4531,0.0,0.0,0.0,0.0
4532,0.0,210.33,0.0,0.0
4533,0.0,-101.82,0.0,0.0
4534,0.0,11111111.11,0.0,0.0
4535,0.0,-10.82,0.0,0.0
4536,-76.35,-61.45,-76.35,-76.35
4537,-91.46,-66.17,-91.46,-91.46
4538,-1938.52,-377.24,-1938.52,-1938.52
4539,1254789.63,11111111.11,11111111.11,1254789.63
4540,1254789.63,11111111.11,11111111.11,1254789.63
4541,1254789.63,11111111.11,11111111.11,1254789.63
4542,1254789.63,11111111.11,11111111.11,1254789.63
4543,1254789.63,11111111.11,11111111.11,1254789.63
4544,1254789.63,11111111.11,11111111.11,1254789.63
4545,1254789.63,11111111.11,11111111.11,1254789.63
4546,-155.21,-241.41,-155.21,-155.21
4547,1254789.63,11111111.11,11111111.11,1254789.63
4548,1254789.63,11111111.11,11111111.11,1254789.63
4549,-54.82,-20.72,-54.82,-54.82
4550,-1309.8,-795.49,-1309.8,-1309.8
4551,1254789.63,11111111.11,11111111.11,1254789.63
4552,-58.86,-63.53,-58.86,-58.86
4553,3.36,23.31,3.36,3.36
4554,66.95,62.51,66.95,66.95
4555,-11.02,-13.3,-11.02,-11.02
4556,142.98,199.33,142.98,142.98
4557,147.74,113.77,147.74,147.74
4558,45.95,42.7,45.95,45.95
4559,0.59,11.08,0.59,0.59
4560,-89.89,-90.62,-89.89,-89.89
4561,-161.67,-164.24,-161.67,-161.67
4562,1254789.63,11111111.11,11111111.11,1254789.63
4563,640.95,-1224.92,640.95,640.95
4564,191.66,11111111.11,191.66,191.66
4565,28.6,513.5,28.6,28.6
4566,0.0,-81.97,0.0,0.0
4567,-78.17,88.54,-78.17,-78.17
4568,14.0,39.85,14.0,14.0
4569,134.25,126.71,134.25,134.25
4570,-22.55,-41.49,-22.55,-22.55
4571,94.47,125.35,94.47,94.47
4572,73.73,64.62,73.73,73.73
4573,7.86,5.24,7.86,7.86
4574,-56.98,-57.26,-56.98,-56.98
4575,-71.39,-86.28,-71.39,-71.39
4576,-381.86,-453.2,-381.86,-381.86
4577,1254789.63,11111111.11,11111111.11,1254789.63
