회사명,거래소코드,회계년도,상장일,설립일
(주)동국에스엔씨,100130,2011/12,2009/08/31,2001/07/02
(주)동남합성,23450,2011/12,1996/12/24,1965/10/01
(주)동방,4140,2011/12,1988/08/10,1965/01/14
(주)동방선기,99410,2011/12,2009/11/10,1994/07/06
(주)동방아그로,7590,2011/12,1977/06/29,1971/12/31
(주)동서,26960,2016/12,2016/07/15,1975/05/16
(주)동성케미컬,102260,2011/12,2008/06/23,2008/05/14
(주)동성화인텍,33500,2011/12,1997/12/19,1985/07/31
(주)동아엘텍,88130,2011/12,2007/01/03,1999/04/14
(주)동아지질,28100,2011/12,2009/06/12,1973/11/30
(주)동양,1520,2011/12,1976/06/25,1955/08/25
(주)동양고속,84670,2011/12,2005/07/25,2005/07/04
(주)동양에스텍,60380,2011/12,2002/02/05,1981/11/12
(주)동우팜투테이블,88910,2011/12,2006/06/23,1993/02/17
(주)동운아나텍,94170,2015/12,2015/06/30,2006/07/01
(주)동원개발,13120,2011/12,1994/12/29,1978/03/31
(주)동원에프앤비,49770,2011/12,2000/11/23,2000/11/01
(주)동일기연,32960,2011/12,1997/07/18,1986/03/10
(주)동진쎄미켐,5290,2011/12,1999/12/21,1973/07/10
(주)두산,150,2011/12,1973/06/29,1933/12/18
(주)두산테스나,131970,2013/12,2013/10/22,2002/09/06
(주)두올,16740,2016/12,2016/07/29,1983/02/11
(주)듀오백,73190,2011/12,2004/02/06,1987/05/01
(주)드래곤플라이,30350,2011/12,1997/11/10,1990/03/22
(주)드림시큐리티,203650,2014/12,2014/10/13,2014/06/25
(주)드림어스컴퍼니,60570,2011/12,2003/12/19,1999/01/20
(주)드림텍,192650,2019/12,2019/03/14,1998/09/22
(주)디딤,217620,2015/12,2015/06/10,2015/03/30
(주)디모아,16670,2011/12,1993/04/21,1982/12/30
(주)디바이스이엔지,187870,2017/12,2017/12/20,2002/10/01
(주)디비아이엔씨,12030,2011/12,1993/01/06,1977/03/15
(주)디스플레이테크,66670,2011/12,2002/12/30,1998/08/04
(주)디아이,3160,2011/12,1996/07/31,1961/03/16
(주)디아이씨,92200,2011/12,2007/10/18,1976/08/03
(주)디아크,78590,2011/12,2005/10/27,1993/08/25
(주)디알비동일,4840,2011/12,1976/05/21,1945/09/30
(주)디알젬,263690,2018/12,2018/11/22,2003/09/25
(주)디알텍,214680,2015/12,2015/04/20,2015/02/03
(주)디앤씨미디어,263720,2017/12,2017/08/01,2012/01/04
(주)디에스앤엘,141020,2013/12,2013/01/29,2006/09/01
(주)디에스케이,109740,2011/12,2009/09/23,1995/02/03
(주)디에이테크놀로지,196490,2014/12,2014/11/19,2000/05/03
(주)디에이피,66900,2011/12,2004/05/14,1987/11/28
(주)디엔에이링크,127120,2011/12,2011/12/26,2000/03/15
(주)디엔에프,92070,2011/12,2007/11/16,2001/01/05
(주)디엔오토모티브,7340,2011/12,1988/09/24,1971/06/23
(주)디엠에스,68790,2011/12,2004/10/01,1999/07/08
(주)디오,39840,2011/12,2000/06/29,1988/01/25
(주)디와이디,219550,2015/12,2015/07/22,2015/04/22
(주)디이엔티,79810,2011/12,2005/01/26,2001/08/01
(주)디지아이,43360,2011/12,2001/07/20,1991/11/28
(주)디지캡,197140,2018/12,2018/09/07,2000/04/01
(주)디지털대성,68930,2011/12,2003/10/17,2000/03/11
(주)디지틀조선일보,33130,2011/12,1997/08/06,1995/10/02
(주)디케이앤디,263020,2018/12,2018/11/20,2000/05/12
(주)디케이티,290550,2018/12,2018/12/21,2012/06/21
(주)디티앤씨,187220,2014/12,2014/12/17,2000/10/18
(주)딜리,131180,2011/12,2011/01/31,1996/02/15
(주)라닉스,317120,2019/12,2019/09/18,2003/09/26
(주)라온테크,232680,2015/12,2021/06/17,2000/03/14
(주)라이온켐텍,171120,2013/12,2013/11/19,1982/11/24
(주)라이트론,69540,2011/12,2004/02/13,1998/10/27
(주)라파스,214260,2019/12,2019/11/11,2006/03/30
(주)락앤락,115390,2011/12,2010/01/28,2005/12/29
(주)랩지노믹스,84650,2014/12,2014/12/16,2002/03/29
(주)러셀,217500,2015/12,2015/06/16,2015/03/26
(주)레고켐바이오사이언스,141080,2013/12,2013/05/10,2006/05/02
(주)레드로버,60300,2011/12,2002/01/10,1996/06/15
(주)레드캡투어,38390,2011/12,2000/02/01,1996/07/30
(주)레이,228670,2019/12,2019/08/08,2004/10/06
(주)레이언스,228850,2016/12,2016/04/11,2011/05/02
(주)레이크머티리얼즈,281740,2017/12,2017/12/12,2017/09/22
(주)로보로보,215100,2015/12,2015/04/22,2015/02/09
(주)로보스타,90360,2011/12,2011/10/17,1999/02/26
(주)로보티즈,108490,2018/12,2018/10/26,1999/04/01
(주)로지시스,67730,2015/12,2015/07/29,1996/07/04
(주)루멘스,38060,2011/12,2006/08/08,1996/06/17
(주)루트로닉,85370,2011/12,2006/07/04,1997/07/08
(주)룽투코리아,60240,2011/12,2002/01/04,1993/07/15
(주)리노스,39980,2011/12,2002/08/13,1991/02/01
(주)리더스코스메틱,16100,2011/12,2003/01/15,1986/12/24
(주)리드,197210,2015/12,2015/11/20,2000/03/23
(주)리드코프,12700,2011/12,1996/01/19,1977/09/19
(주)리메드,302550,2019/12,2019/12/06,2003/07/31
(주)링네트,42500,2011/12,2002/01/10,2000/04/01
(주)링크제니시스,219420,2018/12,2018/02/05,2003/12/12
(주)마니커,27740,2011/12,2002/10/29,1985/09/27
(주)마니커에프앤지,195500,2019/12,2019/08/20,2004/05/22
(주)마이크로디지탈,305090,2019/12,2019/06/05,2002/08/02
(주)마이크로컨텍솔루션,98120,2011/12,2008/09/23,1999/12/28
(주)마이크로프랜드,147760,2016/12,2016/12/12,2004/05/12
(주)마크로젠,38290,2011/12,2000/02/22,1997/06/05
(주)만도,204320,2014/12,2014/10/06,2014/09/02
(주)매직마이크로,127160,2015/12,2015/11/19,2006/08/11
(주)매커스,93520,2011/12,2007/02/12,2006/12/14
(주)머큐리,100590,2018/12,2018/12/14,2000/08/21
(주)멀티캠퍼스,67280,2011/12,2006/11/16,2000/05/04
(주)메드팩토,235980,2019/12,2019/12/19,2013/06/19
(주)메디아나,41920,2014/12,2014/10/07,1995/06/19
(주)메디콕스,54180,2011/06,2001/10/16,1999/01/26
(주)메디톡스,86900,2011/12,2009/01/16,2000/05/02
(주)메디프론디비티,65650,2011/12,2003/01/21,1997/03/18
(주)메지온,140410,2012/12,2012/01/20,2002/09/25
(주)메카로,241770,2017/12,2017/12/06,2000/11/01
(주)메타랩스,90370,2011/12,2006/12/26,2000/11/03
(주)메타바이오메드,59210,2011/12,2008/04/15,1999/07/01
(주)멕아이씨에스,58110,2015/12,2015/12/14,1998/11/26
(주)멜파스,96640,2011/12,2009/12/18,2000/02/02
(주)모나리자,12690,2011/12,1988/10/14,1977/11/01
(주)모나미,5360,2011/12,1976/04/15,1967/12/28
(주)모다이노칩,80420,2011/12,2005/12/06,2000/04/24
(주)모두투어네트워크,80160,2011/12,2005/07/26,1989/02/14
(주)모바일리더,100030,2011/12,2010/05/25,2000/02/23
(주)모베이스,101330,2011/12,2010/02/04,1999/03/17
(주)모베이스전자,12860,2011/12,1994/10/26,1978/01/07
(주)모비스,250060,2016/12,2016/09/08,2016/07/01
(주)모아텍,33200,2011/12,1997/10/13,1989/03/06
(주)모토닉,9680,2011/12,1994/01/14,1974/03/07
(주)모헨즈,6920,2011/12,1989/01/05,1970/11/24
(주)무학,33920,2011/12,2010/07/20,1973/10/01
(주)미래생명자원,218150,2015/12,2015/06/18,2015/04/06
(주)미래아이앤지,7120,2011/12,1999/11/26,1971/03/01
(주)미래컴퍼니,49950,2011/12,2005/01/04,1992/12/30
(주)미코,59090,2011/12,2002/01/15,1999/07/16
(주)미투온,201490,2016/12,2016/10/10,2010/05/26
(주)바른손,18700,2011/03,1994/03/18,1985/12/27
(주)바른손이앤에이,35620,2011/12,1999/08/13,1996/12/20
(주)바른전자,64520,2011/12,2002/12/04,1998/02/17
(주)바이넥스,53030,2011/12,2001/08/07,1985/06/05
(주)바이오니아,64550,2011/12,2005/12/29,1992/08/28
(주)바이오로그디바이스,208710,2014/12,2014/12/24,2014/10/23
(주)바이오솔루션,86820,2018/12,2018/08/20,2000/01/14
(주)바이오스마트,38460,2011/12,2000/06/22,1985/12/30
(주)바이오톡스텍,86040,2011/12,2007/09/21,2000/08/23
(주)바텍,43150,2011/12,2006/09/29,1992/04/04
(주)방림,3610,2011/09,1989/05/30,1962/12/05
(주)배럴,267790,2018/12,2018/02/01,2010/01/07
(주)백금티앤에이,46310,2011/12,2002/02/05,1996/12/17
(주)백산,35150,2011/12,1999/08/11,1986/08/16
(주)버킷스튜디오,66410,2011/12,2003/12/19,1999/02/05
(주)베노홀딩스,206400,2014/12,2014/12/10,2014/09/19
(주)베셀,177350,2015/12,2015/06/19,2004/06/17
(주)베스파,299910,2018/12,2018/12/03,2013/05/09
(주)벽산,7210,2011/12,1972/01/04,1971/04/09
(주)보광산업,225530,2015/12,2015/12/17,2004/08/27
(주)보라티알,250000,2017/12,2017/06/08,2015/11/02
(주)보락,2760,2011/12,1989/11/30,1959/08/08
(주)보령,3850,2011/12,1988/10/24,1963/11/11
(주)본느,226340,2015/12,2015/11/05,2015/07/28
(주)부-스타,8470,2011/12,2011/02/23,1973/01/26
(주)부방,14470,2011/12,1994/02/25,1976/04/15
(주)뷰웍스,100120,2011/12,2009/04/10,1999/09/18
(주)브리지텍,64480,2011/12,2008/06/04,1995/03/31
(주)브이원텍,251630,2017/12,2017/07/13,2006/06/08
(주)브이티지엠피,18290,2011/12,1994/09/07,1986/11/07
(주)블루베리엔에프티,44480,2011/12,2001/01/11,1973/05/23
(주)블루콤,33560,2011/12,2011/01/26,1991/10/07
(주)비덴트,121800,2012/06,2011/12/01,2002/03/20
(주)비보존헬스케어,82800,2011/12,2005/11/18,2002/08/22
(주)비비안,2070,2011/12,1976/07/13,1957/06/14
(주)비상교육,100220,2011/12,2008/06/30,2002/01/21
(주)비씨월드제약,200780,2014/12,2014/12/15,1980/03/19
(주)비아트론,141000,2012/12,2012/05/04,2001/12/26
(주)비에이치,90460,2011/12,2007/01/26,1999/03/10
(주)비엔지티,32790,2011/12,1997/06/26,1973/09/21
(주)비엘,142760,2016/12,2016/07/07,1999/12/30
(주)비엘팜텍,65170,2011/12,2002/11/19,1995/02/17
(주)비엠티,86670,2011/12,2007/11/02,2000/07/26
(주)비올,335890,2019/12,2019/12/03,2019/09/02
(주)비와이씨,1460,2011/12,1975/06/02,1955/05/13
(주)비즈니스온커뮤니케이션,138580,2017/12,2017/11/30,2007/12/13
(주)비지에프,27410,2014/12,2014/05/19,1994/12/01
(주)비지에프리테일,282330,2017/12,2017/12/08,2017/11/01
(주)비츠로셀,82920,2011/03,2009/10/28,1987/10/31
(주)비츠로시스,54220,2011/03,2001/12/26,1989/11/04
(주)비츠로테크,42370,2011/03,2000/08/03,1968/01/30
(주)비케이홀딩스,50090,2011/12,2004/06/29,2000/06/17
(주)비투엔,307870,2018/12,2018/12/12,2018/09/12
(주)비트컴퓨터,32850,2011/12,1997/07/04,1988/08/15
(주)비피도,238200,2018/12,2018/12/26,1999/10/12
(주)빅솔론,93190,2011/12,2007/08/20,2002/11/14
(주)빅텍,65450,2011/12,2003/02/05,1996/01/09
(주)빙그레,5180,2011/12,1978/08/31,1967/09/13
(주)사람인에이치알,143240,2012/12,2012/02/21,2005/10/07
(주)사조대림,3960,2011/12,1976/09/01,1964/05/01
(주)사조오양,6090,2011/12,1986/12/24,1969/06/09
(주)삼기,122350,2011/12,2010/03/19,2009/12/24
(주)삼보판지,23600,2011/12,1996/05/29,1981/07/23
(주)삼성출판사,68290,2011/12,2002/08/05,2002/07/03
(주)삼양사,145990,2011/12,2011/12/05,2011/11/03
(주)삼양옵틱스,225190,2017/12,2017/06/02,2013/08/02
(주)삼양패키징,272550,2017/12,2017/11/29,2014/11/01
(주)삼양홀딩스,70,2011/12,1968/12/27,1924/10/01
(주)삼에스코리아,60310,2011/03,2002/04/23,1991/01/28
(주)삼원강재,23000,2011/12,2011/07/22,1992/07/21
(주)삼익악기,2450,2011/12,1988/09/30,1958/09/01
(주)삼일,32280,2011/12,1997/03/15,1965/12/08
(주)삼일기업공사,2290,2011/12,1992/11/30,1958/02/05
(주)삼일씨엔에스,4440,2016/12,2016/03/30,1965/12/31
(주)삼진,32750,2011/12,1997/07/14,1976/07/15
(주)삼진엘앤디,54090,2011/12,2004/02/06,1987/01/06
(주)삼천리,4690,2011/12,1976/12/23,1966/07/07
(주)삼표시멘트,38500,2011/12,2001/02/01,1990/12/22
(주)삼화네트웍스,46390,2011/12,2001/01/11,1991/10/12
(주)상보,27580,2011/12,2007/10/01,1989/04/01
(주)상상인,38540,2011/12,2000/08/18,1989/02/23
(주)상상인인더스트리,101000,2011/12,2009/11/06,2004/06/03
(주)상아프론테크,89980,2011/12,2011/07/21,1986/03/21
(주)상지카일룸,42940,2011/12,2000/10/19,1979/06/21
(주)새로닉스,42600,2011/12,2002/10/01,1968/12/21
(주)서린바이오사이언스,38070,2011/12,2005/10/25,1993/12/29
(주)서부티엔디,6730,2011/12,1995/10/06,1979/07/12
(주)서산,79650,2011/12,2005/01/21,1974/02/16
(주)서연,7860,2011/12,1989/09/09,1972/04/21
(주)서연이화,200880,2014/12,2014/08/08,2014/07/01
(주)서연탑메탈,19770,2011/12,2011/06/24,1987/02/05
(주)서울리거,43710,2011/12,2002/07/11,1991/03/02
(주)서울옥션,63170,2011/12,2008/07/01,1998/12/30
(주)서울제약,18680,2011/12,2000/08/18,1985/12/23
(주)서원,21050,2011/12,1996/01/30,1988/09/07
(주)서원인텍,93920,2011/12,2007/12/20,1983/08/15
(주)서전기전,189860,2014/12,2014/12/24,2011/11/18
(주)서진시스템,178320,2017/12,2017/03/27,2007/10/30
(주)서진오토모티브,122690,2011/12,2010/05/25,2010/01/19
(주)서플러스글로벌,140070,2017/12,2017/01/25,2000/03/27
(주)서한,11370,2011/12,1994/05/24,1976/05/12
(주)서흥,8490,2011/12,1990/03/27,1973/01/30
(주)서희건설,35890,2011/12,1999/12/24,1982/10/22
(주)선광,3100,2011/12,1999/12/21,1961/01/25
(주)선앤엘,2820,2011/12,1976/05/22,1959/10/17
(주)선익시스템,171090,2017/12,2017/09/20,1990/05/24
(주)선진,136490,2011/12,2011/02/16,2011/01/04
(주)성광벤드,14620,2011/12,2001/01/11,1980/02/23
(주)성도이엔지,37350,2011/12,2000/01/11,1988/05/13
(주)성안,11300,2011/12,1995/11/10,1976/04/20
(주)성우하이텍,15750,2011/12,1995/11/04,1977/08/15
(주)성창오토텍,80470,2011/12,2006/11/03,1996/10/18
(주)세경하이테크,148150,2019/12,2019/07/30,2006/01/16
(주)세동,53060,2011/12,2001/08/17,1986/02/04
(주)세림비앤지,340440,2019/12,2019/12/27,2019/10/17
(주)세보엠이씨,11560,2011/12,1996/12/23,1978/07/26
(주)세아베스틸지주,1430,2011/12,1991/03/12,1955/02/04
(주)세아제강,306200,2018/12,2018/10/05,2018/09/03
(주)세아제강지주,3030,2011/12,1969/05/13,1960/10/19
(주)세아특수강,19440,2011/12,2011/06/01,1986/11/01
(주)세아홀딩스,58650,2011/12,2001/07/30,2001/07/01
(주)세우글로벌,13000,2011/12,1989/09/05,1978/03/10
(주)세운메디칼,100700,2011/12,2008/09/30,1982/08/06
(주)세원물산,24830,2011/12,1994/12/29,1985/02/01
(주)세원정공,21820,2011/06,1996/07/03,1989/07/20
(주)세이브존아이앤씨,67830,2011/12,2002/07/25,2002/05/07
(주)세종메디칼,258830,2018/12,2018/05/29,2010/08/03
(주)세중,39310,2011/12,2000/06/09,1995/12/07
(주)세진중공업,75580,2015/12,2015/11/30,1999/09/08
(주)세진티에스,67770,2011/12,2004/01/09,1996/06/07
(주)세코닉스,53450,2011/12,2001/08/09,1988/12/24
(주)세토피아,222810,2015/12,2015/08/13,2015/06/08
(주)세화피앤씨,252500,2016/12,2016/11/02,2016/08/18
(주)센트랄모텍,308170,2019/12,2019/11/25,1994/01/21
(주)센트럴인사이트,12600,2011/12,1990/07/10,1977/10/13
(주)셀루메드,49180,2011/12,2002/05/23,1985/04/30
(주)셀리드,299660,2017/12,2019/02/20,2006/12/11
(주)셀리버리,268600,2018/12,2018/11/09,2014/03/06
(주)셀바스에이아이,108860,2011/12,2009/12/10,1999/03/31
(주)셀바스헬스케어,208370,2014/12,2014/12/17,2014/10/02
(주)셀트리온,68270,2018/12,2018/02/09,1991/02/27
(주)셀트리온제약,68760,2011/12,2006/02/03,2000/11/17
(주)셀트리온헬스케어,91990,2017/12,2017/07/28,1999/12/29
(주)셀피글로벌,68940,2011/12,2010/10/19,1998/11/10
(주)소프트센,32680,2011/09,1997/07/18,1988/04/11
(주)손오공,66910,2011/12,2005/01/07,1996/12/30
(주)솔고바이오메디칼,43100,2011/12,2000/08/08,1995/07/12
(주)솔루에타,154040,2013/12,2013/12/27,2003/06/27
(주)솔본,35610,2011/12,1999/08/13,1994/08/05
(주)쇼박스,86980,2011/12,2006/07/07,1999/06/10
(주)수산아이앤티,50960,2016/12,2016/10/11,1998/03/04
(주)수산중공업,17550,2011/12,1991/08/30,1984/03/12
(주)수젠텍,253840,2019/12,2019/05/28,2011/12/09
(주)슈프리마,236200,2016/12,2016/02/05,2015/12/31
(주)슈프리마아이디,317770,2019/12,2019/08/01,2017/04/03
(주)슈프리마에이치큐,94840,2011/12,2008/07/11,2000/05/04
(주)슈피겐코리아,192440,2014/12,2014/11/05,2009/02/18
(주)스마트솔루션즈,136510,2011/12,2011/11/18,2000/10/13
(주)스맥,99440,2011/12,2009/05/26,1996/03/05
(주)스카이문스테크놀로지,33790,2011/12,2001/06/26,1990/02/09
(주)스킨앤스킨,159910,2012/12,2012/12/27,2006/06/19
(주)스타플렉스,115570,2011/12,2010/01/27,1996/07/11
