회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치
한국경제티브이,39340,Dec-12,133.42,1.16,-18.82,-3.54,5.58,-2.46,100,6.66,7.04,8.89,9.91,5.98,0.9,0,5.54,11.68,inf,1.06,5.95,2.08,5.88,360.19,360.19,45.48,15.32,1.57,83.86,12.49,707.64,86.71,42.02,42.02,inf,13.45,13.29,0,0,30.36,24686.85,0,361.45,110.2514541,7.53,8.44,27217.61
한국경제티브이,39340,Dec-13,97.16,-1.24,-4.19,-48.88,-1.62,-16.11,100,1.43,1.24,2.92,3.87,1.07,0.75,0,5.76,11.17,inf,0.87,5.6,2.36,16.27,174.87,174.87,21.11,15.76,0.68,103.17,18.53,2055.62,86.39,21.75,21.75,inf,14.4,13.61,0,0,9.31,24611.68,0,371.45,402.4628236,26.67,35.19,99052.84
한국경제티브이,39340,Dec-14,65.84,8.66,-39.85,33.41,1.32,5.24,100,3.96,3.63,6.64,8.69,3.02,0.76,0,6.27,15.01,inf,0.92,4.59,3.14,16.55,149.72,146.6,24.09,24.14,3.88,70.12,18.58,351.6,80.56,26.15,26.71,inf,22.15,19.44,2.08,6.26,8.87,15170.46,0,414.13,698.8194572,25.6,34.88,106014.11
한국경제티브이,39340,Dec-15,365.55,20.46,-24.59,83.89,14.29,23.65,100,12.61,13.26,13.08,15.89,10.38,0.82,0,7.17,28.16,inf,1.05,3.79,2.39,8.22,181.7,181.7,28.63,30.84,0,74.27,23.23,0,76.43,40.78,40.78,inf,29.36,23.57,0,0,18.33,11348.47,0,493.71,1325.205316,30.46,40.43,150390.52
한국경제티브이,39340,Dec-16,365.55,2.94,13.3,15.78,13.72,4.31,100,16,15.4,14.79,19.1,12.39,0.77,0,7.62,32.04,inf,0.96,3.97,1.79,4.96,304.11,304.11,35.52,18.43,0,91.33,18.62,0,84.43,45.86,45.86,inf,17.86,15.57,0,0,30.78,13186.57,0,521.66,1267.385318,32.04,41.96,167124.6
한국경제티브이,39340,Dec-17,120.45,20.94,19.46,-51.54,13.59,-13.86,100,18.88,13.77,8.34,14.01,11.24,0.6,0,6.47,23.68,inf,0.73,3.24,1.93,-57.41,90.65,90.65,23.71,26.1,6.71,31.32,11.92,96.61,79.3,18.38,18.38,inf,25.56,20.7,0,0,-1.89,12115.4,0,608.34,1259.624386,25.09,46.13,152608.57
한국경제티브이,39340,Dec-18,78.98,7.77,-38.22,92.84,15.22,30.32,100,17.05,14.16,12.55,18.4,11.64,0.68,0,8.69,35.04,inf,0.83,3.82,2.63,7.04,231.6,231.6,111.39,17.95,0,69.31,16.04,0,84.78,32.88,32.88,inf,16.75,15.22,0,0,18.68,9197.86,0,642.48,1910.330773,27.35,41.59,175709.55
한국경제티브이,39340,Dec-19,50.99,13.97,330.9,36.75,11.89,-7.97,100,19.31,13.01,9.96,17.61,10.92,0.57,0,8.5,15.9,inf,0.67,3.53,1.55,3.89,323.91,323.91,70.4,20.13,0,60.83,19.2,0,83.24,39.46,39.46,inf,14.63,16.76,0,0,27.28,38701.74,0,766.71,217.4136668,10.97,20.66,84142.88
한국전자홀딩스,6200,Dec-11,-0.35,6.86,-10.18,17.67,-9.28,-8.44,9.64,-4.46,-8.28,-0.16,-0.13,-5.27,1.18,14.38,5.45,10.35,4.95,1.86,3.25,2.76,29.29,121.1,100.53,23.64,70.6,8.42,-3.24,-1.17,-15.93,58.62,37.23,44.84,87.07,63.17,41.38,16.98,97.48,7.81,1431499.9,335121.4,13887.79,21.12542935,2.18,1.9,302410.5
한국전자홀딩스,6200,Dec-12,-11.91,-12.3,-18.82,-16.03,-19.07,-22.43,3.64,-14.64,-24.51,-6.91,-7.31,-13.85,0.95,14.09,4.19,9.36,3.6,1.67,2.17,2.15,32.52,116.96,102.91,16.76,84.85,6.34,3.3,1.5,23.89,54.1,37.78,42.94,62.32,67.86,45.9,12.01,82.86,6.23,871821.26,257085.63,9021.55,-6.895569063,-0.67,-0.66,-60117.04
한국전자홀딩스,6200,Dec-13,-1.78,-3.58,-11.05,0.22,-7.75,-3.39,9.55,-3.49,-6.56,-1.73,-1.74,-3.48,1,14.33,5.48,10.68,3.55,1.88,2.12,2.27,95.67,104.99,87.46,14.54,93.2,9.85,5.03,2.39,24.63,51.76,37.18,44.63,61.2,82.13,48.24,16.7,351.47,2.12,697358.13,177193.1,7828.53,105.0028144,9.35,9.22,732245.67
한국전자홀딩스,6200,Dec-14,-0.24,-15.58,-12.47,13.08,-0.76,-20.42,11.05,0.58,0.91,-0.15,-0.18,0.51,0.88,10.52,5.1,9.63,2.98,1.57,1.99,1.7,8.8,157.12,137.83,36.66,64.36,5.32,4.12,1.69,30.32,60.84,52.44,59.78,49.02,62.53,39.16,12.27,33.77,21.73,612414.23,113235.1,6609.13,134.8058697,12.49,13.07,825570.33
한국전자홀딩스,6200,Dec-15,-2.26,9.56,21.09,-28.23,-0.88,-21.28,10.77,-5.6,-6.95,-0.69,-0.97,-4.02,0.72,7.34,5.12,7.35,2.32,1.24,1.7,1.47,-73.94,95.47,71.08,12.83,81.67,3.53,5.65,3.7,72.06,55.04,29.16,39.16,37.92,74.52,44.96,25.55,-538.56,-1.86,794557.86,580272.39,7758.08,50.8387414,5.21,7.58,403943.21
한국전자홀딩스,6200,Dec-16,-7.73,-17.43,-98.97,-10.26,-1.86,-6.54,11.25,-9.34,-10.99,-1.09,-1.55,-6.56,0.7,5.93,6.03,12.41,2.37,1.18,1.75,1.73,12.52,141.21,104.23,48.47,52.85,0.56,-13.33,-5.93,-822.66,65.42,31.41,42.56,35.74,46.07,34.58,26.19,89.75,12.42,7400.61,0,5786.04,4154.320261,5.31,6.84,307445.16
한국전자홀딩스,6200,Dec-17,1.6,125.68,83638.25,143.71,123.73,84.58,18.44,1.94,2.63,2.14,2.43,1.71,0.88,4.41,8.27,2.68,7.97,1.35,2.52,1.96,6.9,167.01,99.47,24.85,54.18,17.13,-0.87,-0.48,-1.78,64.86,27.37,45.96,241.74,42.43,35.14,40.44,100.8,18.44,7340366.27,1263866,15569.22,43.20741216,20.37,32.04,3171582.31
한국전자홀딩스,6200,Dec-18,1.15,-3.45,-4,-6.84,0.6,-8.99,18.83,0.45,0.4,0.81,1.38,0.27,0.59,2.59,6.18,1.24,17.78,0.89,1.74,1.3,5.33,202.69,119.03,35.15,47.98,15.27,15.99,8.65,33.96,67.58,26.04,44.34,268.59,32.37,32.42,41.28,81.47,22.47,9688794.37,1364420.21,20570.97,43.19065433,20.34,33.95,4184653.68
한국전자홀딩스,6200,Dec-19,-3.49,-0.23,-43.23,-7.1,-8.27,-7.34,13.57,-10.96,-9.4,-3.1,-5.58,-6.1,0.56,2.87,7.2,1.5,20.74,0.86,1.58,1.3,7.16,160.37,101.45,28.44,60.94,17.43,15.82,10.76,34.36,62.14,26.12,41.29,262.47,41.43,37.86,36.74,97.6,15.54,5362226.21,1085768.42,20522.81,52.41943993,13.7,24.61,2810848.95
한국종합기술,23350,Dec-11,212.72,59.03,67861.61,569.61,3.55,3545.13,16.91,4.64,7.15,0,0,5.45,1.18,inf,6.89,11.78,31.77,1.54,4.93,3.23,8.38,179.67,179.67,49.67,58.48,0,8.72,3.36,0,63.1,51.52,51.52,135.32,45.45,36.9,0,0,22.85,19286.22,0,155.8,0,0,0,0
한국종합기술,23350,Dec-12,112.5,-0.23,33.46,-11.78,1.51,1.54,15.67,0.73,1.12,0,0,0.71,0.97,inf,3.68,5.13,16.08,1.53,2.68,2,11.99,155.46,155.46,42.43,55.78,0,10.1,3.71,0,64.19,45.55,45.55,125.83,45.65,35.81,0,0,16.25,19374.39,0,156.63,0,0,0,0
한국종합기술,23350,Dec-13,108.8,11.97,71.51,4.91,3.24,-5.39,15.69,3.17,4.47,0,0,2.75,0.87,inf,3.52,3.13,15.32,1.41,2.26,1.97,10.05,162.25,162.25,40.72,68.95,0,2.65,1.32,0,59.19,42.68,42.68,102.31,44.45,40.81,0,0,16.38,19951.64,0,181.34,0,0,0,0
