,Unnamed: 0,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결,순이익증가율
177,177,(주)경방,50,Dec-18,29198252.0,20189241.0,13.7,-20.25,-20.25
178,178,(주)경방,50,Dec-19,22223943.0,43621631.0,-23.89,116.06,116.06
179,179,(주)경보제약,214390,Dec-15,26109623.0,,17.48,-74.53,-74.53
180,180,(주)경보제약,214390,Dec-16,12705930.0,,-51.34,0.0,-51.34
181,181,(주)경보제약,214390,Dec-17,17963310.0,,41.38,0.0,41.38
182,182,(주)경보제약,214390,Dec-18,13116049.0,,-26.98,0.0,-26.98
183,183,(주)경보제약,214390,Dec-19,5285239.0,,-59.7,0.0,-59.7
184,184,(주)경인양행,12610,Dec-11,2788642.0,2886360.0,-47.24,-74.02,-74.02
185,185,(주)경인양행,12610,Dec-12,4475441.0,2093491.0,60.49,-27.47,-27.47
186,186,(주)경인양행,12610,Dec-13,12327177.0,10215710.0,175.44,387.97,387.97
187,187,(주)경인양행,12610,Dec-14,9090269.0,10148247.0,-26.26,-0.66,-0.66
188,188,(주)경인양행,12610,Dec-15,107330.0,3670895.0,-98.82,-63.83,-63.83
189,189,(주)경인양행,12610,Dec-16,3724987.0,6837522.0,3370.59,86.26,86.26
190,190,(주)경인양행,12610,Dec-17,531273.0,4779249.0,-85.74,-30.1,-30.1
191,191,(주)경인양행,12610,Dec-18,7419717.0,13801882.0,1296.59,188.79,188.79
192,192,(주)경인양행,12610,Dec-19,4797711.0,16372880.0,-35.34,18.63,18.63
193,193,(주)고려시멘트,198440,Dec-14,,,131.59,-32.14,-32.14
194,194,(주)고려시멘트,198440,Dec-15,,,0.0,0.0,0.0
195,195,(주)고려시멘트,198440,Dec-16,,,0.0,0.0,0.0
196,196,(주)고려시멘트,198440,Dec-17,1003761.0,,-90.97,0.0,-90.97
197,197,(주)고려시멘트,198440,Dec-18,4645869.0,,362.85,0.0,362.85
198,198,(주)고려시멘트,198440,Dec-19,3396444.0,,-26.89,0.0,-26.89
199,199,(주)고영테크놀러지,98460,Dec-11,16580579.0,15634438.0,388.17,40.71,40.71
200,200,(주)고영테크놀러지,98460,Dec-12,14836215.0,15221925.0,-10.52,-2.64,-2.64
201,201,(주)고영테크놀러지,98460,Dec-13,14816762.0,13933294.0,-0.13,-8.47,-8.47
202,202,(주)고영테크놀러지,98460,Dec-14,22775832.0,22111066.0,53.72,58.69,58.69
203,203,(주)고영테크놀러지,98460,Dec-15,23271756.0,23530903.0,2.18,6.42,6.42
204,204,(주)고영테크놀러지,98460,Dec-16,28063238.0,29723733.0,20.59,26.32,26.32
205,205,(주)고영테크놀러지,98460,Dec-17,28907302.0,26734105.0,3.01,-10.06,-10.06
206,206,(주)고영테크놀러지,98460,Dec-18,42430216.0,42309672.0,46.78,58.26,58.26
207,207,(주)고영테크놀러지,98460,Dec-19,34702997.0,29559680.0,-18.21,-30.13,-30.13
208,208,(주)골드앤에스,35290,Dec-11,1101095.0,1002287.0,-96.83,-96.61,-96.61
209,209,(주)골드앤에스,35290,Dec-12,-6036290.0,-6467495.0,-648.21,-745.27,-745.27
