회사명,거래소코드,회계년도,총자산증가율(개별),총자산증가율(연결),유형자산증가율(연결),유형자산증가율(개별),유동자산증가율(연결),유동자산증가율(개별),재고자산증가율(개별),재고자산증가율(연결),자기자본증가율(연결),자기자본증가율(개별),순이익증가률(개별),순이익증가률(연결),매출액총이익률(IFRS),매출액총이익률(IFRS연결),매출액순이익률(IFRS),매출액순이익률(IFRS연결),자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),총자본정상영업이익률(IFRS),총자본정상영업이익률(IFRS연결),매출액정상영업이익률(IFRS),매출액정상영업이익률(IFRS연결),총자본순이익률(IFRS),총자본순이익률(IFRS연결)
(주)파인디앤씨,49120,18-Dec,-4.925966861,-12.14028519,-6.117400169,-8.796633279,-32.20374324,-11.33679129,-48.01682871,-58.24139827,3.919974052,-0.032889237,,,13.28,15.79,0.71,2.12,0.98,3.88,1.1,2,1.59,2.62,0.49,1.62
(주)파인디앤씨,49120,19-Dec,8.854157654,9.623185771,-6.064214904,-7.119682957,10.41717658,-1.015433781,53.61721192,56.72886495,5.189435534,0.235069485,-1142.35,-327.45,11.01,10.34,-6,-4.8,-10.23,-8.43,1.91,-0.43,2.27,-0.54,-5.05,-3.76
(주)파인디지털,38950,11-Dec,-15.57178781,-18.71478993,-86.88144023,-83.92300815,52.13997494,27.77239959,99.19862852,64.83367831,52.5875012,57.23270825,,,27,36.01,2.9,7.72,2.83,7.38,1.35,7.63,1.62,8.1,2.42,7.28
(주)파인디지털,38950,12-Dec,20.0495863,19.54041256,-1.769530587,-2.485310138,34.60887667,45.30996316,21.84069547,31.52716948,15.66581566,15.50617708,449.58,77.84,34.9,40.29,11.66,10.92,14.27,13.81,12.17,10.51,11.49,10.6,12.35,10.82
(주)파인디지털,38950,13-Dec,7.054654261,5.3358872,5.77363857,6.866376207,11.76013221,14.92040318,-10.54115739,-16.84839744,13.36828808,10.31555702,-40.84,-35.55,36.45,42.21,7.18,7.15,7.49,8.08,7.31,7.77,8.11,8.18,6.47,6.79
(주)파인디지털,38950,14-Dec,9.545801036,8.497121895,0.055504203,-2.981137264,13.05871383,16.48217181,13.86409567,12.52062007,9.735842069,9.060350164,34.75,31.99,35.08,42.78,9.76,9.67,9.2,10.01,6.42,6.33,7.78,7.31,8.05,8.39
(주)파인디지털,38950,15-Dec,-5.11565055,-3.95647838,0.78780931,-2.477129014,-6.936028411,-8.64413263,0.355975455,0.199843372,-1.689630967,-3.023161636,-102.19,-90.04,29.64,38.69,-0.26,1.11,-0.2,0.96,-2.09,-1.2,-3.15,-1.63,-0.17,0.82
(주)파인디지털,38950,16-Dec,-5.163320203,-3.315205209,-3.020317335,-5.577718673,-7.97189324,-9.906851236,10.84583092,10.87768326,-2.751614788,-5.130716171,,-75.6,26,35.92,-2.68,0.29,-1.92,-0.02,-4.49,-3.4,-7.04,-4.74,-1.71,0.21
(주)파인디지털,38950,17-Dec,-6.2758722,-4.673844231,3.972088161,-0.240881921,-3.545350597,-6.432954187,-35.80357337,-32.26725388,-5.604308786,-6.49145138,,-2119.84,24.99,34.74,-8.29,-5.98,-5.75,-5.12,-5.27,-3.53,-8.53,-4.84,-5.13,-4.36
(주)파인디지털,38950,18-Dec,-1.989082961,-0.103282705,-7.074784413,-5.063405328,2.32617898,-0.016791454,17.02130183,10.62422569,-1.240949569,-3.690157582,,,27.88,33.35,0.42,2.44,0.35,2.16,0.24,1.4,0.32,1.66,0.31,2.06
(주)파인디지털,38950,19-Dec,5.970286946,4.735756982,-3.855242303,-3.571638743,4.809628038,6.965863484,-29.69780633,-29.33912467,0.857853486,3.483049505,564.83,-105.18,28.05,31.71,2.34,-0.11,2.36,-0.14,1.75,-0.21,2.01,-0.23,2.04,-0.1
(주)파인테크닉스,106240,11-Dec,-7.970121057,212.08326,3060.571103,443.2097514,126.8555265,-36.16983464,22.11267018,219.187064,16.07251752,-48.29332532,-174.94,,21.92,17.55,-1.93,6.46,-3.34,15.28,-1.76,9.66,-2.11,8.07,-1.61,7.73
(주)파인테크닉스,106240,12-Dec,15.6293106,2.082805248,-12.92898676,13.13240822,5.499790429,7.705039037,52.13340177,-9.200108964,-4.558539839,9.193400249,,-24.53,26.24,20.45,0.34,3.69,0.75,11.98,4.02,7.9,3.92,6.19,0.35,4.71
(주)파인테크닉스,106240,13-Dec,29.38738335,-3.615653597,20.31745147,30.80981064,-14.80112218,23.31201688,4.731732221,-0.900683004,-8.729948364,-4.396416257,-6344.98,-250.06,9.43,12.71,-25.15,-7.55,-46.16,-29.63,-14.85,-3.21,-20.94,-3.4,-17.84,-7.12
