회사명,거래소코드,회계년도,매출액수익,매출액수익연결,매출원가,매출원가연결,당기순이익손실,당기순이익손실연결,자본,자본연결,자산,자산연결,영업이익개별,영업이익연결,자본개별,자본연결_,자산개별,자산연결_,매출액영업이익률1,매출액영업이익률2,매출액영업이익률
(주)SIMPAC,9160,2012-12,223854758.0,225353321.0,182101881.0,182861979.0,22517068.0,19285856.0,177830482.0,187860952.0,307366684.0,318665505.0,25309896,25191277,155833324.0,168941269.0,296953131.0,310879328.0,11.306391798918119,11.17856922996045,11.17856922996045
(주)SIMPAC,9160,2013-12,204527751.0,205751154.0,163875499.0,164405183.0,19196136.0,20043596.0,197900866.0,208831047.0,349836891.0,361985890.0,23741361,23599349,177830482.0,187860952.0,307366684.0,318665505.0,11.607892270814633,11.469850127790778,11.469850127790778
(주)SIMPAC,9160,2014-12,227491803.0,263152264.0,188349315.0,220084616.0,10218575.0,14312319.0,203904919.0,219125252.0,329325876.0,381939281.0,18736806,17341900,197900866.0,208831047.0,349836891.0,361985890.0,8.236255439937763,6.590063006260133,6.590063006260133
(주)SIMPAC,9160,2015-12,213152303.0,269528038.0,171341851.0,221412942.0,19448583.0,16449973.0,220087525.0,232007841.0,369348917.0,422833445.0,23630500,21241031,203904919.0,219125252.0,329325876.0,381939281.0,11.086204402867747,7.88082425769745,7.88082425769745
(주)SIMPAC,9160,2016-12,215839356.0,267074156.0,175971604.0,217713888.0,16444650.0,16183843.0,228959172.0,240416530.0,366245273.0,417865468.0,21406076,23566192,220087525.0,232007841.0,369348917.0,422833445.0,9.917596307135016,8.823838424860547,8.823838424860547
(주)SIMPAC,9160,2017-12,203150228.0,230634812.0,168484356.0,193009825.0,7133940.0,12895699.0,223781988.0,240826100.0,343005145.0,381158251.0,13971088,11697915,228959172.0,240416530.0,366245273.0,417865468.0,6.8772199458225565,5.072050874956379,5.072050874956379
(주)SIMPAC,9160,2018-12,268863854.0,306150809.0,243575353.0,271995017.0,62381304.0,69198558.0,411119510.0,435032869.0,628334175.0,681750819.0,7215889,10190572,223781988.0,240826100.0,343005145.0,381158251.0,2.6838449619189046,3.328611814969922,3.328611814969922
(주)SIMPAC,9160,2019-12,391970769.0,430085162.0,357126998.0,385305111.0,11507259.0,9487516.0,419215968.0,441195485.0,608693104.0,679145850.0,8438305,11141319,411119510.0,435032869.0,628334175.0,681750819.0,2.1527893576166135,2.5904913687768656,2.5904913687768656
(주)SNT에너지,100840,2011-12,195318747.0,,181219511.0,,-4155767.0,,160595865.0,,276511841.0,,-6597215,0,167390792.0,,253914889.0,,-3.37766604656746,0.0,0.0
(주)SNT에너지,100840,2012-12,230707564.0,,191839172.0,,9087721.0,,183306309.0,,292802033.0,,15132784,0,160595865.0,,276511841.0,,6.559292524973303,0.0,0.0
(주)SNT에너지,100840,2013-12,200750984.0,,161808099.0,,16189688.0,,198164671.0,,311675279.0,,16804411,0,183306309.0,,292802033.0,,8.370773913616283,0.0,0.0
(주)SNT에너지,100840,2014-12,242746888.0,,203611420.0,,11264253.0,,207712504.0,,304511816.0,,13777651,0,198164671.0,,311675279.0,,5.675727138466962,0.0,0.0
(주)SNT에너지,100840,2015-12,260094045.0,,202305297.0,,27029932.0,,231399939.0,,316196096.0,,33918034,0,207712504.0,,304511816.0,,13.040680727619119,0.0,0.0
(주)SNT에너지,100840,2016-12,254089906.0,,204980319.0,,1659742.0,,229799567.0,,348042346.0,,1195144,0,231399939.0,,316196096.0,,0.4703626440005059,0.0,0.0
(주)SNT에너지,100840,2017-12,184091945.0,,146050315.0,,4581777.0,,233817326.0,,300266693.0,,19201911,0,229799567.0,,348042346.0,,10.43060900899276,0.0,0.0
(주)SNT에너지,100840,2018-12,139516396.0,,118750224.0,,1825479.0,,231276490.0,,280991534.0,,-1892191,0,233817326.0,,300266693.0,,-1.3562499134510326,0.0,0.0
(주)SNT에너지,100840,2019-12,202822913.0,213326726.0,170291934.0,177635077.0,14578960.0,15452273.0,245545053.0,244954910.0,331391237.0,333897235.0,14679703,17473547,231276490.0,,280991534.0,,7.237694589269605,8.190978846222952,8.190978846222952
(주)SNT홀딩스,36530,2011-12,2257851.0,1663846065.0,0.0,1449348821.0,5766277.0,87196578.0,387839074.0,1311007481.0,388123974.0,2124828265.0,-4240084,120504644,396588552.0,1277919679.0,397213393.0,2038921397.0,-187.79290573204344,7.242535624832577,7.242535624832577
(주)SNT홀딩스,36530,2012-12,8718270.0,1668749904.0,0.0,1465168699.0,9011145.0,63253909.0,388611726.0,1318022867.0,388964716.0,2074903906.0,6695560,85693573,387839074.0,1311007481.0,388123974.0,2124828265.0,76.79918148898807,5.135195681185789,5.135195681185789
(주)SNT홀딩스,36530,2013-12,8826810.0,1576368464.0,0.0,1379201925.0,8018313.0,53763061.0,396851717.0,1374365240.0,397336142.0,2149176237.0,6923357,84798090,388611726.0,1318022867.0,388964716.0,2074903906.0,78.43555032905432,5.3793317956150135,5.3793317956150135
(주)SNT홀딩스,36530,2014-12,7701882.0,1552374806.0,0.0,1380123821.0,6891599.0,66985248.0,398863036.0,1356040938.0,399244416.0,2039388864.0,5966121,65504976,396851717.0,1374365240.0,397336142.0,2149176237.0,77.4631577061295,4.219662400267014,4.219662400267014
(주)SNT홀딩스,36530,2015-12,8475099.0,1612746929.0,0.0,1331347191.0,27765789.0,116419931.0,421925486.0,1529249091.0,430584006.0,2169311305.0,6719534,161533663,398863036.0,1356040938.0,399244416.0,2039388864.0,79.28561070496049,10.016057702255901,10.016057702255901
(주)SNT홀딩스,36530,2016-12,9818190.0,1537700275.0,0.0,1336617769.0,6923176.0,10146568.0,426682947.0,1530892611.0,427001710.0,2210178425.0,7999927,72283066,421925486.0,1529249091.0,430584006.0,2169311305.0,81.48067006240458,4.700725308773194,4.700725308773194
