,회사명,거래소코드,회계년도,노동장비율(개별),노동장비율(연결),기계장비율(개별),기계장비율(연결),자본집약도(개별),자본집약도(연결),노동소득분배율(개별),노동소득분배율(연결),설비투자효율(개별),설비투자효율(연결),총자본투자효율(개별),총자본투자효율(연결),기계투자효율(개별),기계투자효율(연결),부가가치율(개별),부가가치율(연결)
8596,(주)한국팩키지,37230,12-Dec,116683.4786,,205829.0427,,423750.2137,,0.00073553,,69.67699233,,0.191861941,,0.394995465,,0.184974935,
8597,(주)한국팩키지,37230,13-Dec,119121.8476,,231698.1714,,477611.0762,,0.001207098,,47.94130764,,0.119571288,,0.2464783,,0.121818197,
8598,(주)한국팩키지,37230,14-Dec,121572.9184,,253116.1122,,483822.0306,,0.001002077,,54.26515673,,0.136355376,,0.260638227,,0.132268908,
8599,(주)한국팩키지,37230,15-Dec,128283.8191,,258901.5532,,530019.766,,0.000799685,,69.35784591,,0.167870897,,0.343663035,,0.149516472,
8600,(주)한국팩키지,37230,16-Dec,133951.8333,,266423.5521,,557419.7292,,0.000601491,,93.0030353,,0.223492755,,0.467598566,,0.20243597,
8601,(주)한국팩키지,37230,17-Dec,143406.5745,,286309.4043,,572713.617,,0.000615762,,91.00401789,,0.227872606,,0.455820671,,0.215324576,
8602,(주)한국팩키지,37230,18-Dec,135923.1959,,285206.8866,,545326.8969,,0.000682838,,87.54329879,,0.218202422,,0.417211698,,0.203020616,
8603,(주)한국팩키지,37230,19-Dec,139393.2323,,286442.5455,,712983.8586,,0.00068174,,88.14530219,,0.172330109,,0.428946704,,0.208369592,
8604,(주)한국화장품제조,3350,11-Dec,140029.3871,,64002.04301,,468945.9892,,-0.001428482,,-17.47021919,,-0.052166862,,-0.382229062,,-0.087413172,
8605,(주)한국화장품제조,3350,12-Dec,125251.1327,,62377.65306,,385134.7449,,-0.001733842,,-17.00404192,,-0.05529949,,-0.341432453,,-0.066746656,
8606,(주)한국화장품제조,3350,13-Dec,120392.2673,,63789.81188,,399963.3366,,0.001748403,,17.84677628,,0.05372027,,0.33682712,,0.069749488,
8607,(주)한국화장품제조,3350,14-Dec,119271.6,,67238.13333,,446514.3905,,0.000348402,,98.90767115,,0.264199238,,1.754491924,,0.349341481,
8608,(주)한국화장품제조,3350,15-Dec,109067,,66635.16522,,436527.2435,,0.000567198,,70.81024388,,0.176920478,,1.159006786,,0.195290749,
8609,(주)한국화장품제조,3350,16-Dec,93110.3865,,52852.41718,,408750.4785,,0.00041021,,115.6100553,,0.263351299,,2.036708538,,0.270153746,
8610,(주)한국화장품제조,3350,17-Dec,88038.78571,,49953.4011,,383823.4725,,0.000604952,,89.92284182,,0.206258824,,1.584816575,,0.214488851,
8611,(주)한국화장품제조,3350,18-Dec,88125.79459,,46363.31351,,387968.3459,,0.000646012,,89.34329256,,0.202940491,,1.698206632,,0.165083878,
8612,(주)한국화장품제조,3350,19-Dec,117702.5026,,48396.95855,,436179.8808,,0.000912932,,47.31587493,,0.127681196,,1.150732827,,0.140518657,
8613,(주)한글과컴퓨터,30520,11-Dec,3485.806818,4106.284091,0,0,478852.5833,465908.5379,0.000499514,0.000551121,3870.05204,3497.592843,0.281720393,0.308260285,,,0.621368414,0.665411657
8614,(주)한글과컴퓨터,30520,12-Dec,9808.506173,10057.96605,0,0,435993.034,427788.213,0.000521633,0.000560355,1160.752698,1209.076339,0.261133759,0.284272647,,,0.559521329,0.600538076
