회사명,거래소코드,회계년도,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
(주)모나리자,12690,13-Dec,8.66,12.83,3.71,-27.95,11.52,0,24.22,4.57,11.49,12.92,6.64,8.9,207.57,157.23,21.05,27.61,0.72,74.06,8.57,2226.98,78.37,2.51,11.46,8.27,3.54,22.05,2.51,8.61,
(주)모나리자,12690,14-Dec,7.9,-4.94,25.01,-20.34,10.44,0,24.15,4.56,9.92,11.65,6.75,7.87,253.41,214.25,82.51,24.67,0.67,90.67,10.78,2690.96,80.21,2.18,14.65,8.33,3.29,38.7,2.18,8.36,
(주)모나리자,12690,15-Dec,4.95,1.29,8.04,29.14,8.08,0,23.52,3.89,7.77,8.12,4.99,6.33,294.95,240.46,69.53,21.05,0.64,69.99,7.67,1915.95,82.61,2,14.56,9.14,3.36,,2,8.76,
(주)모나리자,12690,16-Dec,2.36,0.05,4.61,6.25,5.55,0,25.31,4.48,8.14,9.51,6.24,6.83,351.37,285.44,124.67,17.4,0.62,53.15,5.23,1269.04,85.18,1.82,11.88,9.04,3.24,,1.82,9.47,
(주)모나리자,12690,17-Dec,2.56,-1.41,5.29,26.82,2.01,0,24.76,3.51,5.95,6.07,4.22,5.05,350.56,271.34,74.99,18.03,0.61,56.93,6.12,1436.72,84.73,1.69,9.9,9.19,3.16,39.98,1.69,9.56,
(주)모나리자,12690,18-Dec,-6.19,-3.59,-8.22,-1.85,-7.84,0,17.88,-1.62,-2.72,-3.12,-2.21,-2.29,311.89,236.52,45.19,20.14,0.65,38.21,4.39,992.87,83.24,1.68,9.4,9.45,3.12,18.48,1.68,8.83,
(주)모나리자,12690,19-Dec,-0.53,-3.73,-8.44,-14.59,0.93,0,20.91,2.06,3.75,3.59,2.35,3.14,315.57,244.42,145.47,18.39,1.2,40.99,4.16,531.79,84.47,1.82,10.28,10.08,3.38,20.83,1.82,9.45,
(주)모나미,5360,11-Dec,125.15,17.84,114.64,235.79,-11.53,-80.41,19.91,0.77,3.49,6.16,4.54,1.05,102.49,62.2,4.35,232.44,55.29,-0.73,-0.38,-0.92,30.08,4.68,4.68,6.06,5.28,15.5,4.68,1.91,2.24
(주)모나미,5360,12-Dec,-6.77,26.2,-12.36,-16.68,-4.86,-212.96,19.56,-0.94,-4.2,4.61,3.6,-1.2,111.12,69.59,3.46,225.77,53.79,7.49,3.91,9.65,30.7,4.22,4.63,5.77,4,12.45,4.22,1.84,2.21
(주)모나미,5360,13-Dec,-12.31,-48.69,-28.13,-30,-9.55,-1649.12,28.03,-2.84,-9.42,-0.64,-0.7,-2.57,109.09,69.38,5.97,215.83,54.57,14.6,10.32,18.28,31.66,2.9,3.42,4.46,3.03,8.94,2.9,1.31,1.76
(주)모나미,5360,14-Dec,-2.96,-9.14,-1.9,8.06,4.57,,35.01,2.12,5.34,5.46,6.22,1.86,99.48,59.59,3.88,193.08,50.96,12.35,9.13,15.97,34.12,2.67,3.23,5.1,4.19,9.31,2.67,1.31,1.9
(주)모나미,5360,15-Dec,-3.56,18.46,-4.66,-0.8,25,62.16,37.28,3.6,7.69,5.85,6.76,3.11,115.48,67.3,7.16,126.12,43.48,7.2,4.56,9.24,44.22,2.21,2.87,5.44,3.84,10.02,2.21,1.42,1.87
(주)모나미,5360,16-Dec,2.38,0.36,5.34,6.91,4.96,11.18,37.47,4.08,7.87,6.14,7.2,3.49,118.77,68.48,7.04,120.56,41.72,6.66,4.32,8.73,45.34,1.91,2.72,5.53,3.46,11.21,1.91,1.55,1.83
(주)모나미,5360,17-Dec,1.02,13.57,-5.34,-10.47,0.07,-49.66,38.02,2.09,3.69,4.55,5.52,1.73,154.37,92.55,12.16,122.65,43.02,10.43,7.01,13.35,44.91,1.83,2.71,5.56,3.18,11.61,1.83,1.5,1.8
(주)모나미,5360,18-Dec,1.62,0.3,4.51,10.62,-1.24,-73.7,35.83,0.56,0.84,4.09,5.12,0.45,141.11,81.29,9.64,129.1,43.75,9.92,7.05,12.77,43.65,1.8,2.77,5.85,2.93,12.21,1.8,1.43,1.78
(주)모나미,5360,19-Dec,6.43,12.79,4.57,2.49,1.44,-321.82,34.57,-1.27,-2.39,1.04,1.39,-0.95,98.88,57.79,7.02,140.37,46.47,4.7,3.77,5.9,41.6,1.76,2.59,5.6,2.69,11.54,1.76,1.31,1.66
(주)모다이노칩,80420,11-Dec,-44.35,-32.07,-24.67,-67.6,-6.03,,40.18,25.11,27.08,20.21,25.6,19.83,307.43,252.49,19.78,42.34,19.97,48.72,20.83,72.58,70.25,1.08,3.68,4.95,2.32,81.11,1.08,2.95,1.31
(주)모다이노칩,80420,12-Dec,4.49,4.3,2.68,-16.58,16.16,-18.93,44.31,19.83,18.66,18.06,25.85,13.86,426.24,364.36,68.03,28.04,13.07,107.13,34.32,179.46,78.1,0.94,4.01,4.67,2,77.95,0.94,2.71,1.16
(주)모다이노칩,80420,13-Dec,8.66,20.29,1.31,-6.57,23.49,29.8,36.97,19.52,20.17,19.29,22.31,16.87,540.84,468.44,112.54,12.66,3.49,200.1,27.1,644.87,88.76,1.03,6.8,5.89,2.34,72.79,1.03,5.29,1.5
