회사명,거래소코드,회계년도,이자보상배율
국보디자인,66620,Dec-13,1539.88
국보디자인,66620,Dec-14,1917.05
국보디자인,66620,Dec-15,1867.07
국보디자인,66620,Dec-16,6455.77
국보디자인,66620,Dec-17,3543.84
국보디자인,66620,Dec-18,382.19
국보디자인,66620,Dec-19,592.26
국순당,43650,Dec-11,167.22
국순당,43650,Dec-12,172.69
국순당,43650,Dec-13,9.21
국순당,43650,Dec-14,9.17
국순당,43650,Dec-15,-334.84
국순당,43650,Dec-16,-327.25
국순당,43650,Dec-17,-12.28
국순당,43650,Dec-18,-7.85
국순당,43650,Dec-19,-4.32
국영지앤엠,6050,Dec-11,-170.81
국영지앤엠,6050,Dec-12,-4.57
국영지앤엠,6050,Dec-13,2.35
국영지앤엠,6050,Dec-14,5.13
국영지앤엠,6050,Dec-15,-15.79
국영지앤엠,6050,Dec-16,3.4
국영지앤엠,6050,Dec-17,17.57
국영지앤엠,6050,Dec-18,-18.31
국영지앤엠,6050,Dec-19,15.75
국전약품,307750,Dec-18,
국전약품,307750,Dec-19,
그래디언트,35080,Dec-11,-48.06
그래디언트,35080,Dec-12,1.38
그래디언트,35080,Dec-13,7.5
그래디언트,35080,Dec-14,14.81
그래디언트,35080,Dec-15,26.27
그래디언트,35080,Dec-16,13.02
그래디언트,35080,Dec-17,13.33
그래디언트,35080,Dec-18,8.44
그래디언트,35080,Dec-19,10.13
그리티,204020,Dec-18,29.27
그리티,204020,Dec-19,4.95
그린플러스,186230,Dec-19,3.03
글로벌스탠다드테크놀로지,83450,Dec-11,21.14
글로벌스탠다드테크놀로지,83450,Dec-12,25.45
글로벌스탠다드테크놀로지,83450,Dec-13,46.16
글로벌스탠다드테크놀로지,83450,Dec-14,60.23
글로벌스탠다드테크놀로지,83450,Dec-15,60.28
글로벌스탠다드테크놀로지,83450,Dec-16,63.24
글로벌스탠다드테크놀로지,83450,Dec-17,212.37
글로벌스탠다드테크놀로지,83450,Dec-18,118.58
글로벌스탠다드테크놀로지,83450,Dec-19,122.37
금비,8870,Sep-11,3.74
금비,8870,Sep-12,2.7
금비,8870,Sep-13,3.03
금비,8870,Sep-14,2.84
금비,8870,Sep-15,8.69
금비,8870,Sep-16,13.77
금비,8870,Sep-17,9.07
금비,8870,Sep-18,10
금비,8870,Sep-19,9.6
금양,1570,Dec-11,2
금양,1570,Dec-12,1.68
금양,1570,Dec-13,1.61
금양,1570,Dec-14,1.52
금양,1570,Dec-15,2.52
금양,1570,Dec-16,3.26
금양,1570,Dec-17,3.57
금양,1570,Dec-18,3.72
금양,1570,Dec-19,2.53
금호에이치티,214330,Dec-15,20.53
금호에이치티,214330,Dec-16,11.57
금호에이치티,214330,Dec-17,7.78
금호에이치티,214330,Dec-18,3.66
금호에이치티,214330,Dec-19,0.35
금화피에스시,36190,Dec-11,4840.81
금화피에스시,36190,Dec-12,4840.81
금화피에스시,36190,Dec-13,4840.81
금화피에스시,36190,Dec-14,1424.85
금화피에스시,36190,Dec-15,2638.71
금화피에스시,36190,Dec-16,533.42
금화피에스시,36190,Dec-17,539.47
금화피에스시,36190,Dec-18,431.66
금화피에스시,36190,Dec-19,280.27
기가레인,49080,Dec-13,5.72
기가레인,49080,Dec-14,7.6
