,회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원),이보배개별,이보배연결,이보배개별지급,이보배연결지급,이보배그냥,이보배지급,이자보상배율
14905,에스지씨에너지(주),5090,2016-12,3356955.0,1427655.0,10583403.0,13912569.0,-10325919.0,-13618224.0,0.31719051046246655,0.10261620265818627,0.32509987730874124,0.24650461029279588,0.10261620265818627,0.24650461029279588,0.10261620265818627
14906,에스지씨에너지(주),5090,2017-12,-19647428.0,-17014155.0,10972293.0,13745091.0,-10516999.0,-13496794.0,-1.790640115060726,-1.237835020517507,-1.8681591583302424,-1.4557107413805086,-1.237835020517507,-1.4557107413805086,-1.237835020517507
14907,에스지씨에너지(주),5090,2018-12,-29167093.0,-27956062.0,11721975.0,14222507.0,-11677461.0,-14177993.0,-2.488240505546207,-1.9656212508807342,-2.497725575790833,-2.057208872934272,-1.9656212508807342,-2.057208872934272,-1.9656212508807342
14908,에스지씨에너지(주),5090,2019-12,-2624067.0,1121400.0,11161797.0,12537769.0,-11218294.0,-12588753.0,-0.2350935964880924,0.08944174996364983,-0.23390963010953358,-0.20844534800230013,0.08944174996364983,-0.20844534800230013,0.08944174996364983
14909,에스지씨에너지(주),5090,2020-12,5647167.0,7017229.0,4465881.0,5154070.0,-3226201.0,-3998401.0,1.2645135416729645,1.3614927620307835,1.7504076776369482,1.4123563394466938,1.3614927620307835,1.4123563394466938,1.3614927620307835
14910,에스지씨이테크건설(주),16250,2010-12,11160949.0,11058465.0,7859062.0,7969327.0,-7881326.0,-7881326.0,1.4201375431317376,1.3876284659921723,1.4161257889852545,1.4161257889852545,1.3876284659921723,1.4161257889852545,1.3876284659921723
14911,에스지씨이테크건설(주),16250,2011-12,22983947.0,22737076.0,3682812.0,3681932.0,-3667719.0,-3666839.0,6.240868933847288,6.175311222477764,6.266550681772513,6.268054583252769,6.175311222477764,6.268054583252769,6.175311222477764
14912,에스지씨이테크건설(주),16250,2012-12,15884984.0,14723803.0,3235238.0,3323522.0,-3209515.0,-3375279.0,4.909989311450966,4.4301806938542905,4.949340944036716,4.7062728740350055,4.4301806938542905,4.7062728740350055,4.4301806938542905
14913,에스지씨이테크건설(주),16250,2013-12,-28712331.0,1300792.0,4021996.0,11105489.0,-3924547.0,-10971395.0,-7.138826343934703,0.11713054688541855,-7.316087945946373,-2.617017343737966,0.11713054688541855,-2.617017343737966,0.11713054688541855
14914,에스지씨이테크건설(주),16250,2014-12,4838394.0,58272679.0,3907749.0,8609168.0,-3905799.0,-8552355.0,1.2381537299350598,6.768677182278241,1.2387718876470601,0.5657382089494648,6.768677182278241,0.5657382089494648,6.768677182278241
