회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치,R & D 투자효율,통계청 한국표준산업분류 10차(소분류),매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
삼화콘덴서공업,1820,2018-12,105.59,59.78,47.81,72.2,84.58,37.69,37.09,22.56,63.07,45.48,29.64,34.62,1.53,6.79,4.78,5.05,9.04,2.8,3.4,2.5,10.23,162.92,128.56,28.61,72.76,9.14,44.03,14.87,202.93,57.88,49.84,63.16,222.43,66.97,42.12,21.09,54.61,24.39,99210.85,44542.81,373.59,139.7947466,37.12,29.77,138691.56,1.21,  전자부품 제조업,0.0,0.0,0.0,1.0,0.0,1.0
삼화콘덴서공업,1820,2019-12,65.0,-2.37,52.38,-27.03,20.82,-7.25,23.96,11.72,21.2,17.14,14.65,13.71,1.17,7.39,4.18,3.11,9.39,1.81,3.31,2.12,10.61,189.88,146.67,35.71,39.6,4.72,71.36,17.08,428.99,71.63,36.46,47.2,222.24,34.7,28.37,22.76,48.08,22.34,158243.12,70858.8,361.06,38.34449658,16.81,14.18,60677.53,2.26,  전자부품 제조업,0.0,0.0,0.0,0.0,0.0,0.0
상신이디피,91580,2011-12,6.82,11.97,19.54,3.13,20.61,37.83,14.77,4.7,15.46,11.58,7.41,7.35,1.56,9.49,9.93,2.84,13.73,3.29,2.98,3.75,816.87,100.91,64.5,17.08,103.2,32.75,19.03,6.53,29.52,49.21,25.57,40.01,128.61,80.57,50.79,36.08,3985.44,0.36,211780.3,202225.95,390.06,63.69140466,34.58,23.37,134885.85,1.27,  일차전지 및 축전지 제조업,0.0,0.0,0.0,0.0,0.0,0.0
상신이디피,91580,2012-12,2.23,7.49,16.05,-4.58,1.02,-6.4,11.35,0.45,1.26,3.81,2.85,0.6,1.33,8.03,10.01,2.26,12.25,2.8,2.55,3.54,-25.49,77.85,44.91,13.77,116.22,36.55,19.53,8.15,28.72,46.25,20.49,35.52,105.35,98.65,53.75,42.31,-148.69,-10.11,260235.75,242513.79,429.41,51.58046959,31.26,24.26,134230.82,0.47,  일차전지 및 축전지 제조업,0.0,0.0,0.0,0.0,0.0,1.0
상신이디피,91580,2013-12,2.28,7.41,0.76,19.48,-0.39,1.42,12.54,0.43,1.23,4.05,3.21,0.55,1.26,8.26,11.81,2.12,13.5,2.83,2.27,3.35,-24.25,79.75,56.02,29.68,133.13,42.55,16.06,7.54,21.56,42.89,27.76,39.51,114.62,115.51,57.11,29.75,-117.14,-10.04,246653.78,244409.16,442.0,55.69519519,31.08,25.55,137374.31,1.3,  일차전지 및 축전지 제조업,0.0,0.0,0.0,0.0,0.0,0.0
상신이디피,91580,2014-12,2.81,-1.16,-3.23,1.74,4.27,-14.67,14.93,2.48,5.87,4.41,4.22,2.59,1.04,8.34,11.16,1.84,13.29,2.37,1.87,2.6,-27.8,84.33,64.58,41.1,121.0,41.53,22.11,11.52,29.15,45.25,31.15,40.67,107.97,106.58,54.75,23.42,-126.08,-7.55,265489.13,295878.01,481.46,56.83312409,31.34,29.84,150885.77,0.89,  일차전지 및 축전지 제조업,0.0,0.0,0.0,0.0,0.0,0.0
상신이디피,91580,2015-12,-0.74,5.31,11.75,-9.73,-9.32,-21.47,11.7,-3.06,-5.85,-1.11,-1.39,-2.46,0.8,7.44,9.67,1.38,12.32,1.91,1.39,2.13,-10.32,69.67,50.6,28.3,156.66,50.41,12.03,9.38,14.57,38.96,25.32,34.86,135.51,128.44,61.04,27.38,-62.89,-15.18,316614.18,349107.0,555.17,37.56033329,21.42,27.35,118921.34,0.63,  일차전지 및 축전지 제조업,0.0,0.0,0.0,0.0,0.0,1.0
상신이디피,91580,2016-12,-0.24,1.54,8.57,-10.38,-5.09,-1.29,11.45,-1.33,-2.71,-0.39,-0.51,-1.02,0.77,7.08,10.44,1.24,13.57,2.04,1.23,2.34,-9.69,66.2,45.45,22.46,174.6,55.52,4.82,4.03,5.52,36.42,21.12,30.77,116.47,127.63,63.58,31.35,-61.4,-15.71,373565.49,413588.12,590.12,33.28091814,21.07,27.67,124326.02,-0.18,  일차전지 및 축전지 제조업,0.0,0.0,0.0,0.0,0.0,0.0
상신이디피,91580,2017-12,3.5,2.37,-3.5,17.48,3.82,29.94,14.81,2.44,6.52,6.0,6.14,2.39,0.98,8.71,11.5,1.58,11.69,2.67,1.54,2.96,-9.93,64.46,47.16,23.18,170.76,49.94,14.05,9.17,17.74,36.93,25.84,35.31,93.21,148.33,63.07,26.83,-48.66,-19.47,335092.38,412224.68,577.12,43.00209985,24.97,25.84,144096.76,-0.07,  일차전지 및 축전지 제조업,0.0,0.0,0.0,0.0,0.0,0.0
상신이디피,91580,2018-12,7.62,38.12,32.62,58.54,50.47,50.41,18.29,5.59,17.57,12.78,10.47,6.83,1.22,11.49,12.0,2.08,12.89,3.14,2.0,3.18,-25.43,83.05,66.43,36.4,148.53,41.8,22.48,12.77,32.15,40.24,32.42,40.53,118.94,121.3,59.76,20.01,-98.01,-8.27,318853.25,394521.46,609.75,51.57366824,26.97,25.63,164444.32,0.72,  일차전지 및 축전지 제조업,0.0,0.0,0.0,1.0,0.0,1.0
