0,회사명,거래소코드,회계년도,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
218,국영지앤엠,6050,18-Dec,0,0,0,0,0,0
219,국영지앤엠,6050,19-Dec,0,0,0,0,0,0
220,그래디언트,35080,11-Dec,1,0,0,0,0,0
221,그래디언트,35080,12-Dec,1,0,0,0,0,0
222,그래디언트,35080,13-Dec,1,0,0,1,0,0
223,그래디언트,35080,14-Dec,1,0,0,1,0,1
224,그래디언트,35080,15-Dec,1,0,0,0,0,0
225,그래디언트,35080,16-Dec,1,0,0,0,0,1
226,그래디언트,35080,17-Dec,1,0,0,0,0,1
227,그래디언트,35080,18-Dec,1,0,0,0,0,0
228,그래디언트,35080,19-Dec,1,0,0,0,0,1
229,금호에이치티,214330,15-Dec,0,0,0,0,0,1
230,금호에이치티,214330,16-Dec,0,1,0,0,0,1
231,금호에이치티,214330,17-Dec,0,1,0,0,0,0
232,금호에이치티,214330,18-Dec,0,1,0,0,0,1
233,금호에이치티,214330,19-Dec,0,1,0,0,0,1
234,기가레인,49080,13-Dec,0,0,0,0,0,0
235,기가레인,49080,14-Dec,0,0,0,1,0,1
236,기가레인,49080,15-Dec,0,0,0,0,0,0
237,기가레인,49080,16-Dec,0,1,0,0,0,0
238,기가레인,49080,17-Dec,0,0,0,0,0,0
239,기가레인,49080,18-Dec,0,0,0,0,0,0
240,기가레인,49080,19-Dec,0,0,0,0,0,0
241,기산텔레콤,35460,11-Dec,0,0,0,0,0,0
242,기산텔레콤,35460,12-Dec,0,0,0,0,0,0
243,기산텔레콤,35460,13-Dec,0,0,0,0,0,1
244,기산텔레콤,35460,14-Dec,0,0,0,0,0,0
245,기산텔레콤,35460,15-Dec,0,0,0,0,0,0
246,기산텔레콤,35460,16-Dec,0,0,0,0,0,1
247,기산텔레콤,35460,17-Dec,0,0,1,0,0,0
248,기산텔레콤,35460,18-Dec,0,0,1,0,0,1
249,기산텔레콤,35460,19-Dec,0,0,0,0,0,0
250,까뮤이앤씨,13700,11-Dec,0,0,0,0,0,0
251,까뮤이앤씨,13700,12-Dec,0,1,0,0,0,0
252,까뮤이앤씨,13700,13-Dec,0,0,0,0,0,0
253,까뮤이앤씨,13700,14-Dec,0,0,0,1,0,0
254,까뮤이앤씨,13700,15-Dec,0,0,0,1,0,0
255,까뮤이앤씨,13700,16-Dec,0,0,0,0,0,0
256,까뮤이앤씨,13700,17-Dec,0,1,0,0,0,0
257,까뮤이앤씨,13700,18-Dec,0,0,0,0,0,0
258,까뮤이앤씨,13700,19-Dec,0,0,0,0,0,0
259,나노신소재,121600,11-Dec,0,0,0,0,0,1
260,나노신소재,121600,12-Dec,0,0,0,0,0,0
261,나노신소재,121600,13-Dec,0,0,0,0,0,0
262,나노신소재,121600,14-Dec,0,0,0,0,0,0
263,나노신소재,121600,15-Dec,0,0,0,0,0,1
264,나노신소재,121600,16-Dec,0,0,0,0,0,0
265,나노신소재,121600,17-Dec,0,1,0,0,0,1
266,나노신소재,121600,18-Dec,0,0,0,0,0,0
267,나노신소재,121600,19-Dec,0,0,0,0,0,1
268,나무가,190510,15-Dec,0,0,0,0,0,1
269,나무가,190510,16-Dec,0,0,0,0,0,0
270,나무가,190510,17-Dec,0,0,0,0,0,0
